local_row_0based,local_col_0based,global_line_1based,global_col_1based,count_uint16,quality_code,radiance_w_m2_sr_um,brightness_temp_c,is_projected_hko_pixel
523,2775,2724,2776,1544,0,9.403787,24.084745,False
523,2776,2724,2777,1551,0,9.377519,23.907831,False
523,2777,2724,2778,1556,0,9.358756,23.781288,False
523,2778,2724,2779,1563,0,9.332489,23.603878,False
523,2779,2724,2780,1575,0,9.287458,23.299065,False
523,2780,2724,2781,1575,0,9.287458,23.299065,False
523,2781,2724,2782,1564,0,9.328736,23.57851,False
523,2782,2724,2783,1572,0,9.298716,23.375349,False
524,2762,2725,2763,1555,0,9.362509,23.806608,False
524,2763,2725,2764,1549,0,9.385024,23.958408,False
524,2764,2725,2765,1542,0,9.411291,24.135239,False
524,2765,2725,2766,1547,0,9.392529,24.00896,False
524,2766,2725,2767,1548,0,9.388776,23.983686,False
524,2767,2725,2768,1541,0,9.415044,24.160477,False
524,2768,2725,2769,1542,0,9.411291,24.135239,False
524,2769,2725,2770,1538,0,9.426301,24.236155,False
524,2770,2725,2771,1538,0,9.426301,24.236155,False
524,2771,2725,2772,1539,0,9.422549,24.210936,False
524,2772,2725,2773,1539,0,9.422549,24.210936,False
524,2773,2725,2774,1539,0,9.422549,24.210936,False
524,2774,2725,2775,1546,0,9.396281,24.034227,False
524,2775,2725,2776,1548,0,9.388776,23.983686,False
524,2776,2725,2777,1553,0,9.370013,23.857233,False
524,2777,2725,2778,1558,0,9.351252,23.730629,False
524,2778,2725,2779,1559,0,9.347499,23.705292,False
524,2779,2725,2780,1566,0,9.321231,23.527756,False
524,2780,2725,2781,1574,0,9.291211,23.3245,False
524,2781,2725,2782,1585,0,9.249933,23.044394,False
524,2782,2725,2783,1580,0,9.268696,23.171804,False
525,2762,2726,2763,1550,0,9.381271,23.933123,False
525,2763,2726,2764,1543,0,9.407538,24.109995,False
525,2764,2726,2765,1547,0,9.392529,24.00896,False
525,2765,2726,2766,1543,0,9.407538,24.109995,False
525,2766,2726,2767,1542,0,9.411291,24.135239,False
525,2767,2726,2768,1544,0,9.403787,24.084745,False
525,2768,2726,2769,1544,0,9.403787,24.084745,False
525,2769,2726,2770,1538,0,9.426301,24.236155,False
525,2770,2726,2771,1539,0,9.422549,24.210936,False
525,2771,2726,2772,1536,0,9.433806,24.28658,False
525,2772,2726,2773,1538,0,9.426301,24.236155,False
525,2773,2726,2774,1539,0,9.422549,24.210936,False
525,2774,2726,2775,1547,0,9.392529,24.00896,False
525,2775,2726,2776,1552,0,9.373766,23.882536,False
525,2776,2726,2777,1554,0,9.3662615,23.831924,False
525,2777,2726,2778,1552,0,9.373766,23.882536,False
525,2778,2726,2779,1553,0,9.370013,23.857233,False
525,2779,2726,2780,1557,0,9.355003,23.755962,False
525,2780,2726,2781,1561,0,9.3399935,23.654596,False
525,2781,2726,2782,1577,0,9.279954,23.248178,False
525,2782,2726,2783,1578,0,9.276201,23.222727,False
526,2762,2727,2763,1544,0,9.403787,24.084745,False
526,2763,2727,2764,1540,0,9.418797,24.185709,False
526,2764,2727,2765,1546,0,9.396281,24.034227,False
