forecast_source_family,target_days,first_target_date,last_target_date,latest_issue_utc
press_archive,5074,2000-01-02,2013-11-22,2013-11-15 08:31:00+00:00
rss_archive,992,2021-04-14,2023-12-31,2023-12-30 06:01:00+00:00
