cutoff_profile,model_id,season_bucket,n_scored,mae,rmse,median_absolute_error,bias,p80_absolute_error,p90_absolute_error,p95_absolute_error,max_absolute_error,mean_prediction,mean_actual,mean_anchor_forecast,scope,official_max_bin,official_range_bin,issue_hour_bucket,fcst_flag_thunderstorm,hourly_any_thunderstorm_warning_24h,hourly_any_rainstorm_warning_24h
tminus1_2359,A3_hko_hourly_state_residual_lgbm,,94,0.8145605865259202,1.069061875855141,0.7049591256151491,-0.0027562358399087603,1.211207890094568,1.5633077523782635,1.8019339887591357,3.935878603663081,19.953626742883493,19.956382978723404,19.840425531914892,by_official_range_bin,,2,,,,
tminus1_2359,A3_hko_hourly_state_residual_lgbm,,5535,0.9022179011383729,1.1608364976394268,0.7300954806803901,0.012236094405873874,1.455754747477985,1.9331291029995885,2.329526803697349,8.115805377994901,26.728062652671458,26.715826558265583,26.592773261065943,by_official_range_bin,,ge3,,,,
tminus1_2359,A4_network_gradients_residual_lgbm,,94,0.8184542622598164,1.0699221158788665,0.6452926493573479,0.006302967380746947,1.2149494913605827,1.4854928919680048,1.8485064157135551,3.9512267667529635,19.962685946104152,19.956382978723404,19.840425531914892,by_official_range_bin,,2,,,,
tminus1_2359,A4_network_gradients_residual_lgbm,,5535,0.902641426233666,1.158908235915976,0.7259534873332747,0.022125752579660755,1.4571741537775658,1.9230765066446154,2.318960113147097,8.233601160161092,26.73795231084524,26.715826558265583,26.592773261065943,by_official_range_bin,,ge3,,,,
tminus1_2359,A5_text_warning_residual_lgbm,,94,0.8149347999882118,1.069061667857842,0.6916315902124026,-0.0020697126596885143,1.2426564439148984,1.51538984742329,1.7617687228005987,4.046676181127399,19.954313266063714,19.956382978723404,19.840425531914892,by_official_range_bin,,2,,,,
tminus1_2359,A5_text_warning_residual_lgbm,,5535,0.9033875661856321,1.159556692115432,0.7331502226986935,0.02138882076574821,1.4549864657329905,1.9134239906694548,2.3379008229253166,8.189127588577412,26.73721537903133,26.715826558265583,26.592773261065943,by_official_range_bin,,ge3,,,,
tminus1_2359,A6_target_memory_residual_lgbm,,94,0.8127020445780363,1.0651603771006617,0.7075860810287153,0.02889070957490682,1.2314511478427799,1.5605340741234408,1.7319037584897163,3.9265660011737005,19.98527368829831,19.956382978723404,19.840425531914892,by_official_range_bin,,2,,,,
tminus1_2359,A6_target_memory_residual_lgbm,,5535,0.902123556541026,1.159835340895777,0.7312007394080062,0.021670815771078114,1.4576368796229253,1.909151153780654,2.3349237281267916,8.246808048127383,26.737497374036657,26.715826558265583,26.592773261065943,by_official_range_bin,,ge3,,,,
tminus1_2359,A7_final_residual_ensemble,,94,0.8163854390728847,1.0701807262002352,0.6714017667348315,0.0485682832982117,1.3486021862352346,1.548562805366136,1.694597599262485,3.986888470051152,20.004951262021613,19.956382978723404,19.840425531914892,by_official_range_bin,,2,,,,
tminus1_2359,A7_final_residual_ensemble,,5535,0.9000627770647005,1.1554600939842898,0.7335945220092057,-0.0013195147548372577,1.4566360914108756,1.9099208422372813,2.3177784699215027,7.769879133313763,26.714507043510743,26.715826558265583,26.592773261065943,by_official_range_bin,,ge3,,,,
