router_version,router_scope,router_id,promotion_status,demotion_reason,mae,baseline_mae,mae_delta_vs_baseline,mae_delta_vs_r0,p90_abs_error_delta,row_count,selected_tau,selected_lambda
router_v1_20260627,strict-pre2024,R0_OFFICIAL_LONG_HISTORY,demoted,STRICT_E0_OFFICIAL_ANCHOR_UNAVAILABLE,2.058655993325406,,,,,2191,0.5,0.0
router_v1_20260627,strict-pre2024,R1_CORE_GFS_GEFS,demoted,R1_PROMOTION_GATES_FAILED,2.058655993325406,2.058655993325406,0.0,0.0,0.0,2191,0.5,0.0
