expert_id,row_count,active_count,placeholder_count,placeholder_reasons,readiness_status
E0_OFFICIAL_RAW_ANCHOR,2191,0,2191,NO_ELIGIBLE_ROWS_FOR_DATE,blocked
E1_OFFICIAL_RESIDUAL,2191,0,2191,INSUFFICIENT_HISTORY,blocked
