cutoff_profile,month,rows,router_apply_rate,tail_overlay_apply_rate,mean_correction_when_applied_c
tminus1_1800,1,409,0.4083129584352078,0.0,0.4094996782216884
tminus1_1800,2,376,0.48404255319148937,0.0,0.4256752898177886
tminus1_1800,3,444,0.4594594594594595,0.0,0.3199465314552884
tminus1_1800,4,446,0.44170403587443946,0.0,0.14394696832362533
tminus1_1800,5,467,0.32548179871520344,0.0,0.051323241029996275
tminus1_1800,6,431,0.18329466357308585,0.0,0.11030069517591543
tminus1_1800,7,448,0.31473214285714285,0.0,0.21192503740914082
tminus1_1800,8,446,0.47533632286995514,0.0,0.18441089451065934
tminus1_1800,9,438,0.589041095890411,0.0,0.1102544389235756
tminus1_1800,10,419,0.5322195704057279,0.0,0.12420858265374256
tminus1_1800,11,367,0.5149863760217984,0.0,0.21333615093912123
tminus1_1800,12,359,0.5626740947075209,0.0,0.3971580693177075
tminus1_2100,1,410,0.5097560975609756,0.0,0.39550423046582667
tminus1_2100,2,380,0.6052631578947368,0.0,0.4414718717063751
tminus1_2100,3,447,0.6196868008948546,0.0,0.29755444672657516
tminus1_2100,4,447,0.5033557046979866,0.0,0.14723828366737787
tminus1_2100,5,472,0.4216101694915254,0.0,-0.018748191648984898
tminus1_2100,6,435,0.3471264367816092,0.0,0.07051024562364278
tminus1_2100,7,454,0.5330396475770925,0.0,0.15745321130829817
tminus1_2100,8,448,0.5401785714285714,0.0,0.15449144697512707
tminus1_2100,9,440,0.6454545454545455,0.0,0.10348604179165943
tminus1_2100,10,423,0.6335697399527187,0.0,0.1401043644963581
tminus1_2100,11,369,0.5067750677506775,0.0,0.2683015807389406
tminus1_2100,12,363,0.5840220385674931,0.0,0.45463109545398084
tminus1_2359,1,496,0.532258064516129,0.0,0.3270202531053538
tminus1_2359,2,452,0.5973451327433629,0.0,0.2973084898663902
tminus1_2359,3,496,0.5887096774193549,0.0,0.24161424442229307
tminus1_2359,4,480,0.5104166666666666,0.0,0.14828159293924617
tminus1_2359,5,496,0.3709677419354839,0.0,0.016217125874750153
tminus1_2359,6,450,0.29333333333333333,0.0,0.15498427094563164
tminus1_2359,7,465,0.4150537634408602,0.0,0.19181621388896267
tminus1_2359,8,465,0.47956989247311826,0.0,0.11842532902611677
tminus1_2359,9,450,0.5822222222222222,0.0,0.08451364548883383
tminus1_2359,10,465,0.6,0.0,0.1003453373969163
tminus1_2359,11,449,0.4610244988864143,0.0,0.2557589232892584
tminus1_2359,12,465,0.5376344086021505,0.0,0.37259331458935
