file_date,trade_date,cutoff_utc,entry_time_utc,entry_time_stockholm,side,bucket_label,actual_tmax_f,model_p_bucket,model_p_win,market_prob_side,edge,yes_price_c,no_price_c,entry_price_c,stake,shares,win,pnl,balance_after,note
2025-12-01,2025-11-30,2025-11-30 18:00:00+00:00,2025-11-30 18:00:00+00:00,2025-11-30 19:00:00+01:00,YES,47°F or higher,47,0.9999999999999992,0.9999999999999992,0.0115,0.9884999999999993,1.15,98.85,1.15,108.0,9391.304347826088,True,9283.304347826088,11983.304347826088,trade
2025-12-02,2025-12-01,2025-12-01 18:00:00+00:00,2025-12-01 18:00:00+00:00,2025-12-01 19:00:00+01:00,YES,43°F or higher,43,0.9756965329798676,0.9756965329798676,0.205,0.7706965329798676,20.5,79.5,20.5,479.3321739130435,2338.2057264050904,True,1858.873552492047,13842.177900318135,trade
2025-12-03,2025-12-02,2025-12-02 18:00:00+00:00,2025-12-02 18:00:00+00:00,2025-12-02 19:00:00+01:00,NO,39-40°F,42,0.0,1.0,0.435,0.565,56.5,43.5,43.5,553.6871160127254,1272.84394485684,True,719.1568288441144,14561.334729162249,trade
2025-12-04,2025-12-03,2025-12-03 18:00:00+00:00,,,,,42,,,,,,,,582.45338916649,,,0.0,14561.334729162249,no_entry_signal
2025-12-05,2025-12-04,2025-12-04 18:00:00+00:00,2025-12-04 18:00:00+00:00,2025-12-04 19:00:00+01:00,YES,37°F or higher,43,0.9999999999999999,0.9999999999999999,0.0175,0.9824999999999999,1.75,98.25,1.75,582.45338916649,33283.05080951371,True,32700.597420347225,47261.93214950948,trade
2025-12-06,2025-12-05,2025-12-05 18:00:00+00:00,2025-12-05 18:00:00+00:00,2025-12-05 19:00:00+01:00,YES,33°F or below,32,0.7715688928713136,0.7715688928713136,0.0005,0.7710688928713136,0.05,99.95,0.05,1890.477285980379,3780954.571960758,True,3779064.0946747777,3826326.026824287,trade
2025-12-07,2025-12-06,2025-12-06 18:00:00+00:00,2025-12-06 18:00:00+00:00,2025-12-06 19:00:00+01:00,NO,40-41°F,43,0.0,1.0,0.51,0.49,49.0,51.0,51.0,153053.04107297148,300104.0021038656,True,147050.96103089413,3973376.987855181,trade
2025-12-08,2025-12-07,2025-12-07 18:00:00+00:00,2025-12-07 18:00:00+00:00,2025-12-07 19:00:00+01:00,YES,37°F or higher,43,1.0000000000000002,1.0000000000000002,0.2,0.8000000000000003,20.0,80.0,20.0,158935.07951420726,794675.3975710362,True,635740.318056829,4609117.30591201,trade
2025-12-09,2025-12-08,2025-12-08 18:00:00+00:00,2025-12-08 18:00:00+00:00,2025-12-08 19:00:00+01:00,YES,39°F or higher,40,0.9999999999999997,0.9999999999999997,0.027999999999999997,0.9719999999999996,2.8,97.2,2.8,184364.69223648042,6584453.294160016,True,6400088.601923536,11009205.907835547,trade
2025-12-10,2025-12-09,2025-12-09 18:00:00+00:00,2025-12-09 18:00:00+00:00,2025-12-09 19:00:00+01:00,YES,39°F or below,35,0.9754170067935329,0.9754170067935329,0.018500000000000003,0.956917006793533,1.85,98.15,1.85,440368.23631342186,23803688.44937415,True,23363320.21306073,34372526.12089628,trade
