season,method,family,row_count,rps,nll,brier,crps,ece,mce,entropy
DJF,B5_kernel_analog_pmf,analog_pmf,1413,0.004407272768297958,0.13454938231140523,0.006627341890221131,0.04407272768297959,0.009848342690385627,0.7227742861626412,0.1486951292345449
DJF,S1_conservative_simplex_stack,stack,1413,0.004450108625475429,0.13696433001523048,0.006668131654611046,0.044501086254754296,0.01642967121858175,0.36191225556185413,0.16019264509958867
DJF,B4_hierarchical_residual_pmf,residual_pmf,1413,0.004450735011059411,0.13581083556258275,0.006673503042704115,0.044507350110594125,0.012254536767718704,0.2842445989752619,0.14960253343366836
DJF,K0_B4_identity,calibration,1413,0.004450735011059411,0.13581083556258275,0.006673503042704115,0.044507350110594125,0.012254536767718704,0.2842445989752619,0.14960253343366836
DJF,K2_B4_monotone_cdf_projected,calibration,1413,0.004450735011059411,0.13581083556258292,0.006673503042704115,0.04450735011059412,0.012254536767718704,0.2842445989752619,0.1496025334336711
DJF,K1_B4_power_calibrated,calibration,1413,0.004457501877501858,0.13671292844403685,0.006664161510363068,0.04457501877501859,0.015064245622025924,0.3650158197078062,0.1580989177183803
DJF,B2_month_residual_pmf,residual_pmf,1413,0.004462930569871326,0.1369753779773826,0.00667114182960138,0.04462930569871327,0.014595019023020777,0.39473190677164854,0.1583160285143021
DJF,B3_forecast_level_residual_pmf,residual_pmf,1413,0.004466104709461682,0.13918348919571766,0.006664643441829633,0.04466104709461682,0.012498434819681267,0.710716662541502,0.1685748604423853
DJF,B1_global_residual_pmf,residual_pmf,1413,0.00447722381999519,0.13714607647204763,0.006713250147443158,0.04477223819995191,0.014130271555122333,0.2789126143197397,0.1464537933632696
DJF,P1_normal_mos,mos,1413,0.004515900021643633,0.13604401996314325,0.006749009011420911,0.04515900021643633,0.01170301194427053,0.232057924774689,0.13688774337757054
DJF,P2_student_t_mos,mos,1413,0.004530685364508556,0.1392156974100689,0.006763566050089963,0.04530685364508556,0.014152012708052806,0.23047636509597375,0.15669868103047038
DJF,C1_multinomial_ridge,direct_classifier,1413,0.0045780527494995804,0.14508818575823695,0.006809201690954654,0.04578052749499582,0.016367553928165753,0.3505113930680848,0.1861790627674677
DJF,C2_ordinal_cdf_logistic,direct_classifier,1413,0.0046335172138927926,0.14598219955212993,0.006860748016731729,0.046335172138927926,0.015283507647135198,0.1395386759269373,0.18430077210942705
DJF,B6_month_climatology_diagnostic,diagnostic,1413,0.008386817299593816,0.28012876444224305,0.01020485068928163,0.08386817299593816,0.022308729120957382,0.022308729120957382,0.18237386306159656
DJF,B0_climatology,baseline,1413,0.1393930861259402,1.0475282338461362,0.04049721344674032,1.393930861259402,0.5431169337424868,0.5520008039901496,2.0092923655247836
JJA,B5_kernel_analog_pmf,analog_pmf,1380,0.059061022186275,1.5487004219708165,0.06599719115633247,0.5906102218627501,0.03217239232760465,0.785406564658553,1.3960100747863295
JJA,S1_conservative_simplex_stack,stack,1380,0.05917021047883288,1.473826654768804,0.06583586420219646,0.5917021047883287,0.021890255712787014,0.2087956059008894,1.4440065688362744
JJA,K1_B4_power_calibrated,calibration,1380,0.05921133964494112,1.4772751916387632,0.06585629457593857,0.5921133964494112,0.03269292319821337,0.20936282217766233,1.4426036625245757
JJA,B4_hierarchical_residual_pmf,residual_pmf,1380,0.05921403827713359,1.4796968744777794,0.06588677448687326,0.5921403827713358,0.021537383809993992,0.08408621865664179,1.4196516787288245
JJA,K0_B4_identity,calibration,1380,0.05921403827713359,1.4796968744777794,0.06588677448687326,0.5921403827713358,0.021537383809993992,0.08408621865664179,1.4196516787288245
JJA,K2_B4_monotone_cdf_projected,calibration,1380,0.05921403827713359,1.4796968744777799,0.06588677448687326,0.592140382771336,0.021537383809994003,0.08408621865664179,1.4196516787288245
JJA,B1_global_residual_pmf,residual_pmf,1380,0.059365509520344195,1.4870747862208293,0.06642690658335434,0.5936550952034421,0.04034534771779952,0.5618580216380071,1.5168309735545886
JJA,B3_forecast_level_residual_pmf,residual_pmf,1380,0.059390570188535136,1.487845301725281,0.06617319730872841,0.5939057018853513,0.01619031669461065,0.04943121036807674,1.406655093077199
JJA,B2_month_residual_pmf,residual_pmf,1380,0.05956565068362928,1.4890485948138341,0.06637264706353038,0.5956565068362928,0.028632274318948325,0.5057380938391742,1.4579125466157938
JJA,P1_normal_mos,mos,1380,0.05975008426845368,1.492848301494486,0.06667078048850214,0.5975008426845368,0.04624293786606751,0.09758064015297718,1.5508952980295503
JJA,P2_student_t_mos,mos,1380,0.05993807388283341,1.5028314865204107,0.06679423928034685,0.5993807388283341,0.053349522064816905,0.09763046683044807,1.609803803627367
JJA,C1_multinomial_ridge,direct_classifier,1380,0.06086935070311411,1.5091964396303823,0.06728579560264239,0.6086935070311411,0.026073233318417415,0.2732858266765118,1.5138299950161926
JJA,C2_ordinal_cdf_logistic,direct_classifier,1380,0.06176508243804432,1.5270944633998282,0.0676187403236822,0.6176508243804432,0.027475106509381186,0.33337832942959433,1.562048362899247
JJA,B6_month_climatology_diagnostic,diagnostic,1380,0.10853944553602075,2.027723223209724,0.07726751141218897,1.0853944553602075,0.037051231920893934,0.06754217077310354,1.9755544150071116
JJA,B0_climatology,baseline,1380,0.29731644768123355,2.8798874702716066,0.09744816604054572,2.973164476812335,0.3972609309197707,0.4036612199025619,2.007494430808691
MAM,B5_kernel_analog_pmf,analog_pmf,1472,0.051837036638603576,1.2775156668112195,0.05229773209492475,0.5183703663860358,0.015816060157776396,0.2599839201105202,1.196536771432372
MAM,S1_conservative_simplex_stack,stack,1472,0.052478878155627996,1.22991490721221,0.05263362268204134,0.5247887815562801,0.015464204515259938,0.0662652031510918,1.2270856603538045
MAM,B3_forecast_level_residual_pmf,residual_pmf,1472,0.052544405181815225,1.2304039421380482,0.052654440758466765,0.5254440518181521,0.036784593975472055,0.14104008764635068,1.1448155393490371
MAM,B4_hierarchical_residual_pmf,residual_pmf,1472,0.052576553942830104,1.23434115137818,0.052706951474172405,0.5257655394283011,0.020247767940534407,0.07408127788572544,1.225925201057402
MAM,K0_B4_identity,calibration,1472,0.052576553942830104,1.23434115137818,0.052706951474172405,0.5257655394283011,0.020247767940534407,0.07408127788572544,1.225925201057402
MAM,K2_B4_monotone_cdf_projected,calibration,1472,0.052576553942830104,1.2343411513781812,0.052706951474172405,0.5257655394283011,0.020247767940534435,0.07408127788572544,1.225925201057403
MAM,K1_B4_power_calibrated,calibration,1472,0.05260491202942184,1.234510645047886,0.05271317548010856,0.5260491202942186,0.016263409191760902,0.054033070677693584,1.2492894476114376
MAM,P2_student_t_mos,mos,1472,0.05268506376244843,1.2309769750613686,0.052865832395053915,0.5268506376244844,0.02131186289969441,0.16526749903760551,1.1945550524652395
MAM,P1_normal_mos,mos,1472,0.052795800501121024,1.2381170581936876,0.05293558921000039,0.5279580050112103,0.03356344607403785,0.14864112209822,1.1402597204874432
MAM,B2_month_residual_pmf,residual_pmf,1472,0.05286417660174982,1.2406867922988352,0.05282582955161152,0.5286417660174982,0.02729054760694417,0.12612370292013264,1.255201518014138
MAM,C1_multinomial_ridge,direct_classifier,1472,0.05294134865552697,1.2365034517777085,0.05322854926194227,0.5294134865552698,0.035133093379354566,0.21544843231344107,1.1845805170739
MAM,B1_global_residual_pmf,residual_pmf,1472,0.05312798084892654,1.2435834299606876,0.053036841736833276,0.5312798084892654,0.04282747719063992,0.15576569045484612,1.1372287563629988
MAM,C2_ordinal_cdf_logistic,direct_classifier,1472,0.05335390570079459,1.2530732133702158,0.05350853429857559,0.5335390570079458,0.04731723137439128,0.1510065536345751,1.2190074956463948
MAM,B6_month_climatology_diagnostic,diagnostic,1472,0.11614829269097904,1.9058123876497743,0.06899229202715551,1.1614829269097906,0.09165776485144453,0.14855371258773764,1.5570477756730912
MAM,B0_climatology,baseline,1472,0.15421823390125491,2.111041944070032,0.07576473188018708,1.542182339012549,0.05106163018549531,0.11086057408753158,2.0101791709446597
SON,S1_conservative_simplex_stack,stack,1364,0.05111043955394766,1.31438626560918,0.059553784968634754,0.5111043955394766,0.03468578679968803,0.2239150662472138,1.3009437581087686
SON,K1_B4_power_calibrated,calibration,1364,0.05114731325173273,1.31977266487978,0.059587891699085634,0.5114731325173273,0.03807860961330615,0.2196289535220579,1.2949496757870524
SON,B4_hierarchical_residual_pmf,residual_pmf,1364,0.051169372327036874,1.3217456745653076,0.05964058227881695,0.5116937232703688,0.04392757588891763,0.2357224642560255,1.2693738561130152
SON,K0_B4_identity,calibration,1364,0.051169372327036874,1.3217456745653076,0.05964058227881695,0.5116937232703688,0.04392757588891763,0.2357224642560255,1.2693738561130152
SON,K2_B4_monotone_cdf_projected,calibration,1364,0.051169372327036874,1.3217456745653076,0.05964058227881695,0.5116937232703688,0.043927575888917623,0.2357224642560255,1.2693738561130152
SON,B5_kernel_analog_pmf,analog_pmf,1364,0.05118156505715835,1.346697711977764,0.05942724876886349,0.5118156505715836,0.03306697512233702,0.49816846299377104,1.2644734782707348
SON,B2_month_residual_pmf,residual_pmf,1364,0.051272958252547296,1.3199966623513506,0.05953318672305756,0.512729582525473,0.011318011285304184,0.23625159728056544,1.2992571701017994
SON,B1_global_residual_pmf,residual_pmf,1364,0.05129735628035972,1.3228621754769767,0.05968900418781662,0.5129735628035972,0.03821965555953795,0.2555855320901579,1.4060909146699063
SON,P1_normal_mos,mos,1364,0.051344568089003076,1.323450731412773,0.059902392583400584,0.5134456808900307,0.05243694133517678,0.5258828629112561,1.41896505699208
SON,B3_forecast_level_residual_pmf,residual_pmf,1364,0.05151516265219912,1.3228333598850217,0.05974066537512826,0.5151516265219913,0.026065694991874173,0.19458763028343756,1.376270564853302
SON,P2_student_t_mos,mos,1364,0.05159398210496476,1.3382554074452562,0.060046031598627043,0.5159398210496475,0.0699294493925611,0.5253483408692166,1.479702889042159
SON,C1_multinomial_ridge,direct_classifier,1364,0.05298307479953702,1.3537544995549802,0.06068157085825168,0.5298307479953702,0.039588107214386985,0.1279902028190718,1.4551408224645406
SON,C2_ordinal_cdf_logistic,direct_classifier,1364,0.05307533980757002,1.3576729726713976,0.06049750796965103,0.5307533980757002,0.032264281024175265,0.13627924900929778,1.4916526468097782
SON,B6_month_climatology_diagnostic,diagnostic,1364,0.11013359735052433,2.006796381079111,0.07598104047271516,1.1013359735052433,0.08228152582577963,0.17944165676752594,1.785078387842658
SON,B0_climatology,baseline,1364,0.18685090652447173,2.466700947699876,0.08750754975483124,1.8685090652447172,0.24182277904585114,0.25577245794884895,2.0075102105143117
