model_id,split,n,first_date,last_date,mae,rmse,median_abs_error,bias,crps_normal,pinball_mean,coverage_80,coverage_90
station_state_analogue,development,729,2021-12-30,2023-12-31,1.4874677640603566,1.9271539959239083,1.216000000000001,0.15088614540466383,1.0651001397106705,0.4343547844736569,0.8271604938271605,0.9012345679012346
cutoff_station_temperature_persistence,development,729,2021-12-30,2023-12-31,1.734979423868313,2.2167896559215587,1.4000000000000021,-0.8941015089163238,1.2353949512269031,0.5023687340897014,0.7983539094650206,0.8834019204389575
transparent_equal_weight_blend,development,729,2021-12-30,2023-12-31,1.7695332709336813,2.251499470377185,1.4889126819426721,-0.13375747177416322,1.2517426154717484,0.5078471919009984,0.8175582990397805,0.9135802469135802
multi_day_thermal_memory,development,729,2021-12-30,2023-12-31,2.146349794238683,2.7520774517465028,1.732999999999997,-0.018956104252400414,1.5343953167252276,0.6235524752306967,0.813443072702332,0.9080932784636488
recent10y_climatology,development,729,2021-12-30,2023-12-31,2.1563655022269255,2.6944018562186476,1.8783216783216723,-0.32419416378622584,1.5120888546864342,0.6089005516212692,0.8175582990397805,0.9094650205761317
seasonal_anomaly_persistence,development,729,2021-12-30,2023-12-31,2.163220813714789,2.847472943215646,1.6419386503067486,-0.009959636610535004,1.5683130279566,0.6423671882715,0.8189300411522634,0.9039780521262003
last_final_tmax_persistence,development,729,2021-12-30,2023-12-31,2.1666666666666665,2.8508536011419516,1.6000000000000014,-0.010288065843621385,1.5698833747423815,0.6426491907078539,0.813443072702332,0.8998628257887518
trend_adjusted_climatology,development,729,2021-12-30,2023-12-31,2.2491910285954346,2.768805381475315,1.9802268942420085,-0.6570002916383811,1.5633986929172137,0.6264546093628117,0.8093278463648834,0.9012345679012346
day_of_year_climatology,development,729,2021-12-30,2023-12-31,2.602957237743269,3.1509541122445706,2.297226993865028,-1.5680117546385477,1.8104650217840705,0.7231433436009389,0.720164609053498,0.8614540466392319
station_state_analogue,validation_2024,364,2024-01-01,2024-12-31,1.5031758241758244,1.8973737198999658,1.2980000000000036,0.01847252747252753,1.0654027258569123,0.4297049166509342,0.8186813186813187,0.9093406593406593
transparent_equal_weight_blend,validation_2024,364,2024-01-01,2024-12-31,1.679222881884465,2.162135158397149,1.3474554550814322,-0.2339966081878295,1.1974927122849046,0.4900446238181658,0.8324175824175825,0.9120879120879121
cutoff_station_temperature_persistence,validation_2024,364,2024-01-01,2024-12-31,1.7835164835164836,2.244149903907667,1.5,-0.8379120879120879,1.2688040079733545,0.5113422669828732,0.7472527472527473,0.8598901098901099
multi_day_thermal_memory,validation_2024,364,2024-01-01,2024-12-31,1.987848901098901,2.6148631606455237,1.5779999999999976,0.017376373626373984,1.4385329924546288,0.590282088570145,0.8571428571428571,0.9230769230769231
recent10y_climatology,validation_2024,364,2024-01-01,2024-12-31,2.0932772074814165,2.6320635838622413,1.7662649701842081,-0.5103659335985001,1.478600667951383,0.5982457246839494,0.804945054945055,0.9065934065934066
last_final_tmax_persistence,validation_2024,364,2024-01-01,2024-12-31,2.1170329670329666,2.7471463715669002,1.6999999999999993,0.000549450549450528,1.528731982590902,0.6224776826540469,0.8241758241758241,0.9065934065934066
seasonal_anomaly_persistence,validation_2024,364,2024-01-01,2024-12-31,2.1195345811516986,2.742123123360864,1.7049915397631104,0.0011789402904945352,1.527299981767741,0.6220633365350012,0.8351648351648352,0.9175824175824175
trend_adjusted_climatology,validation_2024,364,2024-01-01,2024-12-31,2.239114208766738,2.7717205943744556,1.8482841739144256,-0.9730142741407135,1.5668273116039593,0.6312771381331965,0.7994505494505495,0.8791208791208791
day_of_year_climatology,validation_2024,364,2024-01-01,2024-12-31,2.698125436101225,3.2870242507320953,2.3815083393763583,-1.9216159366077334,1.8835330152613872,0.7581199465018639,0.7472527472527473,0.8406593406593407
