forecast_range_bin,scope,n,mae,rmse,median_abs_error,bias,p80_abs_error,p90_abs_error,p95_abs_error,max_abs_error,first_date,last_date
narrow_le_2,range_bin,86,0.8527572223662394,1.0972299538475598,0.7406489105402994,0.13321690431325026,1.2775647621546362,1.5981064121755502,1.896264194699854,3.7809877446797415,2011-02-19,2023-09-10
very_wide_gt_4,range_bin,2408,0.8682791305287175,1.1258030217060053,0.6751001015965485,0.021818318497768812,1.3739587576209191,1.8544906963240162,2.387308695997298,4.024378739233143,2011-01-01,2023-12-31
wide_4,range_bin,1530,0.9723869047440203,1.2391300146977546,0.7795741884464871,-0.05758605406703106,1.6132743569682007,2.093038804503368,2.428750224234004,3.9190365895960575,2011-01-03,2023-12-30
normal_3,range_bin,723,0.9999464757061433,1.2529329062391437,0.8429299470110543,0.11676492113796991,1.620009566030559,2.0119361439973726,2.370610417370138,4.403362920320813,2011-01-04,2023-12-23
