dominant_regime,scope,n,mae,rmse,median_abs_error,bias,p80_abs_error,p90_abs_error,p95_abs_error,max_abs_error,first_date,last_date
tropical_cyclone_proxy_regime,weather_regime,128,0.7584673907221803,0.9373952922656265,0.6404322992348384,0.025890428470795063,1.0986990844823816,1.4679798143003226,1.8891317358619977,2.754655755752321,2011-05-09,2022-10-19
hot_humid_persistence,weather_regime,744,0.8790930821269095,1.1412962094754562,0.673071342876506,0.0658893866541512,1.4055209122589856,1.906753795948419,2.3351122428713853,4.403362920320813,2011-04-19,2023-12-17
high_forecast_uncertainty_regime,weather_regime,936,0.8896150273999807,1.1415271177289485,0.7247923213350589,-0.05750580142759948,1.4205598763997713,1.9166218525882837,2.3784292996155623,3.8375235469599875,2011-01-01,2023-12-31
cloud_rain_suppressed,weather_regime,2789,0.9479457528003945,1.213724307214695,0.7708307030518569,0.0344287086253434,1.5324679683203208,2.0225949072506495,2.4629329552607544,4.210578384301357,2011-01-06,2023-12-25
marine_moderation_regime,weather_regime,150,0.9815805620599967,1.2380697162075558,0.7812215393134156,-0.2281491784069223,1.7139952018143305,2.070790442927916,2.3244286207583755,3.6595693509277183,2011-01-03,2023-03-01
