split,feature,missing_pct,non_null_count
presealed_holdout_2022_2023,eligible_forecast_count,0.0,2920
rolling_valid_2011_2013,eligible_forecast_count,0.0,4384
rolling_valid_2014_2016,eligible_forecast_count,0.0,4384
rolling_valid_2017_2019,eligible_forecast_count,0.0,4380
rolling_valid_2020_2021,eligible_forecast_count,0.0,2924
sealed_confirmation_2024_plus,eligible_forecast_count,0.0,3528
train_base_2000_2010,eligible_forecast_count,0.0,16068
presealed_holdout_2022_2023,fcst_flag_active_southerly,29.45205479452055,2060
rolling_valid_2011_2013,fcst_flag_active_southerly,29.949817518248175,3071
rolling_valid_2014_2016,fcst_flag_active_southerly,30.67974452554745,3039
rolling_valid_2017_2019,fcst_flag_active_southerly,29.315068493150687,3096
rolling_valid_2020_2021,fcst_flag_active_southerly,28.59097127222982,2088
sealed_confirmation_2024_plus,fcst_flag_active_southerly,31.604308390022677,2413
train_base_2000_2010,fcst_flag_active_southerly,33.78142892706,10640
presealed_holdout_2022_2023,fcst_flag_bright_periods,29.45205479452055,2060
rolling_valid_2011_2013,fcst_flag_bright_periods,29.949817518248175,3071
rolling_valid_2014_2016,fcst_flag_bright_periods,30.67974452554745,3039
rolling_valid_2017_2019,fcst_flag_bright_periods,29.315068493150687,3096
rolling_valid_2020_2021,fcst_flag_bright_periods,28.59097127222982,2088
sealed_confirmation_2024_plus,fcst_flag_bright_periods,31.604308390022677,2413
train_base_2000_2010,fcst_flag_bright_periods,33.78142892706,10640
presealed_holdout_2022_2023,fcst_flag_cloudy,29.45205479452055,2060
rolling_valid_2011_2013,fcst_flag_cloudy,29.949817518248175,3071
rolling_valid_2014_2016,fcst_flag_cloudy,30.67974452554745,3039
rolling_valid_2017_2019,fcst_flag_cloudy,29.315068493150687,3096
rolling_valid_2020_2021,fcst_flag_cloudy,28.59097127222982,2088
sealed_confirmation_2024_plus,fcst_flag_cloudy,31.604308390022677,2413
train_base_2000_2010,fcst_flag_cloudy,33.78142892706,10640
presealed_holdout_2022_2023,fcst_flag_easterly_ne,29.45205479452055,2060
rolling_valid_2011_2013,fcst_flag_easterly_ne,29.949817518248175,3071
rolling_valid_2014_2016,fcst_flag_easterly_ne,30.67974452554745,3039
rolling_valid_2017_2019,fcst_flag_easterly_ne,29.315068493150687,3096
rolling_valid_2020_2021,fcst_flag_easterly_ne,28.59097127222982,2088
sealed_confirmation_2024_plus,fcst_flag_easterly_ne,31.604308390022677,2413
train_base_2000_2010,fcst_flag_easterly_ne,33.78142892706,10640
presealed_holdout_2022_2023,fcst_flag_fine,29.45205479452055,2060
rolling_valid_2011_2013,fcst_flag_fine,29.949817518248175,3071
rolling_valid_2014_2016,fcst_flag_fine,30.67974452554745,3039
rolling_valid_2017_2019,fcst_flag_fine,29.315068493150687,3096
rolling_valid_2020_2021,fcst_flag_fine,28.59097127222982,2088
sealed_confirmation_2024_plus,fcst_flag_fine,31.604308390022677,2413
train_base_2000_2010,fcst_flag_fine,33.78142892706,10640
presealed_holdout_2022_2023,fcst_flag_heavy_showers,29.45205479452055,2060
rolling_valid_2011_2013,fcst_flag_heavy_showers,29.949817518248175,3071
rolling_valid_2014_2016,fcst_flag_heavy_showers,30.67974452554745,3039
rolling_valid_2017_2019,fcst_flag_heavy_showers,29.315068493150687,3096
rolling_valid_2020_2021,fcst_flag_heavy_showers,28.59097127222982,2088
sealed_confirmation_2024_plus,fcst_flag_heavy_showers,31.604308390022677,2413
train_base_2000_2010,fcst_flag_heavy_showers,33.78142892706,10640
presealed_holdout_2022_2023,fcst_flag_hot,29.45205479452055,2060
rolling_valid_2011_2013,fcst_flag_hot,29.949817518248175,3071
rolling_valid_2014_2016,fcst_flag_hot,30.67974452554745,3039
rolling_valid_2017_2019,fcst_flag_hot,29.315068493150687,3096
rolling_valid_2020_2021,fcst_flag_hot,28.59097127222982,2088
sealed_confirmation_2024_plus,fcst_flag_hot,31.604308390022677,2413
train_base_2000_2010,fcst_flag_hot,33.78142892706,10640
presealed_holdout_2022_2023,fcst_flag_mist_fog,29.45205479452055,2060
rolling_valid_2011_2013,fcst_flag_mist_fog,29.949817518248175,3071
rolling_valid_2014_2016,fcst_flag_mist_fog,30.67974452554745,3039
rolling_valid_2017_2019,fcst_flag_mist_fog,29.315068493150687,3096
rolling_valid_2020_2021,fcst_flag_mist_fog,28.59097127222982,2088
sealed_confirmation_2024_plus,fcst_flag_mist_fog,31.604308390022677,2413
train_base_2000_2010,fcst_flag_mist_fog,33.78142892706,10640
presealed_holdout_2022_2023,fcst_flag_monsoon,29.45205479452055,2060
rolling_valid_2011_2013,fcst_flag_monsoon,29.949817518248175,3071
rolling_valid_2014_2016,fcst_flag_monsoon,30.67974452554745,3039
rolling_valid_2017_2019,fcst_flag_monsoon,29.315068493150687,3096
rolling_valid_2020_2021,fcst_flag_monsoon,28.59097127222982,2088
sealed_confirmation_2024_plus,fcst_flag_monsoon,31.604308390022677,2413
train_base_2000_2010,fcst_flag_monsoon,33.78142892706,10640
presealed_holdout_2022_2023,fcst_flag_nt_higher,29.45205479452055,2060
rolling_valid_2011_2013,fcst_flag_nt_higher,29.949817518248175,3071
rolling_valid_2014_2016,fcst_flag_nt_higher,30.67974452554745,3039
rolling_valid_2017_2019,fcst_flag_nt_higher,29.315068493150687,3096
rolling_valid_2020_2021,fcst_flag_nt_higher,28.59097127222982,2088
sealed_confirmation_2024_plus,fcst_flag_nt_higher,31.604308390022677,2413
train_base_2000_2010,fcst_flag_nt_higher,33.78142892706,10640
presealed_holdout_2022_2023,fcst_flag_showers,29.45205479452055,2060
rolling_valid_2011_2013,fcst_flag_showers,29.949817518248175,3071
rolling_valid_2014_2016,fcst_flag_showers,30.67974452554745,3039
rolling_valid_2017_2019,fcst_flag_showers,29.315068493150687,3096
rolling_valid_2020_2021,fcst_flag_showers,28.59097127222982,2088
sealed_confirmation_2024_plus,fcst_flag_showers,31.604308390022677,2413
train_base_2000_2010,fcst_flag_showers,33.78142892706,10640
presealed_holdout_2022_2023,fcst_flag_southerly,29.45205479452055,2060
rolling_valid_2011_2013,fcst_flag_southerly,29.949817518248175,3071
rolling_valid_2014_2016,fcst_flag_southerly,30.67974452554745,3039
rolling_valid_2017_2019,fcst_flag_southerly,29.315068493150687,3096
rolling_valid_2020_2021,fcst_flag_southerly,28.59097127222982,2088
sealed_confirmation_2024_plus,fcst_flag_southerly,31.604308390022677,2413
train_base_2000_2010,fcst_flag_southerly,33.78142892706,10640
presealed_holdout_2022_2023,fcst_flag_squally,29.45205479452055,2060
rolling_valid_2011_2013,fcst_flag_squally,29.949817518248175,3071
rolling_valid_2014_2016,fcst_flag_squally,30.67974452554745,3039
rolling_valid_2017_2019,fcst_flag_squally,29.315068493150687,3096
rolling_valid_2020_2021,fcst_flag_squally,28.59097127222982,2088
sealed_confirmation_2024_plus,fcst_flag_squally,31.604308390022677,2413
train_base_2000_2010,fcst_flag_squally,33.78142892706,10640
presealed_holdout_2022_2023,fcst_flag_sunny,29.45205479452055,2060
rolling_valid_2011_2013,fcst_flag_sunny,29.949817518248175,3071
rolling_valid_2014_2016,fcst_flag_sunny,30.67974452554745,3039
rolling_valid_2017_2019,fcst_flag_sunny,29.315068493150687,3096
rolling_valid_2020_2021,fcst_flag_sunny,28.59097127222982,2088
sealed_confirmation_2024_plus,fcst_flag_sunny,31.604308390022677,2413
train_base_2000_2010,fcst_flag_sunny,33.78142892706,10640
presealed_holdout_2022_2023,fcst_flag_thunderstorm,29.45205479452055,2060
rolling_valid_2011_2013,fcst_flag_thunderstorm,29.949817518248175,3071
rolling_valid_2014_2016,fcst_flag_thunderstorm,30.67974452554745,3039
rolling_valid_2017_2019,fcst_flag_thunderstorm,29.315068493150687,3096
rolling_valid_2020_2021,fcst_flag_thunderstorm,28.59097127222982,2088
sealed_confirmation_2024_plus,fcst_flag_thunderstorm,31.604308390022677,2413
train_base_2000_2010,fcst_flag_thunderstorm,33.78142892706,10640
presealed_holdout_2022_2023,fcst_flag_tropical_cyclone,29.45205479452055,2060
rolling_valid_2011_2013,fcst_flag_tropical_cyclone,29.949817518248175,3071
rolling_valid_2014_2016,fcst_flag_tropical_cyclone,30.67974452554745,3039
rolling_valid_2017_2019,fcst_flag_tropical_cyclone,29.315068493150687,3096
rolling_valid_2020_2021,fcst_flag_tropical_cyclone,28.59097127222982,2088
sealed_confirmation_2024_plus,fcst_flag_tropical_cyclone,31.604308390022677,2413
train_base_2000_2010,fcst_flag_tropical_cyclone,33.78142892706,10640
presealed_holdout_2022_2023,fcst_flag_very_hot,29.45205479452055,2060
rolling_valid_2011_2013,fcst_flag_very_hot,29.949817518248175,3071
rolling_valid_2014_2016,fcst_flag_very_hot,30.67974452554745,3039
rolling_valid_2017_2019,fcst_flag_very_hot,29.315068493150687,3096
rolling_valid_2020_2021,fcst_flag_very_hot,28.59097127222982,2088
sealed_confirmation_2024_plus,fcst_flag_very_hot,31.604308390022677,2413
train_base_2000_2010,fcst_flag_very_hot,33.78142892706,10640
presealed_holdout_2022_2023,forecast_anchor_tie_flag,0.0,2920
rolling_valid_2011_2013,forecast_anchor_tie_flag,0.0,4384
rolling_valid_2014_2016,forecast_anchor_tie_flag,0.0,4384
rolling_valid_2017_2019,forecast_anchor_tie_flag,0.0,4380
rolling_valid_2020_2021,forecast_anchor_tie_flag,0.0,2924
sealed_confirmation_2024_plus,forecast_anchor_tie_flag,0.0,3528
train_base_2000_2010,forecast_anchor_tie_flag,0.0,16068
presealed_holdout_2022_2023,forecast_full_text_missing_flag,29.45205479452055,2060
rolling_valid_2011_2013,forecast_full_text_missing_flag,29.949817518248175,3071
rolling_valid_2014_2016,forecast_full_text_missing_flag,30.67974452554745,3039
rolling_valid_2017_2019,forecast_full_text_missing_flag,29.315068493150687,3096
rolling_valid_2020_2021,forecast_full_text_missing_flag,28.59097127222982,2088
sealed_confirmation_2024_plus,forecast_full_text_missing_flag,31.604308390022677,2413
train_base_2000_2010,forecast_full_text_missing_flag,33.78142892706,10640
presealed_holdout_2022_2023,forecast_revision_missing_prev_flag,29.45205479452055,2060
rolling_valid_2011_2013,forecast_revision_missing_prev_flag,29.949817518248175,3071
rolling_valid_2014_2016,forecast_revision_missing_prev_flag,30.67974452554745,3039
