source,cycle,lead,object_length,selected_range_count,selected_bytes,single_span_bytes,merged_count_gap_0,merged_bytes_gap_0,merged_count_gap_64000,merged_bytes_gap_64000,merged_count_gap_256000,merged_bytes_gap_256000,merged_count_gap_1000000,merged_bytes_gap_1000000,merged_count_gap_5000000,merged_bytes_gap_5000000,merged_count_gap_25000000,merged_bytes_gap_25000000
gefs_control,12,27,18182921,15,8187001,17864213,6,8187001,6,8187001,6,8187001,5,8786523,1,17864213,1,17864213
gefs_control,12,30,18283320,15,8343762,17962640,6,8343762,6,8343762,6,8343762,5,8943422,1,17962640,1,17962640
gefs_control,12,33,18095799,15,8176205,17776385,6,8176205,6,8176205,6,8176205,5,8773797,1,17776385,1,17776385
gefs_control,12,36,18112845,15,8285218,17803080,6,8285218,6,8285218,6,8285218,5,8872978,1,17803080,1,17803080
gefs_control,12,39,18054937,15,8128822,17744758,6,8128822,6,8128822,6,8128822,5,8719071,1,17744758,1,17744758
gefs_control,12,42,18515454,15,8589539,18204238,6,8589539,6,8589539,6,8589539,5,9183389,1,18204238,1,18204238
gefs_control,12,45,18000098,15,8072435,17683962,6,8072435,6,8072435,6,8072435,5,8669315,1,17683962,1,17683962
gefs_control,12,48,18153587,15,8258012,17837058,6,8258012,6,8258012,6,8258012,5,8847824,1,17837058,1,17837058
gefs_control,18,0,12797962,12,6557535,12492664,4,6557535,4,6557535,4,6557535,3,7097347,1,12492664,1,12492664
gefs_control,18,3,18317247,15,8581889,18010517,6,8581889,6,8581889,6,8581889,5,9145305,1,18010517,1,18010517
gefs_control,18,6,17893434,15,8203348,17596444,6,8203348,6,8203348,6,8203348,5,8767211,1,17596444,1,17596444
gefs_control,18,9,18896493,15,9034067,18597900,6,9034067,6,9034067,6,9034067,5,9608567,1,18597900,1,18597900
gefs_control,18,12,18354414,15,8549036,18054140,6,8549036,6,8549036,6,8549036,5,9136171,1,18054140,1,18054140
gefs_control,18,15,18389763,15,8089175,18085182,6,8089175,6,8089175,6,8089175,5,8684678,1,18085182,1,18085182
gefs_control,18,18,18509690,15,8256700,18202036,6,8256700,6,8256700,6,8256700,5,8847215,1,18202036,1,18202036
gefs_control,18,21,18174369,15,8184999,17860798,6,8184999,6,8184999,6,8184999,5,8783635,1,17860798,1,17860798
gefs_control,18,24,18303119,15,8348709,17985803,6,8348709,6,8348709,6,8348709,5,8946919,1,17985803,1,17985803
gefs_control,18,27,18077517,15,8184155,17763660,6,8184155,6,8184155,6,8184155,5,8776979,1,17763660,1,17763660
gefs_control,18,30,18104110,15,8284694,17799524,6,8284694,6,8284694,6,8284694,5,8867465,1,17799524,1,17799524
gefs_control,18,33,18055178,15,8119876,17751014,6,8119876,6,8119876,6,8119876,5,8707234,1,17751014,1,17751014
gefs_control,18,36,18383279,15,8579588,18076048,6,8579588,6,8579588,6,8579588,5,9170896,1,18076048,1,18076048
gefs_control,18,39,18065044,15,8061003,17749420,6,8061003,6,8061003,6,8061003,5,8660021,1,17749420,1,17749420
gefs_control,18,42,18151743,15,8271170,17834464,6,8271170,6,8271170,6,8271170,5,8862020,1,17834464,1,17834464
gefs_control,18,45,18087454,15,8136604,17765720,6,8136604,6,8136604,6,8136604,5,8730586,1,17765720,1,17765720
gefs_control,18,48,17955872,15,8315254,17631957,6,8315254,6,8315254,6,8315254,5,8911154,1,17631957,1,17631957
