season,method,family,row_count,rps,nll,brier,crps,ece,mce,entropy
DJF,B5_kernel_analog_pmf,analog_pmf,1413,0.004407272768297958,0.13454938231140523,0.006627341890221131,0.04407272768297959,0.009848342690385627,0.7227742861626412,0.1486951292345449
DJF,S1_conservative_simplex_stack,stack,1413,0.004450108625475429,0.13696433001523048,0.006668131654611046,0.044501086254754296,0.01642967121858175,0.36191225556185413,0.16019264509958867
DJF,B4_hierarchical_residual_pmf,residual_pmf,1413,0.004450735011059411,0.13581083556258275,0.006673503042704115,0.044507350110594125,0.012254536767718704,0.2842445989752619,0.14960253343366836
DJF,K0_B4_identity,calibration,1413,0.004450735011059411,0.13581083556258275,0.006673503042704115,0.044507350110594125,0.012254536767718704,0.2842445989752619,0.14960253343366836
DJF,K2_B4_monotone_cdf_projected,calibration,1413,0.004450735011059411,0.13581083556258292,0.006673503042704115,0.04450735011059412,0.012254536767718704,0.2842445989752619,0.1496025334336711
DJF,H1_b4_challenger_linear_pool,hybrid_pool,1413,0.004453010960658302,0.13660804353387832,0.006674171509149517,0.04453010960658303,0.014180629963745993,0.5084824873211501,0.14656447935733274
DJF,K1_B4_power_calibrated,calibration,1413,0.004457501877501858,0.13671292844403685,0.006664161510363068,0.04457501877501859,0.015064245622025924,0.3650158197078062,0.1580989177183803
DJF,B2_month_residual_pmf,residual_pmf,1413,0.004462930569871326,0.1369753779773826,0.00667114182960138,0.04462930569871327,0.014595019023020777,0.39473190677164854,0.1583160285143021
DJF,B3_forecast_level_residual_pmf,residual_pmf,1413,0.004466104709461682,0.13918348919571766,0.006664643441829633,0.04466104709461682,0.012498434819681267,0.710716662541502,0.1685748604423853
DJF,B1_global_residual_pmf,residual_pmf,1413,0.00447722381999519,0.13714607647204763,0.006713250147443158,0.04477223819995191,0.014130271555122333,0.2789126143197397,0.1464537933632696
DJF,P1_normal_mos,mos,1413,0.004515900021643633,0.13604401996314325,0.006749009011420911,0.04515900021643633,0.01170301194427053,0.232057924774689,0.13688774337757054
DJF,T1_time_decay_b4,time_decay_residual_pmf,1413,0.004524091480308932,0.13816354804035416,0.006779263396316965,0.04524091480308934,0.013384171872643163,0.7014713380067379,0.1413524821398825
DJF,P2_student_t_mos,mos,1413,0.004530685364508556,0.1392156974100689,0.006763566050089963,0.04530685364508556,0.014152012708052806,0.23047636509597375,0.15669868103047038
DJF,E2_student_t_emos,emos,1413,0.004553550812438473,0.1433579509288515,0.006826860185446072,0.04553550812438472,0.016924408209090396,0.2638416520787662,0.16226749769739354
DJF,C1_multinomial_ridge,direct_classifier,1413,0.0045780527494995804,0.14508818575823695,0.006809201690954654,0.04578052749499582,0.016367553928165753,0.3505113930680848,0.1861790627674677
DJF,G1_gamlss_tree_location_scale,gamlss_tree,1413,0.004622479857057573,0.14307464417385715,0.006889824504103871,0.04622479857057572,0.019543990858260987,0.292327880476828,0.08643851669301789
DJF,C2_ordinal_cdf_logistic,direct_classifier,1413,0.0046335172138927926,0.14598219955212993,0.006860748016731729,0.046335172138927926,0.015283507647135198,0.1395386759269373,0.18430077210942705
DJF,E1_normal_emos,emos,1413,0.004644040892543379,0.14125448498848764,0.006915232348717588,0.046440408925433795,0.01890268340976859,0.2815934802266496,0.08837864046618607
DJF,E3_two_piece_normal_emos,emos,1413,0.004855092303286175,0.16578695474882502,0.007222101922043528,0.048550923032861744,0.024578543207411693,0.6008062141782008,0.06750675348600313
DJF,B6_month_climatology_diagnostic,diagnostic,1413,0.008386817299593816,0.28012876444224305,0.01020485068928163,0.08386817299593816,0.022308729120957382,0.022308729120957382,0.18237386306159656
DJF,Q2_threshold_cdf_gb,threshold_cdf,1413,0.008759259813064822,0.24732205511702843,0.007742416838767961,0.08759259813064826,0.10091330066401284,0.2283257121049636,0.6768119742290694
DJF,Q1_quantile_cdf_gb,quantile_cdf,1413,0.013110520378913842,0.34044366130207687,0.010407330682183916,0.13110520378913845,0.17806511608415881,0.304422081576526,0.9579629757108412
DJF,B0_climatology,baseline,1413,0.1393930861259402,1.0475282338461362,0.04049721344674032,1.393930861259402,0.5431169337424868,0.5520008039901496,2.0092923655247836
JJA,B5_kernel_analog_pmf,analog_pmf,1380,0.059061022186275,1.5487004219708165,0.06599719115633247,0.5906102218627501,0.03217239232760465,0.785406564658553,1.3960100747863295
JJA,S1_conservative_simplex_stack,stack,1380,0.05917021047883288,1.473826654768804,0.06583586420219646,0.5917021047883287,0.021890255712787014,0.2087956059008894,1.4440065688362744
JJA,K1_B4_power_calibrated,calibration,1380,0.05921133964494112,1.4772751916387632,0.06585629457593857,0.5921133964494112,0.03269292319821337,0.20936282217766233,1.4426036625245757
JJA,B4_hierarchical_residual_pmf,residual_pmf,1380,0.05921403827713359,1.4796968744777794,0.06588677448687326,0.5921403827713358,0.021537383809993992,0.08408621865664179,1.4196516787288245
JJA,K0_B4_identity,calibration,1380,0.05921403827713359,1.4796968744777794,0.06588677448687326,0.5921403827713358,0.021537383809993992,0.08408621865664179,1.4196516787288245
JJA,K2_B4_monotone_cdf_projected,calibration,1380,0.05921403827713359,1.4796968744777799,0.06588677448687326,0.592140382771336,0.021537383809994003,0.08408621865664179,1.4196516787288245
JJA,H1_b4_challenger_linear_pool,hybrid_pool,1380,0.05924028232665545,1.4781578708672807,0.0659625567429141,0.5924028232665544,0.012972386225028457,0.27706198497240425,1.4446703004169519
JJA,T1_time_decay_b4,time_decay_residual_pmf,1380,0.05925015051539037,1.4757828941307434,0.06611402563863168,0.5925015051539038,0.01266572336030665,0.094517524959085,1.4811982607188734
