split,method,baseline_method,row_count,mean_delta_rps,p05_delta_rps,p50_delta_rps,p95_delta_rps
fold1,B0_climatology,B4_hierarchical_residual_pmf,1096,0.13743394721641933,0.13257752821549487,0.13750270830557415,0.14259376540558652
fold1,B1_global_residual_pmf,B4_hierarchical_residual_pmf,1096,0.0007697440758448237,0.0003941620193607089,0.0007680438775293508,0.0011736888727643137
fold1,B2_month_residual_pmf,B4_hierarchical_residual_pmf,1096,0.00025997484186250533,2.860554396129263e-05,0.0002521737667924434,0.0005190859444147547
fold1,B3_forecast_level_residual_pmf,B4_hierarchical_residual_pmf,1096,0.0002199862513149493,-9.361377314226309e-05,0.00021788955257944984,0.0005371527268967626
fold1,B4_hierarchical_residual_pmf,B4_hierarchical_residual_pmf,1096,0.0,0.0,0.0,0.0
fold1,B5_kernel_analog_pmf,B4_hierarchical_residual_pmf,1096,-6.0182697836325394e-05,-0.00036033107990238313,-5.5447446411088785e-05,0.00022225276464345084
fold1,B6_month_climatology_diagnostic,B4_hierarchical_residual_pmf,1096,0.03339722995480295,0.030065422417995757,0.033421922018288905,0.03668099166222644
fold1,C1_multinomial_ridge,B4_hierarchical_residual_pmf,1096,0.0009072248379402296,0.00024252058481289213,0.0008929812002360718,0.00159334709771662
fold1,C2_ordinal_cdf_logistic,B4_hierarchical_residual_pmf,1096,0.0010174895190176757,0.0003370093368413065,0.0009952568641467471,0.0017395300870132995
fold1,E1_normal_emos,B4_hierarchical_residual_pmf,1096,0.001196403243266225,0.0006839508543224539,0.0011855982969565838,0.0017421772441744085
fold1,E2_student_t_emos,B4_hierarchical_residual_pmf,1096,0.000395842375483777,6.468782277065141e-07,0.0004088254036980314,0.0008182657644366878
fold1,E3_two_piece_normal_emos,B4_hierarchical_residual_pmf,1096,0.002730817329495461,0.0019604171281676465,0.002733490295366306,0.0034555106678603536
fold1,G1_gamlss_tree_location_scale,B4_hierarchical_residual_pmf,1096,0.0017223301328035112,0.001152552732631297,0.0017368852618824676,0.002293149443044924
fold1,H1_b4_challenger_linear_pool,B4_hierarchical_residual_pmf,1096,4.933671692271621e-05,-9.522110585165574e-05,5.55012109444801e-05,0.00019194027760909943
fold1,K0_B4_identity,B4_hierarchical_residual_pmf,1096,0.0,0.0,0.0,0.0
fold1,K1_B4_power_calibrated,B4_hierarchical_residual_pmf,1096,-2.354360242094686e-05,-6.942964772778219e-05,-2.2570045171994152e-05,2.492067377869409e-05
fold1,K2_B4_monotone_cdf_projected,B4_hierarchical_residual_pmf,1096,-3.3306690738754697e-19,-6.938893903907228e-18,0.0,6.938893903907228e-18
fold1,P1_normal_mos,B4_hierarchical_residual_pmf,1096,0.0005448344265770508,0.00012910927955117716,0.0005497179154690564,0.000953466871575218
fold1,P2_student_t_mos,B4_hierarchical_residual_pmf,1096,0.000588161633868744,0.00012609299416583045,0.0005897006125093647,0.0010458564891807653
fold1,Q1_quantile_cdf_gb,B4_hierarchical_residual_pmf,1096,0.020907293077868233,0.018880567045455928,0.020962336304498296,0.02276460726910969
fold1,Q2_threshold_cdf_gb,B4_hierarchical_residual_pmf,1096,0.0048263382577272826,0.00406500423281414,0.004826061090770523,0.005538591964913129
fold1,S1_conservative_simplex_stack,B4_hierarchical_residual_pmf,1096,-4.56232939512949e-05,-9.467245940162002e-05,-4.637590804704855e-05,-2.0516437681736547e-07
fold1,T1_time_decay_b4,B4_hierarchical_residual_pmf,1096,0.00028456190904370664,-2.3371223682002564e-05,0.000279472578764612,0.0006035107008419222
fold2,B0_climatology,B4_hierarchical_residual_pmf,1095,0.15400045886610916,0.14809137330511482,0.1539809971960296,0.15950149633308194
fold2,B1_global_residual_pmf,B4_hierarchical_residual_pmf,1095,0.00011444908485762853,-0.00031209154136595214,0.00011782653878177757,0.0005491423326109936
fold2,B2_month_residual_pmf,B4_hierarchical_residual_pmf,1095,0.0003135596767072311,4.8407894839451465e-05,0.0003197335515071967,0.0005642104629720586
fold2,B3_forecast_level_residual_pmf,B4_hierarchical_residual_pmf,1095,4.457204103444042e-05,-0.00027218050407302633,5.1703280818618524e-05,0.0003727042977945918
fold2,B4_hierarchical_residual_pmf,B4_hierarchical_residual_pmf,1095,0.0,0.0,0.0,0.0
fold2,B5_kernel_analog_pmf,B4_hierarchical_residual_pmf,1095,-0.0004940249367155137,-0.0007603236303415396,-0.0004960064961375202,-0.00017728078956849447
fold2,B6_month_climatology_diagnostic,B4_hierarchical_residual_pmf,1095,0.035339321298414036,0.031988927124755755,0.03529051028478029,0.038760290915365356
fold2,C1_multinomial_ridge,B4_hierarchical_residual_pmf,1095,0.0016732906397239212,0.000977171403409165,0.0016621305849128139,0.002405714157871917
fold2,C2_ordinal_cdf_logistic,B4_hierarchical_residual_pmf,1095,0.0020418785793570723,0.0012962653077177588,0.0020455884003481167,0.0028216363414263635
fold2,E1_normal_emos,B4_hierarchical_residual_pmf,1095,0.0006336021381530138,8.082125987795911e-05,0.0006294172510225397,0.0011332502291922825
fold2,E2_student_t_emos,B4_hierarchical_residual_pmf,1095,9.580074922432589e-05,-0.0002713625633699184,8.579845122469107e-05,0.0004673276841512714
fold2,E3_two_piece_normal_emos,B4_hierarchical_residual_pmf,1095,0.0019359910663943238,0.0012533107476367423,0.0019256592673849368,0.0026451412016562314
fold2,G1_gamlss_tree_location_scale,B4_hierarchical_residual_pmf,1095,0.0011152835226139102,0.000583286855749338,0.0010959788736664353,0.0016719436313154777
fold2,H1_b4_challenger_linear_pool,B4_hierarchical_residual_pmf,1095,-8.305463046014855e-05,-0.0001645957759386224,-8.364356084267915e-05,-1.268432738214464e-06
fold2,K0_B4_identity,B4_hierarchical_residual_pmf,1095,0.0,0.0,0.0,0.0
fold2,K1_B4_power_calibrated,B4_hierarchical_residual_pmf,1095,6.799545441417476e-06,-3.449015961440524e-05,6.163321181491127e-06,5.0950966904845305e-05
fold2,K2_B4_monotone_cdf_projected,B4_hierarchical_residual_pmf,1095,-2.359223927328458e-19,-6.938893903907228e-18,0.0,6.938893903907228e-18
fold2,P1_normal_mos,B4_hierarchical_residual_pmf,1095,0.0002869199804450078,-0.00011006834261558794,0.0002890843828939442,0.0006759775099826188
fold2,P2_student_t_mos,B4_hierarchical_residual_pmf,1095,0.0004032760562719716,-2.1419152791167487e-05,0.00041677138093550864,0.0008194956767379592
fold2,Q1_quantile_cdf_gb,B4_hierarchical_residual_pmf,1095,0.026960116873427795,0.024889000638837967,0.02695042169273281,0.029296104792372414
fold2,Q2_threshold_cdf_gb,B4_hierarchical_residual_pmf,1095,0.0055371217077455695,0.004733158849434356,0.005566659760303839,0.00628708087962036
fold2,S1_conservative_simplex_stack,B4_hierarchical_residual_pmf,1095,6.516895300138853e-06,-5.1625014895104526e-05,8.303074073640754e-06,5.89018500129181e-05
fold2,T1_time_decay_b4,B4_hierarchical_residual_pmf,1095,-0.0001634475092595352,-0.00038485639940865967,-0.00016845095293021098,4.8639650491392955e-05
fold3,B0_climatology,B4_hierarchical_residual_pmf,1095,0.14998965419171084,0.14491048632885042,0.14985824949967166,0.15485468050559376
fold3,B1_global_residual_pmf,B4_hierarchical_residual_pmf,1095,-4.747818326029193e-05,-0.0004242781639116268,-4.432607935586641e-05,0.00032175258137575794
fold3,B2_month_residual_pmf,B4_hierarchical_residual_pmf,1095,4.0513677509844515e-05,-0.0002443512489383091,5.2752300403812596e-05,0.0002875321249335748
fold3,B3_forecast_level_residual_pmf,B4_hierarchical_residual_pmf,1095,-1.1183340056894586e-05,-0.00032544616699104535,1.780616188315487e-07,0.00029409159035502595
fold3,B4_hierarchical_residual_pmf,B4_hierarchical_residual_pmf,1095,0.0,0.0,0.0,0.0
fold3,B5_kernel_analog_pmf,B4_hierarchical_residual_pmf,1095,-0.00026559466822423443,-0.0005401039270899876,-0.00025716358652779284,7.4885451695007754e-06
fold3,B6_month_climatology_diagnostic,B4_hierarchical_residual_pmf,1095,0.04478468055773423,0.040731582444488094,0.04479134357984251,0.0487710953748673
fold3,C1_multinomial_ridge,B4_hierarchical_residual_pmf,1095,0.0011785431497407912,0.0005456897017801426,0.0011713511729959034,0.0018541228147170726
fold3,C2_ordinal_cdf_logistic,B4_hierarchical_residual_pmf,1095,0.0018172373372553827,0.0010609809659108478,0.0017822426160888638,0.002598891804001904
fold3,E1_normal_emos,B4_hierarchical_residual_pmf,1095,0.0002873529666898872,-0.0001653651667270099,0.0002839443613165127,0.0007492515891408486
fold3,E2_student_t_emos,B4_hierarchical_residual_pmf,1095,-0.00017929974700357966,-0.000535365966883584,-0.00019081330484498407,0.00018244745072871617
fold3,E3_two_piece_normal_emos,B4_hierarchical_residual_pmf,1095,0.0016309531472623365,0.0010308184401088937,0.0015833390734450586,0.0022799613792414677
fold3,G1_gamlss_tree_location_scale,B4_hierarchical_residual_pmf,1095,0.000805844486948454,0.00028747277798708593,0.0008177710185956234,0.0013124267705509468
fold3,H1_b4_challenger_linear_pool,B4_hierarchical_residual_pmf,1095,-0.0002222868534828074,-0.0003387818552562746,-0.0002223935572303326,-9.232889553286482e-05
fold3,K0_B4_identity,B4_hierarchical_residual_pmf,1095,0.0,0.0,0.0,0.0
fold3,K1_B4_power_calibrated,B4_hierarchical_residual_pmf,1095,2.9100721283816426e-05,-1.9424074263540632e-05,2.8771367472139875e-05,7.803717411470587e-05
fold3,K2_B4_monotone_cdf_projected,B4_hierarchical_residual_pmf,1095,6.800116025829084e-19,0.0,0.0,6.938893903907228e-18
fold3,P1_normal_mos,B4_hierarchical_residual_pmf,1095,6.189025792692649e-05,-0.0003021736676684754,6.7996311320484e-05,0.000448967230887547
fold3,P2_student_t_mos,B4_hierarchical_residual_pmf,1095,0.00020273070054576664,-0.00019476800967122457,0.0002090017816868614,0.0005551794610923276
fold3,Q1_quantile_cdf_gb,B4_hierarchical_residual_pmf,1095,0.024902063054008692,0.022879378840109023,0.024883572222790692,0.02719446035594989
fold3,Q2_threshold_cdf_gb,B4_hierarchical_residual_pmf,1095,0.005623199480581551,0.004835324308745887,0.005619868419232451,0.006432284670190128
fold3,S1_conservative_simplex_stack,B4_hierarchical_residual_pmf,1095,-8.198171901544895e-05,-0.0001255533564855707,-8.246451221317203e-05,-3.699849563231812e-05
fold3,T1_time_decay_b4,B4_hierarchical_residual_pmf,1095,-9.993544907080135e-05,-0.00035656757251075686,-0.00010298921664797858,0.00014671596249974688
fold4,B0_climatology,B4_hierarchical_residual_pmf,731,0.16241230438519655,0.15562860955792115,0.16232341747749357,0.1691282050534394
fold4,B1_global_residual_pmf,B4_hierarchical_residual_pmf,731,0.0002448906574918059,-0.00021388659715869287,0.0002479166368945136,0.0007252320863393652
fold4,B2_month_residual_pmf,B4_hierarchical_residual_pmf,731,0.00034481637161839715,-1.4940076328355175e-05,0.0003463353198906102,0.0006928721330185328
fold4,B3_forecast_level_residual_pmf,B4_hierarchical_residual_pmf,731,0.0003442334243449792,1.880189693442524e-05,0.0003418166332629022,0.0006881197020833039
fold4,B4_hierarchical_residual_pmf,B4_hierarchical_residual_pmf,731,0.0,0.0,0.0,0.0
fold4,B5_kernel_analog_pmf,B4_hierarchical_residual_pmf,731,4.073483360730484e-05,-0.0003848149494161537,4.559871070384039e-05,0.0004914107682846547
fold4,B6_month_climatology_diagnostic,B4_hierarchical_residual_pmf,731,0.04884171116711957,0.043407055332803514,0.04899467125575359,0.053815568762828524
fold4,C1_multinomial_ridge,B4_hierarchical_residual_pmf,731,0.0008522074542319098,0.0001527401144114375,0.0008356885632880805,0.0015664660772433314
fold4,C2_ordinal_cdf_logistic,B4_hierarchical_residual_pmf,731,0.0011715340585835125,0.000334948734174062,0.0011818549896846428,0.0019888182006133587
fold4,E1_normal_emos,B4_hierarchical_residual_pmf,731,0.0010890436783181094,0.00043491681292664487,0.0011014924676403352,0.001663427922585766
fold4,E2_student_t_emos,B4_hierarchical_residual_pmf,731,0.00047722564571272576,1.9354084440211013e-05,0.0004905010509219689,0.0009311841376627531
fold4,E3_two_piece_normal_emos,B4_hierarchical_residual_pmf,731,0.002434625204033475,0.0016069711871667205,0.0024486332669587073,0.0032437592980531565
fold4,G1_gamlss_tree_location_scale,B4_hierarchical_residual_pmf,731,0.0015464194079432925,0.0008819211654503143,0.0015446756934074518,0.002194400057335257
fold4,H1_b4_challenger_linear_pool,B4_hierarchical_residual_pmf,731,0.00022879770336237183,-6.415801336084047e-05,0.0002274457302627736,0.0005221293047246464
fold4,K0_B4_identity,B4_hierarchical_residual_pmf,731,0.0,0.0,0.0,0.0
fold4,K1_B4_power_calibrated,B4_hierarchical_residual_pmf,731,1.83856334465609e-05,-4.733877201411781e-05,1.8916586839896887e-05,8.298811110285242e-05
fold4,K2_B4_monotone_cdf_projected,B4_hierarchical_residual_pmf,731,9.298117831235687e-19,0.0,0.0,6.938893903907228e-18
fold4,P1_normal_mos,B4_hierarchical_residual_pmf,731,0.0004301680658322391,-9.098139644149798e-06,0.00042723357484458074,0.0009011644747365976
fold4,P2_student_t_mos,B4_hierarchical_residual_pmf,731,0.0005016962863154425,6.407456764792427e-05,0.000507378449275276,0.0009827422601759563
fold4,Q1_quantile_cdf_gb,B4_hierarchical_residual_pmf,731,0.02980117708413396,0.027123860428576688,0.029804092316113008,0.03286521972599727
fold4,Q2_threshold_cdf_gb,B4_hierarchical_residual_pmf,731,0.0053932046189606505,0.004552126529919684,0.0053772950492573975,0.006221361367055988
fold4,S1_conservative_simplex_stack,B4_hierarchical_residual_pmf,731,-4.044688934167287e-05,-9.081301414302703e-05,-4.051073393919816e-05,8.955892641185245e-06
fold4,T1_time_decay_b4,B4_hierarchical_residual_pmf,731,3.7032921749363306e-05,-0.00036740653906000526,3.497605041045265e-05,0.00046433060442715676
presealed_2022_2023,B0_climatology,B4_hierarchical_residual_pmf,730,0.1620148993261518,0.15437304188893228,0.16189411286069058,0.16947328983051024
presealed_2022_2023,B1_global_residual_pmf,B4_hierarchical_residual_pmf,730,-0.00035640783733169177,-0.0008122151275278995,-0.00035951971513620284,0.0001245685748957546
