issue_hour_hkt,method,family,row_count,rps,nll,brier,crps,ece,mce,entropy
22,E2_student_t_emos,emos,12,0.06817057964543845,1.6135944808633431,0.0631016987883076,0.6817057964543846,0.24310471029833342,0.2935680533068303,1.5330525950018739
22,G1_gamlss_tree_location_scale,gamlss_tree,12,0.06901056628794709,2.054736612614974,0.0626306457635663,0.6901056628794708,0.13099527731373245,0.13099527731373245,1.1873268763120643
22,T1_time_decay_b4,time_decay_residual_pmf,12,0.06937917914723928,1.5782633783360582,0.06574446726543881,0.6937917914723926,0.2570159570027311,0.2570159570027311,1.610994408077622
22,E1_normal_emos,emos,12,0.06940842939992975,1.93455508065487,0.06343465304588433,0.6940842939992974,0.20486685099624152,0.5149464603704312,1.2366317880754827
22,K1_B4_power_calibrated,calibration,12,0.06979433575912168,1.5612584122494046,0.0656667067921642,0.6979433575912167,0.09925699380014828,0.11765574260020556,1.596691911553025
22,B4_hierarchical_residual_pmf,residual_pmf,12,0.06982326365662556,1.5599677959652596,0.06539045371521242,0.6982326365662553,0.18870418561822166,0.290517405283537,1.5745993802432288
22,K0_B4_identity,calibration,12,0.06982326365662556,1.5599677959652596,0.06539045371521242,0.6982326365662553,0.18870418561822166,0.290517405283537,1.5745993802432288
22,K2_B4_monotone_cdf_projected,calibration,12,0.06982326365662557,1.5599677959652596,0.06539045371521242,0.6982326365662557,0.18870418561822172,0.290517405283537,1.5745993802432292
22,B1_global_residual_pmf,residual_pmf,12,0.0698372780261126,1.6635659983947846,0.0662485655308883,0.6983727802611263,0.34427618046641556,0.3442761804664155,1.6218443775928588
22,H1_b4_challenger_linear_pool,hybrid_pool,12,0.07002313093650152,1.5758237294018145,0.0656609381777598,0.700231309365015,0.17408943842483862,0.20420040027083197,1.5936075607189757
22,E3_two_piece_normal_emos,emos,12,0.07007578009244829,2.396125100161397,0.0619941294264598,0.7007578009244831,0.03971423381152511,0.1413418875629392,1.0287819607485904
22,B5_kernel_analog_pmf,analog_pmf,12,0.07010382703275166,1.6272512141010222,0.06774303294625887,0.7010382703275169,0.22163241930802763,0.42475963011126916,1.559106551079637
22,S1_conservative_simplex_stack,stack,12,0.07029805566695384,1.585625501065559,0.06614778315825083,0.7029805566695385,0.09735825149815379,0.11738968089476903,1.5937570279291426
22,B2_month_residual_pmf,residual_pmf,12,0.0703139271206428,1.6222102537785072,0.06546616119698347,0.7031392712064282,0.32998648447335255,0.32998648447335255,1.536321217581433
22,B3_forecast_level_residual_pmf,residual_pmf,12,0.07062941130787775,1.7436955400147927,0.06813238267625472,0.7062941130787775,0.3136468620377123,0.4173530549681569,1.5678503838259956
22,P1_normal_mos,mos,12,0.07076265145346688,1.7329736094964556,0.06807188193486602,0.7076265145346688,0.29312023209468185,0.29601397208414826,1.6348620243030236
22,P2_student_t_mos,mos,12,0.07078583637090037,1.7065185092713449,0.06806143535443945,0.7078583637090037,0.20189139465435355,0.44485833664154123,1.7050125021211737
22,Q2_threshold_cdf_gb,threshold_cdf,12,0.07594033643989746,1.8873769380330359,0.07129087082075704,0.7594033643989748,0.1732377049475094,0.4432008322076419,1.803144505084951
22,C2_ordinal_cdf_logistic,direct_classifier,12,0.0824130267327817,2.120088333307132,0.08186240297954607,0.8241302673278167,0.27980929597135734,0.49078263293300395,1.6326847042719719
22,C1_multinomial_ridge,direct_classifier,12,0.09120002877742343,2.814149945026673,0.09233779250701417,0.9120002877742343,0.33966674321723805,0.5118143882933512,1.3918964168290324
22,Q1_quantile_cdf_gb,quantile_cdf,12,0.10127290745098937,2.074967522123701,0.07552829377415758,1.0127290745098936,0.1838780834833084,0.18486926186376904,2.078748122520515
22,B6_month_climatology_diagnostic,diagnostic,12,0.1461826246586785,2.3530843732265985,0.0849473601666662,1.4618262465867853,0.23152033135791064,0.23907380242469456,1.9969768119370794
22,B0_climatology,baseline,12,0.2044130787622552,2.746103911738359,0.09729700121080881,2.0441307876225516,0.4054455179504308,0.4054455179504308,1.9816594910120993
23,B5_kernel_analog_pmf,analog_pmf,5616,0.04148388848165701,1.0726663302582207,0.045871679347239167,0.4148388848165701,0.016103662655505203,0.09125495121186011,0.9975751237947807
