bin,lo,hi,count,confidence,accuracy,abs_gap,validation_split,method
8,0.8,0.9,19,0.8569089346606337,0.9473684210526315,0.09045948639199786,fold1,B5_kernel_analog_pmf
9,0.9,1.0,364,0.9888481855753104,0.9917582417582418,0.0029100561829313865,fold1,B5_kernel_analog_pmf
0,0.0,0.1,0,,,,fold1,B6_month_climatology_diagnostic
1,0.1,0.2,0,,,,fold1,B6_month_climatology_diagnostic
2,0.2,0.30000000000000004,459,0.22794023220091544,0.2113289760348584,0.016611256166057048,fold1,B6_month_climatology_diagnostic
3,0.30000000000000004,0.4,93,0.3017127799736494,0.34408602150537637,0.042373241531726946,fold1,B6_month_climatology_diagnostic
4,0.4,0.5,90,0.4388140977159279,0.3888888888888889,0.04992520882703899,fold1,B6_month_climatology_diagnostic
5,0.5,0.6000000000000001,0,,,,fold1,B6_month_climatology_diagnostic
6,0.6000000000000001,0.7000000000000001,90,0.6343498710362615,0.5777777777777777,0.05657209325848378,fold1,B6_month_climatology_diagnostic
7,0.7000000000000001,0.8,93,0.7994437124871909,0.7741935483870968,0.025250164100094175,fold1,B6_month_climatology_diagnostic
8,0.8,0.9,0,,,,fold1,B6_month_climatology_diagnostic
9,0.9,1.0,271,0.965213708096465,0.9704797047970479,0.00526599670058292,fold1,B6_month_climatology_diagnostic
0,0.0,0.1,0,,,,fold1,P1_normal_mos
1,0.1,0.2,0,,,,fold1,P1_normal_mos
2,0.2,0.30000000000000004,395,0.2950392756157185,0.3341772151898734,0.0391379395741549,fold1,P1_normal_mos
3,0.30000000000000004,0.4,233,0.3065551679333136,0.2918454935622318,0.014709674371081838,fold1,P1_normal_mos
4,0.4,0.5,42,0.4438834358626198,0.38095238095238093,0.06293105491023887,fold1,P1_normal_mos
5,0.5,0.6000000000000001,3,0.5230086994333615,0.3333333333333333,0.18967536610002816,fold1,P1_normal_mos
6,0.6000000000000001,0.7000000000000001,3,0.6967948063575707,0.6666666666666666,0.03012813969090411,fold1,P1_normal_mos
7,0.7000000000000001,0.8,39,0.751927583252075,0.5897435897435898,0.16218399350848522,fold1,P1_normal_mos
8,0.8,0.9,0,,,,fold1,P1_normal_mos
9,0.9,1.0,381,0.9901843624564377,0.989501312335958,0.0006830501204797557,fold1,P1_normal_mos
0,0.0,0.1,0,,,,fold1,P2_student_t_mos
1,0.1,0.2,0,,,,fold1,P2_student_t_mos
2,0.2,0.30000000000000004,574,0.28995797469745965,0.3205574912891986,0.03059951659173893,fold1,P2_student_t_mos
3,0.30000000000000004,0.4,53,0.3087478861925443,0.2830188679245283,0.02572901826801599,fold1,P2_student_t_mos
4,0.4,0.5,43,0.4440390544979195,0.3953488372093023,0.04869021728861722,fold1,P2_student_t_mos
5,0.5,0.6000000000000001,3,0.5225333756059792,0.3333333333333333,0.18920004227264592,fold1,P2_student_t_mos
6,0.6000000000000001,0.7000000000000001,4,0.6931136509273961,0.75,0.056886349072603926,fold1,P2_student_t_mos
7,0.7000000000000001,0.8,38,0.7467422071522261,0.5789473684210527,0.1677948387311734,fold1,P2_student_t_mos
8,0.8,0.9,8,0.8964672232509872,1.0,0.10353277674901284,fold1,P2_student_t_mos
9,0.9,1.0,373,0.9886956026635878,0.9892761394101877,0.0005805367465998579,fold1,P2_student_t_mos
0,0.0,0.1,0,,,,fold1,C1_multinomial_ridge
1,0.1,0.2,0,,,,fold1,C1_multinomial_ridge
2,0.2,0.30000000000000004,266,0.2779706783679581,0.2631578947368421,0.014812783631115989,fold1,C1_multinomial_ridge
3,0.30000000000000004,0.4,262,0.3365994653892315,0.32061068702290074,0.01598877836633078,fold1,C1_multinomial_ridge
4,0.4,0.5,124,0.4496842787759595,0.4032258064516129,0.046458472324346634,fold1,C1_multinomial_ridge
5,0.5,0.6000000000000001,14,0.5342344290591482,0.35714285714285715,0.17709157191629105,fold1,C1_multinomial_ridge
6,0.6000000000000001,0.7000000000000001,13,0.6452584504373557,0.46153846153846156,0.18371998889889418,fold1,C1_multinomial_ridge
7,0.7000000000000001,0.8,27,0.7449835678023943,0.5925925925925926,0.15239097520980172,fold1,C1_multinomial_ridge
8,0.8,0.9,29,0.8556071922025924,0.8275862068965517,0.02802098530604069,fold1,C1_multinomial_ridge
9,0.9,1.0,361,0.9859478254939469,0.9916897506925207,0.005741925198573861,fold1,C1_multinomial_ridge
0,0.0,0.1,0,,,,fold1,C2_ordinal_cdf_logistic
1,0.1,0.2,0,,,,fold1,C2_ordinal_cdf_logistic
2,0.2,0.30000000000000004,201,0.27879110832919357,0.2537313432835821,0.02505976504561147,fold1,C2_ordinal_cdf_logistic
3,0.30000000000000004,0.4,332,0.33247441872642236,0.3102409638554217,0.022233454871000646,fold1,C2_ordinal_cdf_logistic
4,0.4,0.5,120,0.4576465119077407,0.4166666666666667,0.04097984524107401,fold1,C2_ordinal_cdf_logistic
5,0.5,0.6000000000000001,23,0.534039305065483,0.34782608695652173,0.1862132181089613,fold1,C2_ordinal_cdf_logistic
6,0.6000000000000001,0.7000000000000001,17,0.6605763397754043,0.5882352941176471,0.07234104565775723,fold1,C2_ordinal_cdf_logistic
7,0.7000000000000001,0.8,21,0.7562683216785346,0.6190476190476191,0.13722070263091557,fold1,C2_ordinal_cdf_logistic
8,0.8,0.9,33,0.8595617948590845,0.9090909090909091,0.0495291142318246,fold1,C2_ordinal_cdf_logistic
9,0.9,1.0,349,0.9869368681950805,0.994269340974212,0.007332472779131516,fold1,C2_ordinal_cdf_logistic
0,0.0,0.1,0,,,,fold1,K0_B4_identity
1,0.1,0.2,0,,,,fold1,K0_B4_identity
2,0.2,0.30000000000000004,117,0.27920419703340865,0.21367521367521367,0.06552898335819499,fold1,K0_B4_identity
3,0.30000000000000004,0.4,444,0.3524630745954078,0.3130630630630631,0.039400011532344736,fold1,K0_B4_identity
4,0.4,0.5,96,0.4179961510225633,0.4166666666666667,0.0013294843558966374,fold1,K0_B4_identity
5,0.5,0.6000000000000001,16,0.5220165181932006,0.3125,0.2095165181932006,fold1,K0_B4_identity
6,0.6000000000000001,0.7000000000000001,26,0.6502686207684698,0.5,0.1502686207684698,fold1,K0_B4_identity
7,0.7000000000000001,0.8,15,0.7700431376913168,0.8,0.02995686230868322,fold1,K0_B4_identity
8,0.8,0.9,20,0.8623364686241471,0.9,0.03766353137585288,fold1,K0_B4_identity
9,0.9,1.0,362,0.9901366851560908,0.9917127071823204,0.0015760220262296398,fold1,K0_B4_identity
0,0.0,0.1,0,,,,fold1,K1_B4_power_calibrated
1,0.1,0.2,0,,,,fold1,K1_B4_power_calibrated
2,0.2,0.30000000000000004,130,0.2753098571473233,0.2076923076923077,0.06761754945501561,fold1,K1_B4_power_calibrated
