official_max_bin,method,family,row_count,rps,nll,brier,crps,ece,mce,entropy
24_or_below,B2_month_residual_pmf,residual_pmf,2000,0.005892482413558666,0.17091284567340392,0.007840754375186046,0.058924824135586674,0.009937151051511812,0.1331792085366229,0.1759631539909048
24_or_below,H1_b4_challenger_linear_pool,hybrid_pool,2000,0.005898874994936457,0.17182128383520986,0.007869913319378894,0.05898874994936459,0.00782589979901797,0.06125499780694943,0.17039256373181497
24_or_below,S1_conservative_simplex_stack,stack,2000,0.005899848813891261,0.17212004544376033,0.007860096867493388,0.0589984881389126,0.007825935163042749,0.028983860118369176,0.18659988625187077
24_or_below,B4_hierarchical_residual_pmf,residual_pmf,2000,0.005903080297986508,0.17127071930823087,0.007867189408620134,0.0590308029798651,0.005607866382211304,0.02436339049176306,0.1777791173818987
24_or_below,K0_B4_identity,calibration,2000,0.005903080297986508,0.17127071930823087,0.007867189408620134,0.0590308029798651,0.005607866382211304,0.02436339049176306,0.1777791173818987
24_or_below,K2_B4_monotone_cdf_projected,calibration,2000,0.0059030802979865085,0.17127071930823098,0.007867189408620133,0.0590308029798651,0.005607866382211385,0.02436339049176306,0.17777911738190114
24_or_below,K1_B4_power_calibrated,calibration,2000,0.00590995309452981,0.1719334590600408,0.007870375779492175,0.059099530945298136,0.007007630031896007,0.07315349695477436,0.19123032274529414
24_or_below,B5_kernel_analog_pmf,analog_pmf,2000,0.005934830550402324,0.17982744640412596,0.007898584175520822,0.05934830550402326,0.005141022849917345,0.022622216427239272,0.181965427852495
24_or_below,B3_forecast_level_residual_pmf,residual_pmf,2000,0.0059773962331891185,0.1743843771725564,0.007925995014628187,0.059773962331891195,0.007013504912846714,0.1055501949889488,0.18774641335929976
24_or_below,T1_time_decay_b4,time_decay_residual_pmf,2000,0.005980463092035736,0.1732746530446491,0.007961336723936093,0.059804630920357385,0.007466388389080133,0.05932871578983101,0.15804649318350375
24_or_below,P2_student_t_mos,mos,2000,0.0060125485229209075,0.1746396281698922,0.007958827929821763,0.06012548522920906,0.00820263756391114,0.05501998147559162,0.16916206815975512
24_or_below,C2_ordinal_cdf_logistic,direct_classifier,2000,0.006038873610374578,0.1802802121903235,0.008004459177165111,0.06038873610374578,0.011612506000015,0.46293314449793926,0.21882681097581894
24_or_below,P1_normal_mos,mos,2000,0.00604040392340809,0.1748671592128553,0.007973354904056621,0.06040403923408091,0.009863127561988086,0.12292427914572968,0.14420835125882858
24_or_below,C1_multinomial_ridge,direct_classifier,2000,0.0060510952120667524,0.1795066975877557,0.008003166708785633,0.060510952120667524,0.010401781560270431,0.04152293835648013,0.20051986755065598
