cutoff_profile,model_id,official_max_bin,n_scored,mae,rmse,median_absolute_error,bias,p80_absolute_error,p90_absolute_error,p95_absolute_error,max_absolute_error,mean_prediction,mean_actual,mean_anchor_forecast,scope
tminus1_1800,D5_conservative_A7_plus_memory_blend,21_24,865,1.0445576765339644,1.31593936819601,0.8524625814867086,0.016268504617233375,1.7008277285619358,2.14682723812511,2.6709991800177177,3.85301209865192,22.70875405375018,22.692485549132947,22.472832369942196,by_official_max_bin
tminus1_1800,A3_hko_hourly_state_residual_lgbm,21_24,865,1.0445787316518063,1.3168180630396615,0.8685101135635946,0.021329229794388053,1.6785725112132923,2.144527409012892,2.6168840753180804,4.160893111912248,22.713814778927336,22.692485549132947,22.472832369942196,by_official_max_bin
tminus1_1800,A4_network_gradients_residual_lgbm,21_24,865,1.0448169232033706,1.3174871289172356,0.8625590245498458,0.009696541421714028,1.6724420695390305,2.168901668036942,2.6817755285584983,3.8166628484242366,22.70218209055466,22.692485549132947,22.472832369942196,by_official_max_bin
tminus1_1800,A7_final_residual_ensemble,21_24,865,1.0451548403981439,1.3142780854450915,0.855838442110187,0.0017616220661621743,1.6977825027484448,2.139927691546827,2.663395392818028,3.7649019472108805,22.69424717119911,22.692485549132947,22.472832369942196,by_official_max_bin
tminus1_1800,D0_A7_reproduction,21_24,865,1.0451548403981439,1.3142780854450915,0.855838442110187,0.0017616220661621743,1.6977825027484448,2.139927691546827,2.663395392818028,3.7649019472108805,22.69424717119911,22.692485549132947,22.472832369942196,by_official_max_bin
tminus1_1800,D4_residual_memory_constrained_stack,21_24,865,1.0452191236857933,1.3163636366312081,0.8528402234888475,0.017154342052870065,1.7008277285619358,2.140528252239317,2.6709991800177177,3.85301209865192,22.70963989118582,22.692485549132947,22.472832369942196,by_official_max_bin
tminus1_1800,A6_target_memory_residual_lgbm,21_24,865,1.045605030991207,1.3114785545140728,0.8591952138880288,0.008400962095410275,1.6969522780044992,2.143064688616292,2.675409362163313,3.6594762538641277,22.70088651122836,22.692485549132947,22.472832369942196,by_official_max_bin
tminus1_1800,D3_pruned_full_plus_residual_memory_lgbm,21_24,865,1.0488234291331942,1.3199571408937831,0.8753704191895402,0.0192815885228472,1.676371619358318,2.156159149767177,2.67376154079539,3.8041452051989424,22.711767137655794,22.692485549132947,22.472832369942196,by_official_max_bin
tminus1_1800,A5_text_warning_residual_lgbm,21_24,865,1.0505654235132744,1.3243466921026081,0.8761508838614525,0.004164430837732539,1.707593483563208,2.1402617047222727,2.652121830416719,3.926456561127811,22.69664997997068,22.692485549132947,22.472832369942196,by_official_max_bin
tminus1_1800,D2_A3_plus_residual_memory_lgbm,21_24,865,1.0572559765910094,1.3325966928275579,0.8573651031336418,0.021789701149314538,1.6908290423907582,2.224503941032576,2.638150860476279,4.259015611835817,22.714275250282263,22.692485549132947,22.472832369942196,by_official_max_bin
tminus1_1800,A2_revision_residual_lgbm,21_24,865,1.0600162095186159,1.3289623224034033,0.8682905571502566,0.0360599784507978,1.7232247131132152,2.165801393638111,2.6173574299613196,3.9310065910410437,22.728545527583748,22.692485549132947,22.472832369942196,by_official_max_bin
tminus1_1800,A8_direct_lgbm_absolute,21_24,865,1.0649263408349168,1.3375835991676106,0.9081723289791448,0.14670523311566713,1.7364324430248719,2.1803450549533046,2.5744007276445453,4.114626867457876,22.839190782248615,22.692485549132947,22.472832369942196,by_official_max_bin
tminus1_1800,A1_grouped_residual,21_24,865,1.066955064286297,1.3401609869244178,0.8667100296159802,-0.015675375969344922,1.7359024571697579,2.2354825745898284,2.6948919658503536,4.208255171641696,22.676810173163602,22.692485549132947,22.472832369942196,by_official_max_bin
tminus1_1800,D1_official_residual_memory_shrinkage,21_24,865,1.0778847488395136,1.3509274574185741,0.8886934436718761,-0.18101592560365692,1.7426963702678464,2.259602679830392,2.6999999999999993,4.378299413807099,22.511469623529294,22.692485549132947,22.472832369942196,by_official_max_bin
