cutoff_profile,model_id,model_family,n_scored,mae,rmse,median_absolute_error,bias,p80_absolute_error,p90_absolute_error,p95_absolute_error,max_absolute_error,mean_prediction,mean_actual,mean_anchor_forecast,scope
tminus1_1800,D5_conservative_A7_plus_memory_blend,conservative_a7_plus_memory_blend,5050,0.9327664807450063,1.18816232558082,0.7536773758753519,0.02930691695203764,1.4983895229133068,1.9590757096415294,2.3514755166718375,4.499239532825307,26.996495035763925,26.96718811881188,26.83958415841584,overall
tminus1_1800,D4_residual_memory_constrained_stack,residual_memory_constrained_stack,5050,0.9328322963226908,1.1881784775844533,0.7540092782717451,0.03021915467560774,1.4986451486235972,1.9590757096415294,2.3525356757636247,4.499239532825307,26.997407273487486,26.96718811881188,26.83958415841584,overall
tminus1_1800,A3_hko_hourly_state_residual_lgbm,ablation_lgbm,5050,0.9349875068627941,1.192916857127299,0.7646010085057462,0.031856696173641716,1.4936201016468111,1.9689504682101406,2.383894809010144,4.646536335096918,26.99904481498552,26.96718811881188,26.83958415841584,overall
tminus1_1800,A7_final_residual_ensemble,final_residual_ensemble,5050,0.935642320936282,1.1906421183031501,0.7678446829041015,0.02493296711248204,1.5052068530489444,1.9528111229277971,2.3573734833031197,4.476817218662621,26.992121085924364,26.96718811881188,26.83958415841584,overall
tminus1_1800,D0_A7_reproduction,a7_reproduction_reference,5050,0.935642320936282,1.1906421183031501,0.7678446829041015,0.02493296711248204,1.5052068530489444,1.9528111229277971,2.3573734833031197,4.476817218662621,26.992121085924364,26.96718811881188,26.83958415841584,overall
tminus1_1800,A6_target_memory_residual_lgbm,ablation_lgbm,5050,0.9365094371174758,1.1907229052178308,0.7703185436387034,0.024791398853411927,1.4942187254040002,1.9418989480707318,2.346692665409136,4.484353522135258,26.991979517665293,26.96718811881188,26.83958415841584,overall
tminus1_1800,A4_network_gradients_residual_lgbm,ablation_lgbm,5050,0.9368553195069211,1.1934345336594099,0.7705658130713218,0.023965369133382843,1.489272119031938,1.9543935542571624,2.386689164996398,4.734129812117974,26.991153487945265,26.96718811881188,26.83958415841584,overall
tminus1_1800,D3_pruned_full_plus_residual_memory_lgbm,pruned_full_plus_residual_memory_lgbm,5050,0.9383399246388948,1.194719246897381,0.7661396864591588,0.027063753735494647,1.5098719919725867,1.9481875164907219,2.3746993574152837,4.6334149367750115,26.994251872547373,26.96718811881188,26.83958415841584,overall
tminus1_1800,A5_text_warning_residual_lgbm,ablation_lgbm,5050,0.9384483327341463,1.1952966471903559,0.7688413718319538,0.023208659582293473,1.4937142436366504,1.9539726084878855,2.3812480137352656,4.713543885540865,26.990396778394175,26.96718811881188,26.83958415841584,overall
tminus1_1800,D2_A3_plus_residual_memory_lgbm,a3_plus_residual_memory_lgbm,5050,0.940620960849378,1.1991992639437279,0.7565091976372571,0.028636604044840863,1.504613531330805,1.9707537681660299,2.3808292214238063,4.752468523271418,26.995824722856717,26.96718811881188,26.83958415841584,overall
tminus1_1800,A2_revision_residual_lgbm,ablation_lgbm,5050,0.9478767429588526,1.2078916575091645,0.7615312653067665,0.03165073662383096,1.5295365559048755,1.9845532600403581,2.415089259846725,4.610189062400551,26.99883885543571,26.96718811881188,26.83958415841584,overall
tminus1_1800,A1_grouped_residual,grouped_residual,5050,0.9568111533079767,1.2163570129947692,0.7787016081588813,-0.00678996333323279,1.5419156944901802,2.0139554123047674,2.4248533097416938,4.449828392952849,26.960398155478646,26.96718811881188,26.83958415841584,overall
tminus1_1800,D1_official_residual_memory_shrinkage,residual_memory_shrinkage,5050,0.9644043948474739,1.22512834971377,0.7901597031217023,-0.1013900094953566,1.5494486679300907,2.0110667767060844,2.4586157639323365,4.461894896350181,26.865798109316522,26.96718811881188,26.83958415841584,overall
tminus1_1800,A0_raw_official,baseline,5050,0.9647524752475247,1.2270402286690838,0.8000000000000007,-0.12760396039603958,1.6000000000000014,2.0,2.3999999999999986,4.600000000000001,26.83958415841584,26.96718811881188,26.83958415841584,overall
tminus1_1800,A8_direct_lgbm_absolute,direct_diagnostic,5050,0.9809553095282125,1.2467735421763984,0.8093555723528709,-0.010148873463317276,1.5797790430794207,2.0137484614914523,2.438836468743142,5.974847492804566,26.95703924534856,26.96718811881188,26.83958415841584,overall
tminus1_1800,B0_climatology_persistence,baseline,5050,1.8719267326732671,2.353313429828229,1.5800000000000018,-0.4735742574257426,2.900000000000002,3.8400000000000034,4.640000000000001,9.099999999999998,26.493613861386137,26.96718811881188,26.83958415841584,overall
tminus1_2100,D4_residual_memory_constrained_stack,residual_memory_constrained_stack,5088,0.9199796140786048,1.1759678948271752,0.7490320154707248,0.0407442419014856,1.484071374123005,1.9381830679480394,2.3442638799737576,4.6939442589251215,27.01057521674425,26.96983097484277,26.84198113207547,overall
tminus1_2100,D5_conservative_A7_plus_memory_blend,conservative_a7_plus_memory_blend,5088,0.9203989495166012,1.176621347668739,0.75,0.0379024231841618,1.482850029056551,1.9423451410225514,2.3461352324167675,4.6939442589251215,27.007733398026932,26.96983097484277,26.84198113207547,overall
tminus1_2100,A7_final_residual_ensemble,final_residual_ensemble,5088,0.9212806739434699,1.1776153042025526,0.7563955164777489,0.044323807860187275,1.4891271577753646,1.9374293943615024,2.3528019915679175,4.719557454626482,27.014154782702953,26.96983097484277,26.84198113207547,overall
tminus1_2100,D0_A7_reproduction,a7_reproduction_reference,5088,0.9212806739434699,1.1776153042025526,0.7563955164777489,0.044323807860187275,1.4891271577753646,1.9374293943615024,2.3528019915679175,4.719557454626482,27.014154782702953,26.96983097484277,26.84198113207547,overall
tminus1_2100,A6_target_memory_residual_lgbm,ablation_lgbm,5088,0.9225507010706792,1.1800119857009554,0.7565871105288089,0.043786069446769396,1.4933716849976324,1.94661625754269,2.3494869184963245,4.741655470277742,27.013617044289532,26.96983097484277,26.84198113207547,overall
tminus1_2100,A3_hko_hourly_state_residual_lgbm,ablation_lgbm,5088,0.9234883151966454,1.181029443214699,0.7431551970656063,0.03195262360718609,1.4885665989329846,1.9299995745977725,2.373163758970912,4.731047091260816,27.001783598449954,26.96983097484277,26.84198113207547,overall
tminus1_2100,A4_network_gradients_residual_lgbm,ablation_lgbm,5088,0.9264800832290553,1.1835648390125462,0.751699312203181,0.03851605489616885,1.4868758852077562,1.9365035167707874,2.361641432700693,4.759491170235755,27.008347029738935,26.96983097484277,26.84198113207547,overall
tminus1_2100,A5_text_warning_residual_lgbm,ablation_lgbm,5088,0.9272280671084756,1.1849564350537305,0.7513177539918168,0.035746318640792966,1.491469241283732,1.954994750126037,2.3754624002345284,4.752913346609905,27.005577293483558,26.96983097484277,26.84198113207547,overall
tminus1_2100,D3_pruned_full_plus_residual_memory_lgbm,pruned_full_plus_residual_memory_lgbm,5088,0.9279323124653639,1.1853724282690226,0.7484563376056919,0.0352003695294877,1.496821423960381,1.9488503058684188,2.3687291720815367,4.599963575021526,27.005031344372252,26.96983097484277,26.84198113207547,overall
tminus1_2100,D2_A3_plus_residual_memory_lgbm,a3_plus_residual_memory_lgbm,5088,0.9313893058857229,1.1877616756722527,0.7501207248425015,0.03661102125432864,1.4949824371023,1.9588830824882952,2.383477944520393,4.86540340710393,27.006441996097095,26.96983097484277,26.84198113207547,overall
tminus1_2100,A2_revision_residual_lgbm,ablation_lgbm,5088,0.9404198260981623,1.2005743360971706,0.7549843996743064,0.03416245399284433,1.5010208536324001,1.987598476685337,2.423219123055914,4.599205387695722,27.003993428835606,26.96983097484277,26.84198113207547,overall
tminus1_2100,A1_grouped_residual,grouped_residual,5088,0.9509170458562196,1.2101980798688747,0.7678438695736851,0.005400848270811099,1.5380179300699965,2.0073174150166366,2.4209951873808384,4.437715255792188,26.975231823113578,26.96983097484277,26.84198113207547,overall
tminus1_2100,D1_official_residual_memory_shrinkage,residual_memory_shrinkage,5088,0.9587397789849675,1.2186541650365386,0.7871593534328092,-0.10155609196521989,1.5445280388785783,2.004105521630856,2.4452787552236392,4.461894896350181,26.868274882877543,26.96983097484277,26.84198113207547,overall
tminus1_2100,A0_raw_official,baseline,5088,0.9595322327044026,1.2208044891091,0.8000000000000007,-0.12784984276729558,1.5,2.0,2.3999999999999986,4.600000000000001,26.84198113207547,26.96983097484277,26.84198113207547,overall
tminus1_2100,A8_direct_lgbm_absolute,direct_diagnostic,5088,0.9674928217475017,1.2344587662871571,0.7882650450177024,0.006001575384701152,1.547238996135102,2.038071379776087,2.421042332282217,5.798516718201604,26.97583255022747,26.96983097484277,26.84198113207547,overall
tminus1_2100,B0_climatology_persistence,baseline,5088,1.8702712264150945,2.3512268726355976,1.5800000000000018,-0.47357311320754714,2.900000000000002,3.8400000000000034,4.640000000000001,9.099999999999998,26.49625786163521,26.96983097484277,26.84198113207547,overall
tminus1_2359,D4_residual_memory_constrained_stack,residual_memory_constrained_stack,5629,0.8984787669449551,1.1535632828444047,0.7328045583448493,8.174675406389646e-05,1.458775705717812,1.904830694847434,2.3113254874138125,7.765872394008893,26.603030760788528,26.602949014034465,26.48001421211583,overall
tminus1_2359,D5_conservative_A7_plus_memory_blend,conservative_a7_plus_memory_blend,5629,0.8985938845238038,1.154004058945679,0.7329720294638342,-0.0006288534334980485,1.458775705717812,1.9058438177155756,2.3113254874138125,7.85,26.602320160600968,26.602949014034465,26.48001421211583,overall
tminus1_2359,A7_final_residual_ensemble,final_residual_ensemble,5629,0.8986654294414583,1.154087731949867,0.7312516838902781,-0.00048642663670142263,1.4512439685960263,1.9042251422766299,2.315997566243707,7.769879133313763,26.602462587397763,26.602949014034465,26.48001421211583,overall
tminus1_2359,D0_A7_reproduction,a7_reproduction_reference,5629,0.8986654294414583,1.154087731949867,0.7312516838902781,-0.00048642663670142263,1.4512439685960263,1.9042251422766299,2.315997566243707,7.769879133313763,26.602462587397763,26.602949014034465,26.48001421211583,overall
tminus1_2359,A6_target_memory_residual_lgbm,ablation_lgbm,5629,0.9006302856004468,1.1583178755033594,0.72890312951073,0.02179138248231632,1.4557269927610321,1.9063401218699518,2.330530065681062,8.246808048127383,26.62474039651678,26.602949014034465,26.48001421211583,overall
tminus1_2359,A3_hko_hourly_state_residual_lgbm,ablation_lgbm,5629,0.9007540909458752,1.1593635787143224,0.7300637481504424,0.01198573394342876,1.4520713884346053,1.930084978989446,2.326323437935504,8.115805377994901,26.614934747977898,26.602949014034465,26.48001421211583,overall
tminus1_2359,A4_network_gradients_residual_lgbm,ablation_lgbm,5629,0.9012355649059806,1.1574784044909472,0.7249018964082197,0.02186152415388391,1.4520975215403276,1.917685374576414,2.318104981765665,8.233601160161092,26.62481053818835,26.602949014034465,26.48001421211583,overall
tminus1_2359,A5_text_warning_residual_lgbm,ablation_lgbm,5629,0.9019104725593118,1.1581035528487473,0.7330897292446821,0.02099708117754585,1.449878337074809,1.9061556262801704,2.3361559021963925,8.189127588577412,26.623946095212006,26.602949014034465,26.48001421211583,overall
tminus1_2359,D3_pruned_full_plus_residual_memory_lgbm,pruned_full_plus_residual_memory_lgbm,5629,0.9056522671181472,1.1630900136545959,0.7382082022636602,0.008524726663575932,1.456140390483914,1.9086002209020008,2.3167541547878727,8.309032433536702,26.611473740698038,26.602949014034465,26.48001421211583,overall
tminus1_2359,D2_A3_plus_residual_memory_lgbm,a3_plus_residual_memory_lgbm,5629,0.9080003192028057,1.1677914196214745,0.7358954938502578,0.009603955239251139,1.4651631489211696,1.9349326849448507,2.3365587421678726,8.33355436070451,26.61255296927371,26.602949014034465,26.48001421211583,overall
tminus1_2359,A2_revision_residual_lgbm,ablation_lgbm,5629,0.9143667376896086,1.1769806684835462,0.7339930437927329,0.021102724256183304,1.4743490065433493,1.9553826981810651,2.377457039810412,8.730591372422412,26.624051738290643,26.602949014034465,26.48001421211583,overall
tminus1_2359,A1_grouped_residual,grouped_residual,5629,0.9247936730102916,1.1868376798298157,0.7427502705527012,0.014988545429551602,1.4883021808247636,1.9500088642676863,2.3856234967646395,8.83378546930714,26.617937559464018,26.602949014034465,26.48001421211583,overall
tminus1_2359,D1_official_residual_memory_shrinkage,residual_memory_shrinkage,5629,0.9302363980312539,1.193903457402032,0.7441724784827244,-0.09816563234706824,1.490012221767254,1.9753432702711335,2.396692168697477,8.676413671335707,26.504783381687393,26.602949014034465,26.48001421211583,overall
tminus1_2359,A0_raw_official,baseline,5629,0.9308580564931607,1.1957569920989344,0.7000000000000028,-0.1229348019186356,1.5,2.0,2.3999999999999986,8.6,26.48001421211583,26.602949014034465,26.48001421211583,overall
tminus1_2359,A8_direct_lgbm_absolute,direct_diagnostic,5629,0.9490681602384677,1.217215742395577,0.769669964454998,-0.004586455212654607,1.5396465872243414,1.9987475817865998,2.3543315989544245,8.43206860097291,26.598362558821808,26.602949014034465,26.48001421211583,overall
tminus1_2359,B0_climatology_persistence,baseline,5629,1.9051003730680407,2.4065583874777836,1.5999999999999979,-0.42635103926096984,2.9500000000000006,3.9019999999999992,4.759999999999998,10.479999999999999,26.176597974773497,26.602949014034465,26.48001421211583,overall
