validation_split,base_method,weight
sealed_2024_2026_05__t_minus_1_1800_hkt,C1_multinomial_ridge,0.028331398930358583
fold1__t_minus_1_2100_hkt,B0_climatology,0.0
fold1__t_minus_1_2100_hkt,B1_global_residual_pmf,0.040796146280770045
fold1__t_minus_1_2100_hkt,B2_month_residual_pmf,0.02460849155213183
fold1__t_minus_1_2100_hkt,B3_forecast_level_residual_pmf,0.02362176154145451
fold1__t_minus_1_2100_hkt,B4_hierarchical_residual_pmf,0.85
fold1__t_minus_1_2100_hkt,P1_normal_mos,0.03507109230167532
fold1__t_minus_1_2100_hkt,C1_multinomial_ridge,0.025902508323968353
fold2__t_minus_1_2100_hkt,B0_climatology,0.009735379710919586
fold2__t_minus_1_2100_hkt,B1_global_residual_pmf,0.023411697275958696
fold2__t_minus_1_2100_hkt,B2_month_residual_pmf,0.025559812767463448
fold2__t_minus_1_2100_hkt,B3_forecast_level_residual_pmf,0.03258402838069374
fold2__t_minus_1_2100_hkt,B4_hierarchical_residual_pmf,0.85
fold2__t_minus_1_2100_hkt,P1_normal_mos,0.026974402070388585
fold2__t_minus_1_2100_hkt,C1_multinomial_ridge,0.03173467979457597
fold3__t_minus_1_2100_hkt,B0_climatology,3.2397316166582486e-17
fold3__t_minus_1_2100_hkt,B1_global_residual_pmf,0.03645500428072026
fold3__t_minus_1_2100_hkt,B2_month_residual_pmf,0.021086495698456924
fold3__t_minus_1_2100_hkt,B3_forecast_level_residual_pmf,0.03688213315601906
fold3__t_minus_1_2100_hkt,B4_hierarchical_residual_pmf,0.85
fold3__t_minus_1_2100_hkt,P1_normal_mos,0.03368164812365149
fold3__t_minus_1_2100_hkt,C1_multinomial_ridge,0.02189471874115225
fold4__t_minus_1_2100_hkt,B0_climatology,0.0
fold4__t_minus_1_2100_hkt,B1_global_residual_pmf,0.03592058004571412
fold4__t_minus_1_2100_hkt,B2_month_residual_pmf,0.023170580855316054
fold4__t_minus_1_2100_hkt,B3_forecast_level_residual_pmf,0.03244344059779596
fold4__t_minus_1_2100_hkt,B4_hierarchical_residual_pmf,0.8500000000000002
fold4__t_minus_1_2100_hkt,P1_normal_mos,0.03389307988315365
fold4__t_minus_1_2100_hkt,C1_multinomial_ridge,0.02457231861802009
presealed_2022_2023__t_minus_1_2100_hkt,B0_climatology,0.0
presealed_2022_2023__t_minus_1_2100_hkt,B1_global_residual_pmf,0.03477192701434697
presealed_2022_2023__t_minus_1_2100_hkt,B2_month_residual_pmf,0.02130704385133527
presealed_2022_2023__t_minus_1_2100_hkt,B3_forecast_level_residual_pmf,0.027133324976649782
presealed_2022_2023__t_minus_1_2100_hkt,B4_hierarchical_residual_pmf,0.85
presealed_2022_2023__t_minus_1_2100_hkt,P1_normal_mos,0.02998965649027773
presealed_2022_2023__t_minus_1_2100_hkt,C1_multinomial_ridge,0.03679804766739023
sealed_2024_2026_05__t_minus_1_2100_hkt,B0_climatology,5.637851296924623e-18
sealed_2024_2026_05__t_minus_1_2100_hkt,B1_global_residual_pmf,0.03648457575975939
sealed_2024_2026_05__t_minus_1_2100_hkt,B2_month_residual_pmf,0.02880301516685684
sealed_2024_2026_05__t_minus_1_2100_hkt,B3_forecast_level_residual_pmf,0.023692192057416822
sealed_2024_2026_05__t_minus_1_2100_hkt,B4_hierarchical_residual_pmf,0.85
sealed_2024_2026_05__t_minus_1_2100_hkt,P1_normal_mos,0.031118938800074027
sealed_2024_2026_05__t_minus_1_2100_hkt,C1_multinomial_ridge,0.029901278215892956
