target_year,target_month,cutoff_profile,rows
2003,9,t_minus_1_1800_hkt,30
2003,9,t_minus_1_2100_hkt,30
2003,9,t_minus_1_2359_hkt,30
2003,10,t_minus_1_1800_hkt,28
2003,10,t_minus_1_2100_hkt,28
2003,10,t_minus_1_2359_hkt,31
2003,11,t_minus_1_1800_hkt,22
2003,11,t_minus_1_2100_hkt,23
2003,11,t_minus_1_2359_hkt,30
2003,12,t_minus_1_1800_hkt,13
2003,12,t_minus_1_2100_hkt,14
2003,12,t_minus_1_2359_hkt,31
2004,1,t_minus_1_1800_hkt,21
2004,1,t_minus_1_2100_hkt,22
2004,1,t_minus_1_2359_hkt,31
2004,2,t_minus_1_1800_hkt,21
2004,2,t_minus_1_2100_hkt,23
2004,2,t_minus_1_2359_hkt,29
2004,3,t_minus_1_1800_hkt,24
2004,3,t_minus_1_2100_hkt,25
2004,3,t_minus_1_2359_hkt,31
2004,4,t_minus_1_1800_hkt,27
2004,4,t_minus_1_2100_hkt,27
2004,4,t_minus_1_2359_hkt,30
2004,5,t_minus_1_1800_hkt,27
2004,5,t_minus_1_2100_hkt,27
2004,5,t_minus_1_2359_hkt,31
2004,6,t_minus_1_1800_hkt,27
2004,6,t_minus_1_2100_hkt,27
2004,6,t_minus_1_2359_hkt,30
2004,7,t_minus_1_1800_hkt,30
2004,7,t_minus_1_2100_hkt,30
2004,7,t_minus_1_2359_hkt,31
2004,8,t_minus_1_1800_hkt,24
2004,8,t_minus_1_2100_hkt,24
2004,8,t_minus_1_2359_hkt,31
2004,9,t_minus_1_1800_hkt,30
2004,9,t_minus_1_2100_hkt,30
2004,9,t_minus_1_2359_hkt,30
2004,10,t_minus_1_1800_hkt,24
2004,10,t_minus_1_2100_hkt,25
2004,10,t_minus_1_2359_hkt,31
2004,11,t_minus_1_1800_hkt,21
2004,11,t_minus_1_2100_hkt,21
2004,11,t_minus_1_2359_hkt,30
2004,12,t_minus_1_1800_hkt,20
2004,12,t_minus_1_2100_hkt,20
2004,12,t_minus_1_2359_hkt,31
2005,1,t_minus_1_1800_hkt,10
2005,1,t_minus_1_2100_hkt,10
2005,1,t_minus_1_2359_hkt,31
2005,2,t_minus_1_1800_hkt,15
2005,2,t_minus_1_2100_hkt,15
2005,2,t_minus_1_2359_hkt,28
2005,3,t_minus_1_1800_hkt,14
2005,3,t_minus_1_2100_hkt,14
2005,3,t_minus_1_2359_hkt,31
2005,4,t_minus_1_1800_hkt,27
2005,4,t_minus_1_2100_hkt,29
2005,4,t_minus_1_2359_hkt,30
2005,5,t_minus_1_1800_hkt,29
2005,5,t_minus_1_2100_hkt,30
2005,5,t_minus_1_2359_hkt,31
2005,6,t_minus_1_1800_hkt,30
2005,6,t_minus_1_2100_hkt,30
2005,6,t_minus_1_2359_hkt,30
2005,7,t_minus_1_1800_hkt,30
2005,7,t_minus_1_2100_hkt,30
2005,7,t_minus_1_2359_hkt,31
2005,8,t_minus_1_1800_hkt,29
2005,8,t_minus_1_2100_hkt,29
2005,8,t_minus_1_2359_hkt,31
2005,9,t_minus_1_1800_hkt,27
2005,9,t_minus_1_2100_hkt,28
2005,9,t_minus_1_2359_hkt,30
2005,10,t_minus_1_1800_hkt,29
2005,10,t_minus_1_2100_hkt,29
2005,10,t_minus_1_2359_hkt,31
2005,11,t_minus_1_1800_hkt,20
2005,11,t_minus_1_2100_hkt,20
2005,11,t_minus_1_2359_hkt,29
2005,12,t_minus_1_1800_hkt,16
2005,12,t_minus_1_2100_hkt,17
2005,12,t_minus_1_2359_hkt,31
2006,1,t_minus_1_1800_hkt,20
2006,1,t_minus_1_2100_hkt,20
2006,1,t_minus_1_2359_hkt,31
2006,2,t_minus_1_1800_hkt,23
2006,2,t_minus_1_2100_hkt,25
2006,2,t_minus_1_2359_hkt,28
2006,3,t_minus_1_1800_hkt,27
2006,3,t_minus_1_2100_hkt,27
2006,3,t_minus_1_2359_hkt,31
2006,4,t_minus_1_1800_hkt,25
2006,4,t_minus_1_2100_hkt,25
2006,4,t_minus_1_2359_hkt,30
2006,5,t_minus_1_1800_hkt,30
2006,5,t_minus_1_2100_hkt,30
2006,5,t_minus_1_2359_hkt,31
2006,6,t_minus_1_1800_hkt,28
2006,6,t_minus_1_2100_hkt,28
2006,6,t_minus_1_2359_hkt,30
2006,7,t_minus_1_1800_hkt,28
2006,7,t_minus_1_2100_hkt,28
2006,7,t_minus_1_2359_hkt,31
2006,8,t_minus_1_1800_hkt,29
2006,8,t_minus_1_2100_hkt,29
2006,8,t_minus_1_2359_hkt,31
2006,9,t_minus_1_1800_hkt,29
2006,9,t_minus_1_2100_hkt,29
2006,9,t_minus_1_2359_hkt,30
2006,10,t_minus_1_1800_hkt,30
2006,10,t_minus_1_2100_hkt,31
2006,10,t_minus_1_2359_hkt,31
2006,11,t_minus_1_1800_hkt,27
2006,11,t_minus_1_2100_hkt,27
2006,11,t_minus_1_2359_hkt,30
2006,12,t_minus_1_1800_hkt,24
2006,12,t_minus_1_2100_hkt,25
2006,12,t_minus_1_2359_hkt,31
2007,1,t_minus_1_1800_hkt,26
2007,1,t_minus_1_2100_hkt,26
2007,1,t_minus_1_2359_hkt,31
2007,2,t_minus_1_1800_hkt,28
2007,2,t_minus_1_2100_hkt,28
2007,2,t_minus_1_2359_hkt,28
2007,3,t_minus_1_1800_hkt,29
2007,3,t_minus_1_2100_hkt,29
2007,3,t_minus_1_2359_hkt,31
2007,4,t_minus_1_1800_hkt,28
2007,4,t_minus_1_2100_hkt,28
2007,4,t_minus_1_2359_hkt,30
2007,5,t_minus_1_1800_hkt,24
2007,5,t_minus_1_2100_hkt,25
2007,5,t_minus_1_2359_hkt,31
2007,6,t_minus_1_1800_hkt,27
2007,6,t_minus_1_2100_hkt,27
2007,6,t_minus_1_2359_hkt,30
2007,7,t_minus_1_1800_hkt,20
2007,7,t_minus_1_2100_hkt,21
2007,7,t_minus_1_2359_hkt,31
2007,8,t_minus_1_1800_hkt,28
2007,8,t_minus_1_2100_hkt,28
2007,8,t_minus_1_2359_hkt,31
2007,9,t_minus_1_1800_hkt,27
2007,9,t_minus_1_2100_hkt,29
2007,9,t_minus_1_2359_hkt,30
2007,10,t_minus_1_1800_hkt,27
2007,10,t_minus_1_2100_hkt,28
2007,10,t_minus_1_2359_hkt,31
2007,11,t_minus_1_1800_hkt,22
2007,11,t_minus_1_2100_hkt,22
2007,11,t_minus_1_2359_hkt,30
2007,12,t_minus_1_1800_hkt,22
2007,12,t_minus_1_2100_hkt,22
2007,12,t_minus_1_2359_hkt,31
2008,1,t_minus_1_1800_hkt,23
2008,1,t_minus_1_2100_hkt,23
2008,1,t_minus_1_2359_hkt,31
2008,2,t_minus_1_1800_hkt,22
2008,2,t_minus_1_2100_hkt,22
2008,2,t_minus_1_2359_hkt,29
2008,3,t_minus_1_1800_hkt,25
2008,3,t_minus_1_2100_hkt,25
2008,3,t_minus_1_2359_hkt,31
2008,4,t_minus_1_1800_hkt,28
2008,4,t_minus_1_2100_hkt,28
2008,4,t_minus_1_2359_hkt,30
2008,5,t_minus_1_1800_hkt,28
2008,5,t_minus_1_2100_hkt,28
2008,5,t_minus_1_2359_hkt,31
2008,6,t_minus_1_1800_hkt,29
2008,6,t_minus_1_2100_hkt,29
2008,6,t_minus_1_2359_hkt,30
2008,7,t_minus_1_1800_hkt,22
2008,7,t_minus_1_2100_hkt,22
2008,7,t_minus_1_2359_hkt,31
2008,8,t_minus_1_1800_hkt,22
2008,8,t_minus_1_2100_hkt,22
2008,8,t_minus_1_2359_hkt,31
2008,9,t_minus_1_1800_hkt,21
2008,9,t_minus_1_2100_hkt,22
2008,9,t_minus_1_2359_hkt,30
2008,10,t_minus_1_1800_hkt,29
2008,10,t_minus_1_2100_hkt,29
2008,10,t_minus_1_2359_hkt,31
2008,11,t_minus_1_1800_hkt,15
2008,11,t_minus_1_2100_hkt,15
2008,11,t_minus_1_2359_hkt,30
2008,12,t_minus_1_1800_hkt,23
2008,12,t_minus_1_2100_hkt,23
2008,12,t_minus_1_2359_hkt,31
2009,1,t_minus_1_1800_hkt,19
2009,1,t_minus_1_2100_hkt,19
2009,1,t_minus_1_2359_hkt,31
2009,2,t_minus_1_1800_hkt,28
2009,2,t_minus_1_2100_hkt,28
2009,2,t_minus_1_2359_hkt,28
2009,3,t_minus_1_1800_hkt,27
2009,3,t_minus_1_2100_hkt,27
2009,3,t_minus_1_2359_hkt,31
2009,4,t_minus_1_1800_hkt,28
2009,4,t_minus_1_2100_hkt,30
2009,4,t_minus_1_2359_hkt,30
2009,5,t_minus_1_1800_hkt,28
2009,5,t_minus_1_2100_hkt,29
2009,5,t_minus_1_2359_hkt,31
2009,6,t_minus_1_1800_hkt,29
2009,6,t_minus_1_2100_hkt,29
2009,6,t_minus_1_2359_hkt,30
2009,7,t_minus_1_1800_hkt,25
2009,7,t_minus_1_2100_hkt,27
2009,7,t_minus_1_2359_hkt,31
2009,8,t_minus_1_1800_hkt,28
2009,8,t_minus_1_2100_hkt,29
2009,8,t_minus_1_2359_hkt,31
2009,9,t_minus_1_1800_hkt,28
2009,9,t_minus_1_2100_hkt,28
2009,9,t_minus_1_2359_hkt,30
2009,10,t_minus_1_1800_hkt,30
2009,10,t_minus_1_2100_hkt,30
2009,10,t_minus_1_2359_hkt,31
2009,11,t_minus_1_1800_hkt,27
2009,11,t_minus_1_2100_hkt,27
2009,11,t_minus_1_2359_hkt,30
2009,12,t_minus_1_1800_hkt,16
2009,12,t_minus_1_2100_hkt,20
2009,12,t_minus_1_2359_hkt,31
2010,1,t_minus_1_1800_hkt,24
2010,1,t_minus_1_2100_hkt,24
2010,1,t_minus_1_2359_hkt,31
2010,2,t_minus_1_1800_hkt,24
2010,2,t_minus_1_2100_hkt,24
2010,2,t_minus_1_2359_hkt,28
2010,3,t_minus_1_1800_hkt,25
2010,3,t_minus_1_2100_hkt,25
2010,3,t_minus_1_2359_hkt,31
2010,4,t_minus_1_1800_hkt,26
2010,4,t_minus_1_2100_hkt,26
2010,4,t_minus_1_2359_hkt,30
2010,5,t_minus_1_1800_hkt,30
2010,5,t_minus_1_2100_hkt,30
2010,5,t_minus_1_2359_hkt,31
2010,6,t_minus_1_1800_hkt,29
2010,6,t_minus_1_2100_hkt,30
2010,6,t_minus_1_2359_hkt,30
2010,7,t_minus_1_1800_hkt,26
2010,7,t_minus_1_2100_hkt,28
2010,7,t_minus_1_2359_hkt,31
2010,8,t_minus_1_1800_hkt,27
2010,8,t_minus_1_2100_hkt,28
2010,8,t_minus_1_2359_hkt,31
2010,9,t_minus_1_1800_hkt,28
2010,9,t_minus_1_2100_hkt,28
2010,9,t_minus_1_2359_hkt,30
2010,10,t_minus_1_1800_hkt,28
2010,10,t_minus_1_2100_hkt,28
2010,10,t_minus_1_2359_hkt,31
2010,11,t_minus_1_1800_hkt,19
2010,11,t_minus_1_2100_hkt,19
2010,11,t_minus_1_2359_hkt,30
2010,12,t_minus_1_1800_hkt,18
2010,12,t_minus_1_2100_hkt,20
2010,12,t_minus_1_2359_hkt,31
2011,1,t_minus_1_1800_hkt,24
2011,1,t_minus_1_2100_hkt,24
2011,1,t_minus_1_2359_hkt,31
2011,2,t_minus_1_1800_hkt,18
2011,2,t_minus_1_2100_hkt,19
2011,2,t_minus_1_2359_hkt,28
2011,3,t_minus_1_1800_hkt,28
2011,3,t_minus_1_2100_hkt,28
2011,3,t_minus_1_2359_hkt,31
2011,4,t_minus_1_1800_hkt,30
2011,4,t_minus_1_2100_hkt,30
2011,4,t_minus_1_2359_hkt,30
2011,5,t_minus_1_1800_hkt,29
2011,5,t_minus_1_2100_hkt,29
2011,5,t_minus_1_2359_hkt,31
2011,6,t_minus_1_1800_hkt,28
2011,6,t_minus_1_2100_hkt,28
2011,6,t_minus_1_2359_hkt,30
2011,7,t_minus_1_1800_hkt,29
2011,7,t_minus_1_2100_hkt,29
2011,7,t_minus_1_2359_hkt,31
2011,8,t_minus_1_1800_hkt,25
2011,8,t_minus_1_2100_hkt,25
2011,8,t_minus_1_2359_hkt,31
2011,9,t_minus_1_1800_hkt,27
2011,9,t_minus_1_2100_hkt,28
2011,9,t_minus_1_2359_hkt,30
2011,10,t_minus_1_1800_hkt,31
2011,10,t_minus_1_2100_hkt,31
2011,10,t_minus_1_2359_hkt,31
2011,11,t_minus_1_1800_hkt,24
2011,11,t_minus_1_2100_hkt,24
2011,11,t_minus_1_2359_hkt,30
2011,12,t_minus_1_1800_hkt,24
2011,12,t_minus_1_2100_hkt,25
2011,12,t_minus_1_2359_hkt,31
2012,1,t_minus_1_1800_hkt,22
2012,1,t_minus_1_2100_hkt,22
2012,1,t_minus_1_2359_hkt,31
2012,2,t_minus_1_1800_hkt,24
2012,2,t_minus_1_2100_hkt,24
2012,2,t_minus_1_2359_hkt,29
2012,3,t_minus_1_1800_hkt,28
2012,3,t_minus_1_2100_hkt,29
2012,3,t_minus_1_2359_hkt,31
2012,4,t_minus_1_1800_hkt,30
2012,4,t_minus_1_2100_hkt,30
2012,4,t_minus_1_2359_hkt,30
2012,5,t_minus_1_1800_hkt,30
2012,5,t_minus_1_2100_hkt,30
2012,5,t_minus_1_2359_hkt,31
2012,6,t_minus_1_1800_hkt,30
2012,6,t_minus_1_2100_hkt,30
2012,6,t_minus_1_2359_hkt,30
2012,7,t_minus_1_1800_hkt,31
2012,7,t_minus_1_2100_hkt,31
2012,7,t_minus_1_2359_hkt,31
2012,8,t_minus_1_1800_hkt,31
2012,8,t_minus_1_2100_hkt,31
2012,8,t_minus_1_2359_hkt,31
2012,9,t_minus_1_1800_hkt,29
2012,9,t_minus_1_2100_hkt,29
2012,9,t_minus_1_2359_hkt,30
2012,10,t_minus_1_1800_hkt,30
2012,10,t_minus_1_2100_hkt,30
2012,10,t_minus_1_2359_hkt,31
2012,11,t_minus_1_1800_hkt,24
2012,11,t_minus_1_2100_hkt,24
2012,11,t_minus_1_2359_hkt,30
2012,12,t_minus_1_1800_hkt,25
2012,12,t_minus_1_2100_hkt,26
2012,12,t_minus_1_2359_hkt,31
2013,1,t_minus_1_1800_hkt,28
2013,1,t_minus_1_2100_hkt,28
2013,1,t_minus_1_2359_hkt,31
2013,2,t_minus_1_1800_hkt,26
2013,2,t_minus_1_2100_hkt,26
2013,2,t_minus_1_2359_hkt,28
2013,3,t_minus_1_1800_hkt,24
2013,3,t_minus_1_2100_hkt,24
2013,3,t_minus_1_2359_hkt,31
2013,4,t_minus_1_1800_hkt,27
2013,4,t_minus_1_2100_hkt,27
2013,4,t_minus_1_2359_hkt,30
2013,5,t_minus_1_1800_hkt,31
2013,5,t_minus_1_2100_hkt,31
2013,5,t_minus_1_2359_hkt,31
2013,6,t_minus_1_1800_hkt,30
2013,6,t_minus_1_2100_hkt,30
2013,6,t_minus_1_2359_hkt,30
2013,7,t_minus_1_1800_hkt,29
2013,7,t_minus_1_2100_hkt,29
2013,7,t_minus_1_2359_hkt,31
2013,8,t_minus_1_1800_hkt,30
2013,8,t_minus_1_2100_hkt,30
2013,8,t_minus_1_2359_hkt,31
2013,9,t_minus_1_1800_hkt,29
2013,9,t_minus_1_2100_hkt,29
2013,9,t_minus_1_2359_hkt,30
2013,10,t_minus_1_1800_hkt,26
2013,10,t_minus_1_2100_hkt,27
2013,10,t_minus_1_2359_hkt,31
2013,11,t_minus_1_1800_hkt,26
2013,11,t_minus_1_2100_hkt,27
2013,11,t_minus_1_2359_hkt,30
2013,12,t_minus_1_1800_hkt,27
2013,12,t_minus_1_2100_hkt,27
2013,12,t_minus_1_2359_hkt,31
2014,1,t_minus_1_1800_hkt,27
