cutoff_profile,method,family,row_count,rps,nll,brier,crps,ece,mce,entropy
t_minus_1_1800_hkt,B5_kernel_analog_pmf,analog_pmf,5050,0.04434392461781628,1.144711961709273,0.04835120835764873,0.44343924617816277,0.021028742020295633,0.1359446580579362,1.0583328060297486
t_minus_1_1800_hkt,S1_conservative_simplex_stack,stack,5050,0.04455985131565174,1.0954842367422,0.04845783796672507,0.44559851315651744,0.012129921267044666,0.05328975729973939,1.0928865663224807
t_minus_1_1800_hkt,B4_hierarchical_residual_pmf,residual_pmf,5050,0.04461338546635939,1.0998554569950414,0.04852067599366854,0.44613385466359384,0.014053920893220525,0.046176529500254804,1.0767325277553805
t_minus_1_1800_hkt,K0_B4_identity,calibration,5050,0.04461338546635939,1.0998554569950414,0.04852067599366854,0.44613385466359384,0.014053920893220525,0.046176529500254804,1.0767325277553805
t_minus_1_1800_hkt,K2_B4_monotone_cdf_projected,calibration,5050,0.04461338546635939,1.0998554569950414,0.04852067599366854,0.44613385466359384,0.014053920893220611,0.046176529500254804,1.0767325277553812
t_minus_1_1800_hkt,K1_B4_power_calibrated,calibration,5050,0.044624634199832244,1.0992092414343297,0.04850105087651094,0.4462463419983225,0.010216915799092528,0.05582727438004953,1.0969419078050757
t_minus_1_1800_hkt,B3_forecast_level_residual_pmf,residual_pmf,5050,0.044758714975419917,1.102399266376179,0.0485801008638529,0.44758714975419917,0.012787344374605384,0.8344924294236095,1.083164374477481
t_minus_1_1800_hkt,B2_month_residual_pmf,residual_pmf,5050,0.044863268868755524,1.1037306760101493,0.048667402420621224,0.44863268868755524,0.016261668345184534,0.08930129599816633,1.1038370176335
t_minus_1_1800_hkt,B1_global_residual_pmf,residual_pmf,5050,0.044881459490174566,1.105038588881354,0.048798163353431574,0.4488145949017458,0.02463654122198631,0.7031963657624585,1.1163844638722333
t_minus_1_1800_hkt,P1_normal_mos,mos,5050,0.04491280258563792,1.1037834942532694,0.048856275718043726,0.4491280258563792,0.026713257850571447,0.21898690076253635,1.1274101734285706
t_minus_1_1800_hkt,P2_student_t_mos,mos,5050,0.045017864602345845,1.1111786982881184,0.04891773754300481,0.4501786460234585,0.02713093346303662,0.21888992224602388,1.176998420163062
t_minus_1_1800_hkt,C1_multinomial_ridge,direct_classifier,5050,0.04576899809346496,1.1169789289400014,0.04922185216033584,0.4576899809346496,0.019592347976178266,0.14527663512011502,1.1377224529550796
t_minus_1_1800_hkt,C2_ordinal_cdf_logistic,direct_classifier,5050,0.046010124883301674,1.1272636282673174,0.049289645359383835,0.4601012488330167,0.023130470204697794,0.07082157449303395,1.1653564100855873
t_minus_1_1800_hkt,B6_month_climatology_diagnostic,diagnostic,5050,0.089744055032139,1.6144349605390476,0.06014630490429881,0.89744055032139,0.053847594805452544,0.1575240336267923,1.4414951646649872
t_minus_1_1800_hkt,B0_climatology,baseline,5050,0.19480716802148831,2.1730564506804764,0.07661942009501543,1.948071680214883,0.0205230216594377,0.0205230216594377,2.0729972144667443
t_minus_1_2100_hkt,B5_kernel_analog_pmf,analog_pmf,5088,0.04404822329547437,1.1417379570246202,0.048167341524173526,0.4404822329547437,0.022376112572120504,0.09000473634303074,1.0477492606284862
t_minus_1_2100_hkt,S1_conservative_simplex_stack,stack,5088,0.04424417228642591,1.0897498575738152,0.048272321701109365,0.4424417228642591,0.011691235073430839,0.0552621431154251,1.085560551513538
t_minus_1_2100_hkt,K2_B4_monotone_cdf_projected,calibration,5088,0.044300526995011184,1.0944101254968832,0.048337858524668834,0.44300526995011186,0.015359247036176683,0.07262501971433993,1.0680063980282224
t_minus_1_2100_hkt,B4_hierarchical_residual_pmf,residual_pmf,5088,0.04430052699501119,1.0944101254968828,0.048337858524668834,0.44300526995011186,0.015359247036176658,0.07262501971433993,1.0680063980282215
t_minus_1_2100_hkt,K0_B4_identity,calibration,5088,0.04430052699501119,1.0944101254968828,0.048337858524668834,0.44300526995011186,0.015359247036176658,0.07262501971433993,1.0680063980282215
t_minus_1_2100_hkt,K1_B4_power_calibrated,calibration,5088,0.04430874003152981,1.0935894744187566,0.04831943378860831,0.4430874003152981,0.0100659558713581,0.05894355349497066,1.0877985431383654
