validation_split,method,coverage90,mean_width90_buckets
fold1,B0_climatology,0.947992700729927,9.0
fold1,B1_global_residual_pmf,0.9662408759124088,3.4434306569343067
fold1,B2_month_residual_pmf,0.9644160583941606,3.3695255474452557
fold1,B3_forecast_level_residual_pmf,0.9625912408759124,3.1998175182481754
fold1,B4_hierarchical_residual_pmf,0.9671532846715328,3.301094890510949
fold1,B5_kernel_analog_pmf,0.9708029197080292,3.2791970802919708
fold1,B6_month_climatology_diagnostic,0.948905109489051,5.087591240875913
fold1,P1_normal_mos,0.9735401459854015,3.6186131386861313
fold1,P2_student_t_mos,0.989963503649635,3.9114963503649633
fold1,C1_multinomial_ridge,0.9826642335766423,3.6405109489051095
fold1,C2_ordinal_cdf_logistic,0.9872262773722628,3.781021897810219
fold1,K0_B4_identity,0.9671532846715328,3.301094890510949
fold1,K1_B4_power_calibrated,0.968065693430657,3.3877737226277373
fold1,K2_B4_monotone_cdf_projected,0.9671532846715328,3.301094890510949
fold1,S1_conservative_simplex_stack,0.968065693430657,3.3166058394160585
fold2,B0_climatology,0.9095890410958904,9.0
fold2,B1_global_residual_pmf,0.9707762557077626,3.442922374429224
fold2,B2_month_residual_pmf,0.9671232876712329,3.3552511415525115
fold2,B3_forecast_level_residual_pmf,0.9707762557077626,3.3187214611872147
fold2,B4_hierarchical_residual_pmf,0.9698630136986301,3.287671232876712
fold2,B5_kernel_analog_pmf,0.9698630136986301,3.304109589041096
fold2,B6_month_climatology_diagnostic,0.9515981735159817,5.257534246575342
fold2,P1_normal_mos,0.9744292237442922,3.6374429223744293
fold2,P2_student_t_mos,0.9872146118721461,3.9570776255707765
fold2,C1_multinomial_ridge,0.9744292237442922,3.557077625570776
fold2,C2_ordinal_cdf_logistic,0.9744292237442922,3.7260273972602738
fold2,K0_B4_identity,0.9698630136986301,3.287671232876712
fold2,K1_B4_power_calibrated,0.9744292237442922,3.3844748858447486
fold2,K2_B4_monotone_cdf_projected,0.9698630136986301,3.287671232876712
fold2,S1_conservative_simplex_stack,0.9735159817351599,3.367123287671233
fold3,B0_climatology,0.9105022831050228,9.0
fold3,B1_global_residual_pmf,0.9735159817351599,3.5817351598173515
fold3,B2_month_residual_pmf,0.965296803652968,3.4337899543378994
fold3,B3_forecast_level_residual_pmf,0.9735159817351599,3.5342465753424657
fold3,B4_hierarchical_residual_pmf,0.965296803652968,3.3990867579908675
fold3,B5_kernel_analog_pmf,0.9662100456621004,3.387214611872146
fold3,B6_month_climatology_diagnostic,0.9205479452054794,5.263013698630137
fold3,P1_normal_mos,0.9789954337899544,3.7159817351598172
fold3,P2_student_t_mos,0.9872146118721461,4.094063926940639
fold3,C1_multinomial_ridge,0.9789954337899544,3.7159817351598172
fold3,C2_ordinal_cdf_logistic,0.9799086757990868,3.889497716894977
fold3,K0_B4_identity,0.965296803652968,3.3990867579908675
fold3,K1_B4_power_calibrated,0.9689497716894977,3.5214611872146118
fold3,K2_B4_monotone_cdf_projected,0.965296803652968,3.3990867579908675
fold3,S1_conservative_simplex_stack,0.9689497716894977,3.444748858447489
fold4,B0_climatology,0.9548563611491108,10.0
fold4,B1_global_residual_pmf,0.9644322845417237,3.6169630642954855
fold4,B2_month_residual_pmf,0.9534883720930233,3.46922024623803
fold4,B3_forecast_level_residual_pmf,0.9534883720930233,3.526675786593707
fold4,B4_hierarchical_residual_pmf,0.957592339261286,3.4952120383036935
fold4,B5_kernel_analog_pmf,0.9521203830369357,3.4473324213406293
fold4,B6_month_climatology_diagnostic,0.8905608755129959,5.346101231190151
fold4,P1_normal_mos,0.9699042407660738,3.6853625170998634
fold4,P2_student_t_mos,0.9890560875512996,4.155950752393981
fold4,C1_multinomial_ridge,0.9726402188782489,3.7017783857729136
fold4,C2_ordinal_cdf_logistic,0.9794801641586868,3.886456908344733
fold4,K0_B4_identity,0.957592339261286,3.4952120383036935
fold4,K1_B4_power_calibrated,0.960328317373461,3.5129958960328316
fold4,K2_B4_monotone_cdf_projected,0.957592339261286,3.4952120383036935
fold4,S1_conservative_simplex_stack,0.957592339261286,3.493844049247606
presealed_2022_2023,B0_climatology,0.9315068493150684,10.0
presealed_2022_2023,B1_global_residual_pmf,0.9808219178082191,3.526027397260274
presealed_2022_2023,B2_month_residual_pmf,0.9643835616438357,3.3863013698630136
presealed_2022_2023,B3_forecast_level_residual_pmf,0.9780821917808219,3.489041095890411
presealed_2022_2023,B4_hierarchical_residual_pmf,0.9712328767123287,3.4356164383561643
presealed_2022_2023,B5_kernel_analog_pmf,0.9767123287671233,3.4452054794520546
presealed_2022_2023,B6_month_climatology_diagnostic,0.9328767123287671,5.517808219178082
presealed_2022_2023,P1_normal_mos,0.9876712328767123,3.591780821917808
presealed_2022_2023,P2_student_t_mos,0.9904109589041096,4.006849315068493
presealed_2022_2023,C1_multinomial_ridge,0.9808219178082191,3.628767123287671
presealed_2022_2023,C2_ordinal_cdf_logistic,0.9876712328767123,3.8164383561643835
presealed_2022_2023,K0_B4_identity,0.9712328767123287,3.4356164383561643
presealed_2022_2023,K1_B4_power_calibrated,0.9712328767123287,3.5013698630136987
presealed_2022_2023,K2_B4_monotone_cdf_projected,0.9712328767123287,3.4356164383561643
presealed_2022_2023,S1_conservative_simplex_stack,0.9698630136986301,3.4452054794520546
sealed_2024_2026_05,B0_climatology,0.9546485260770975,10.0
sealed_2024_2026_05,B1_global_residual_pmf,0.9705215419501134,3.5011337868480727
sealed_2024_2026_05,B2_month_residual_pmf,0.9705215419501134,3.450113378684807
sealed_2024_2026_05,B3_forecast_level_residual_pmf,0.9727891156462585,3.419501133786848
sealed_2024_2026_05,B4_hierarchical_residual_pmf,0.9761904761904762,3.484126984126984
sealed_2024_2026_05,B5_kernel_analog_pmf,0.9739229024943311,3.409297052154195
sealed_2024_2026_05,B6_month_climatology_diagnostic,0.9024943310657596,5.222222222222222
sealed_2024_2026_05,P1_normal_mos,0.9761904761904762,3.5136054421768708
sealed_2024_2026_05,P2_student_t_mos,0.9852607709750567,3.984126984126984
sealed_2024_2026_05,C1_multinomial_ridge,0.9795918367346939,3.5793650793650795
sealed_2024_2026_05,C2_ordinal_cdf_logistic,0.9829931972789115,3.7709750566893425
sealed_2024_2026_05,K0_B4_identity,0.9761904761904762,3.484126984126984
sealed_2024_2026_05,K1_B4_power_calibrated,0.9761904761904762,3.5340136054421767
sealed_2024_2026_05,K2_B4_monotone_cdf_projected,0.9761904761904762,3.484126984126984
sealed_2024_2026_05,S1_conservative_simplex_stack,0.9761904761904762,3.4852607709750565
fold1__t_minus_1_1800_hkt,B0_climatology,0.9451219512195121,9.0
fold1__t_minus_1_1800_hkt,B1_global_residual_pmf,0.959349593495935,3.569105691056911
fold1__t_minus_1_1800_hkt,B2_month_residual_pmf,0.967479674796748,3.641260162601626
fold1__t_minus_1_1800_hkt,B3_forecast_level_residual_pmf,0.967479674796748,3.4898373983739837
fold1__t_minus_1_1800_hkt,B4_hierarchical_residual_pmf,0.9664634146341463,3.5
fold1__t_minus_1_1800_hkt,B5_kernel_analog_pmf,0.9654471544715447,3.432926829268293
fold1__t_minus_1_1800_hkt,B6_month_climatology_diagnostic,0.9491869918699187,5.344512195121951
fold1__t_minus_1_1800_hkt,P1_normal_mos,0.983739837398374,3.9857723577235773
fold1__t_minus_1_1800_hkt,P2_student_t_mos,0.9878048780487805,4.1189024390243905
fold1__t_minus_1_1800_hkt,C1_multinomial_ridge,0.9806910569105691,3.8434959349593494
fold1__t_minus_1_1800_hkt,C2_ordinal_cdf_logistic,0.983739837398374,3.977642276422764
fold1__t_minus_1_1800_hkt,K0_B4_identity,0.9664634146341463,3.5
fold1__t_minus_1_1800_hkt,K1_B4_power_calibrated,0.9705284552845529,3.616869918699187
fold1__t_minus_1_1800_hkt,K2_B4_monotone_cdf_projected,0.9664634146341463,3.5
fold1__t_minus_1_1800_hkt,S1_conservative_simplex_stack,0.9664634146341463,3.522357723577236
fold2__t_minus_1_1800_hkt,B0_climatology,0.9089968976215098,9.0
fold2__t_minus_1_1800_hkt,B1_global_residual_pmf,0.9658738366080661,3.5718717683557393
fold2__t_minus_1_1800_hkt,B2_month_residual_pmf,0.96794208893485,3.5480868665977248
fold2__t_minus_1_1800_hkt,B3_forecast_level_residual_pmf,0.9741468459152016,3.4974146845915204
fold2__t_minus_1_1800_hkt,B4_hierarchical_residual_pmf,0.9710444674250258,3.456049638055843
fold2__t_minus_1_1800_hkt,B5_kernel_analog_pmf,0.9669079627714581,3.409513960703206
fold2__t_minus_1_1800_hkt,B6_month_climatology_diagnostic,0.9338159255429163,5.349534643226473
fold2__t_minus_1_1800_hkt,P1_normal_mos,0.9824198552223371,4.03722854188211
fold2__t_minus_1_1800_hkt,P2_student_t_mos,0.9896587383660806,4.145811789038262
fold2__t_minus_1_1800_hkt,C1_multinomial_ridge,0.9710444674250258,3.7631851085832473
fold2__t_minus_1_1800_hkt,C2_ordinal_cdf_logistic,0.9700103412616339,3.8924508790072387
fold2__t_minus_1_1800_hkt,K0_B4_identity,0.9710444674250258,3.456049638055843
fold2__t_minus_1_1800_hkt,K1_B4_power_calibrated,0.9741468459152016,3.5201654601861425
fold2__t_minus_1_1800_hkt,K2_B4_monotone_cdf_projected,0.9710444674250258,3.456049638055843
fold2__t_minus_1_1800_hkt,S1_conservative_simplex_stack,0.9741468459152016,3.562564632885212
fold3__t_minus_1_1800_hkt,B0_climatology,0.9104627766599598,9.0
fold3__t_minus_1_1800_hkt,B1_global_residual_pmf,0.9698189134808853,3.6659959758551306
fold3__t_minus_1_1800_hkt,B2_month_residual_pmf,0.9617706237424547,3.53420523138833
fold3__t_minus_1_1800_hkt,B3_forecast_level_residual_pmf,0.9698189134808853,3.6006036217303823
fold3__t_minus_1_1800_hkt,B4_hierarchical_residual_pmf,0.9627766599597586,3.5603621730382295
fold3__t_minus_1_1800_hkt,B5_kernel_analog_pmf,0.96579476861167,3.533199195171026
fold3__t_minus_1_1800_hkt,B6_month_climatology_diagnostic,0.9195171026156942,5.385311871227364
fold3__t_minus_1_1800_hkt,P1_normal_mos,0.9818913480885312,4.065392354124748
fold3__t_minus_1_1800_hkt,P2_student_t_mos,0.9869215291750503,4.231388329979879
fold3__t_minus_1_1800_hkt,C1_multinomial_ridge,0.9768611670020121,3.8541247484909458
fold3__t_minus_1_1800_hkt,C2_ordinal_cdf_logistic,0.9788732394366197,4.028169014084507
fold3__t_minus_1_1800_hkt,K0_B4_identity,0.9627766599597586,3.5603621730382295
