feature_name,feature_scope,source_family,unit,formula,strict_allowed,proxy_allowed,shadow_allowed
aifsens__center__tmax_c,live_shadow,shadow_nwp,C,shadow/direct placeholder center Tmax feature excluded from strict scope,False,False,True
aifsoper__center__tmax_c,live_shadow,shadow_nwp,C,shadow/direct placeholder center Tmax feature excluded from strict scope,False,False,True
aigfssfc__center__tmax_c,live_shadow,shadow_nwp,C,shadow/direct placeholder center Tmax feature excluded from strict scope,False,False,True
arwf__center__tmax_c,live_shadow,shadow_nwp,C,shadow/direct placeholder center Tmax feature excluded from strict scope,False,False,True
cwawrf15__center__tmax_c,live_shadow,shadow_nwp,C,shadow/direct placeholder center Tmax feature excluded from strict scope,False,False,True
fourcastnet__center__tmax_c,live_shadow,shadow_nwp,C,shadow/direct placeholder center Tmax feature excluded from strict scope,False,False,True
graphcast__center__tmax_c,live_shadow,shadow_nwp,C,shadow/direct placeholder center Tmax feature excluded from strict scope,False,False,True
ifsens__center__tmax_c,live_shadow,shadow_nwp,C,shadow/direct placeholder center Tmax feature excluded from strict scope,False,False,True
ifsoper__center__tmax_c,live_shadow,shadow_nwp,C,shadow/direct placeholder center Tmax feature excluded from strict scope,False,False,True
