bias,coverage_80,coverage_90,crps_normal,experiment_id,first_date,last_date,mae,median_abs_error,model_id,n,rmse
0.022594728001928892,0.8047945205479452,0.8917808219178082,0.8827135020569953,EXP-0050,2020-01-01,2023-12-31,1.2365984893663038,1.0108790590620131,long_history_core_v1,1460,1.5713769295714481
0.022594728001928892,0.8047945205479452,0.8917808219178082,0.8827135020569953,EXP-0050,2020-01-01,2023-12-31,1.2365984893663038,1.0108790590620131,r17_era_transfer_terms,1460,1.5713769295714481
-0.43095645385154363,0.7965753424657535,0.8931506849315068,0.9255302020633486,EXP-0050,2020-01-01,2023-12-31,1.3145979852352803,1.1675315247572264,r15_upper_air_plus_isd,1460,1.6368045050282793
-0.4253949618259714,0.7821917808219178,0.8958904109589041,0.9254791934046053,EXP-0050,2020-01-01,2023-12-31,1.3158373415959683,1.1619001666785724,r15_coupling_terms,1460,1.6342072891162698
-0.4253949618259714,0.7821917808219178,0.8958904109589041,0.9254791934046053,EXP-0050,2020-01-01,2023-12-31,1.3158373415959683,1.1619001666785724,r17_combined_long_history_core,1460,1.6342072891162698
-0.35421457160479863,0.8075342465753425,0.915068493150685,0.9258620199610689,EXP-0050,2020-01-01,2023-12-31,1.317644772000457,1.1487231213744682,exp-0050_equal_weight_diagnostic,1460,1.6347518455602836
-0.38409578931862787,0.7876712328767124,0.8924657534246575,0.9470977120941392,EXP-0050,2020-01-01,2023-12-31,1.3478166416000643,1.1338423851974344,r16_isd_regional_aggregate,1460,1.6740104457362317
-0.38409578931862787,0.7876712328767124,0.8924657534246575,0.9470977120941392,EXP-0050,2020-01-01,2023-12-31,1.3478166416000643,1.1338423851974344,r16_isd_station_panel,1460,1.6740104457362317
-0.629962263276524,0.8068493150684931,0.9136986301369863,1.0864088455165737,EXP-0050,2020-01-01,2023-12-31,1.552176277838819,1.3752429498799206,r14_upper_air_core,1460,1.913684462864944
-0.6564055706210531,0.7917808219178082,0.9013698630136986,1.1705004347908083,EXP-0050,2020-01-01,2023-12-31,1.6769654486115617,1.4856925834915735,r14_stability_only,1460,2.059836160416874
-0.49305501780265,0.8041095890410959,0.897945205479452,1.3471127085095753,EXP-0050,2020-01-01,2023-12-31,1.896418034387992,1.619995489330453,r14_lag_calendar_baseline,1460,2.407459198072482
-0.49777781931940035,0.8013698630136986,0.8986301369863013,1.34768640291357,EXP-0050,2020-01-01,2023-12-31,1.896806974340663,1.6225423411249782,r15_lag_calendar_baseline,1460,2.4084131539322673
-0.49777781931940035,0.8013698630136986,0.8986301369863013,1.34768640291357,EXP-0050,2020-01-01,2023-12-31,1.896806974340663,1.6225423411249782,r17_lag_calendar_baseline,1460,2.4084131539322673
-0.5000660012139545,0.8013698630136986,0.8986301369863013,1.3479686608469506,EXP-0050,2020-01-01,2023-12-31,1.8973581512902011,1.6287475021563544,r16_lag_calendar_baseline,1460,2.408787496746378
0.022594728001928892,0.8047945205479452,0.8917808219178082,0.8827135020569953,EXP-0051,2020-01-01,2023-12-31,1.2365984893663038,1.0108790590620131,long_history_core_v1,1460,1.5713769295714481
-0.2194192572520923,0.876027397260274,0.9534246575342465,1.011726043385049,EXP-0051,2020-01-01,2023-12-31,1.4160196100721507,1.210086700690713,exp-0051_candidate,1460,1.7802262403926825
-0.31370323581131376,0.8561643835616438,0.9356164383561644,1.061566318855575,EXP-0051,2020-01-01,2023-12-31,1.473854583717163,1.2195212766743087,ridge_igra_isd_core_proxy,1460,1.8843888972333755
-0.5606397266258808,0.7808219178082192,0.8773972602739726,1.491727725582673,EXP-0051,2020-01-01,2023-12-31,2.1016683001308687,1.7331455769247182,strict_t7_lag_calendar_control,1460,2.661219488242874
-2.1444659674268216,0.7273972602739726,0.9287671232876712,3.293526261288357,EXP-0051,2020-01-01,2023-12-31,4.871996084348692,4.776133146395907,exp-0051_shuffled_target_control,1460,5.652458332398253
0.022594728001928892,0.8047945205479452,0.8917808219178082,0.8827135020569953,EXP-0052,2020-01-01,2023-12-31,1.2365984893663038,1.0108790590620131,long_history_core_v1,1460,1.5713769295714481
-0.31370323581131376,0.8561643835616438,0.9356164383561644,1.061566318855575,EXP-0052,2020-01-01,2023-12-31,1.473854583717163,1.2195212766743087,ridge_igra_isd_core_proxy,1460,1.8843888972333755
-0.7035617821745193,0.85,0.928082191780822,1.1133502395390753,EXP-0052,2020-01-01,2023-12-31,1.576263492560994,1.340715254774091,exp-0052_candidate,1460,1.9740585654581604
-0.5606397266258808,0.7808219178082192,0.8773972602739726,1.491727725582673,EXP-0052,2020-01-01,2023-12-31,2.1016683001308687,1.7331455769247182,strict_t7_lag_calendar_control,1460,2.661219488242874
