strategy,requests,bytes,bytes_multiplier,request_multiplier
current_per_message,2140,1367315884,1.0,1.0
coalesce_gap_0,1004,1367315884,1.0,0.4691588785046729
coalesce_gap_64000,1004,1367315884,1.0,0.4691588785046729
coalesce_gap_256000,1004,1367315884,1.0,0.4691588785046729
coalesce_gap_1000000,868,1445532152,1.0572042414743132,0.405607476635514
coalesce_gap_5000000,447,2454686891,1.7952595444287254,0.2088785046728972
coalesce_gap_25000000,204,4752154761,3.4755354023225844,0.09532710280373832
single_selected_span_per_object,136,32727844385,23.935832800579096,0.06355140186915888
