cutoff_profile,season_bucket,rows,router_apply_rate,tail_overlay_apply_rate,mean_correction_when_applied_c
tminus1_1800,DJF,1144,0.48164335664335667,0.0,0.4103181107296486
tminus1_1800,JJA,1325,0.3260377358490566,0.0,0.17983864543945824
tminus1_1800,MAM,1357,0.4075165806927045,0.0,0.1834137030979972
tminus1_1800,SON,1224,0.5473856209150327,0.0,0.14397715179337464
tminus1_2100,DJF,1153,0.5646140503035559,0.0,0.4309995497635454
tminus1_2100,JJA,1337,0.474943904263276,0.0,0.1356498494389905
tminus1_2100,MAM,1366,0.513177159590044,0.0,0.15951541430852118
tminus1_2100,SON,1232,0.5998376623376623,0.0,0.15847144946148464
tminus1_2359,DJF,1413,0.5548478414720452,0.0,0.331320111901883
tminus1_2359,JJA,1380,0.39710144927536234,0.0,0.15307901718652778
tminus1_2359,MAM,1472,0.4898097826086957,0.0,0.15237767101578215
tminus1_2359,SON,1364,0.5483870967741935,0.0,0.13780885210252755
