source,provider,product,frame_time_hkt,observed_at_utc,availability_proxy_utc,availability_proxy_method,native_issue_metadata_status,envf_query_url,display_large_image_url,display_image_url,envf_temp_image_path,frame_index_in_chunk
envf_hkust_hko_radar,HKUST ENVF mirror of HKO radar imagery,hko_radar_image,2026-07-06T16:48:00+08:00,2026-07-06T08:48:00Z,2026-07-06T09:18:00Z,historical_display_proxy_observed_at_plus_30m,not_native_exact_vintage,https://envf.ust.hk/dataview/hko_radar/current/index.py?year__int=2026&month__int=7&day__int=6&hour__int=8&npics__int=72&interval__float=0.2&display=Search,https://envf.ust.hk/dataview/hko_radar/current/display_large_image.py?imagef=/tmp/ImgUtil-image_link-1783515804.2221689224243164062500-2944017-55.png&datetime=2026/07/06 16:48,https://envf.ust.hk/dataview/hko_radar/current/inc/display_image.py?imgfile=%2Ftmp%2Fhko_radar-4.0-1783515804.1878490447998046875000-2944017-54.png&resize__int=30&keepit__int=0,/tmp/ImgUtil-image_link-1783515804.2221689224243164062500-2944017-55.png,27
envf_hkust_hko_radar,HKUST ENVF mirror of HKO radar imagery,hko_radar_image,2026-07-06T17:00:00+08:00,2026-07-06T09:00:00Z,2026-07-06T09:30:00Z,historical_display_proxy_observed_at_plus_30m,not_native_exact_vintage,https://envf.ust.hk/dataview/hko_radar/current/index.py?year__int=2026&month__int=7&day__int=6&hour__int=8&npics__int=72&interval__float=0.2&display=Search,https://envf.ust.hk/dataview/hko_radar/current/display_large_image.py?imagef=/tmp/ImgUtil-image_link-1783515804.1598100662231445312500-2944017-53.png&datetime=2026/07/06 17:00,https://envf.ust.hk/dataview/hko_radar/current/inc/display_image.py?imgfile=%2Ftmp%2Fhko_radar-4.0-1783515804.1317160129547119140625-2944017-52.png&resize__int=30&keepit__int=0,/tmp/ImgUtil-image_link-1783515804.1598100662231445312500-2944017-53.png,26
envf_hkust_hko_radar,HKUST ENVF mirror of HKO radar imagery,hko_radar_image,2026-07-06T17:12:00+08:00,2026-07-06T09:12:00Z,2026-07-06T09:42:00Z,historical_display_proxy_observed_at_plus_30m,not_native_exact_vintage,https://envf.ust.hk/dataview/hko_radar/current/index.py?year__int=2026&month__int=7&day__int=6&hour__int=8&npics__int=72&interval__float=0.2&display=Search,https://envf.ust.hk/dataview/hko_radar/current/display_large_image.py?imagef=/tmp/ImgUtil-image_link-1783515804.1030778884887695312500-2944017-51.png&datetime=2026/07/06 17:12,https://envf.ust.hk/dataview/hko_radar/current/inc/display_image.py?imgfile=%2Ftmp%2Fhko_radar-4.0-1783515804.0579519271850585937500-2944017-50.png&resize__int=30&keepit__int=0,/tmp/ImgUtil-image_link-1783515804.1030778884887695312500-2944017-51.png,25
envf_hkust_hko_radar,HKUST ENVF mirror of HKO radar imagery,hko_radar_image,2026-07-06T17:24:00+08:00,2026-07-06T09:24:00Z,2026-07-06T09:54:00Z,historical_display_proxy_observed_at_plus_30m,not_native_exact_vintage,https://envf.ust.hk/dataview/hko_radar/current/index.py?year__int=2026&month__int=7&day__int=6&hour__int=8&npics__int=72&interval__float=0.2&display=Search,https://envf.ust.hk/dataview/hko_radar/current/display_large_image.py?imagef=/tmp/ImgUtil-image_link-1783515804.0255959033966064453125-2944017-49.png&datetime=2026/07/06 17:24,https://envf.ust.hk/dataview/hko_radar/current/inc/display_image.py?imgfile=%2Ftmp%2Fhko_radar-4.0-1783515803.9824230670928955078125-2944017-48.png&resize__int=30&keepit__int=0,/tmp/ImgUtil-image_link-1783515804.0255959033966064453125-2944017-49.png,24
envf_hkust_hko_radar,HKUST ENVF mirror of HKO radar imagery,hko_radar_image,2026-07-06T17:36:00+08:00,2026-07-06T09:36:00Z,2026-07-06T10:06:00Z,historical_display_proxy_observed_at_plus_30m,not_native_exact_vintage,https://envf.ust.hk/dataview/hko_radar/current/index.py?year__int=2026&month__int=7&day__int=6&hour__int=8&npics__int=72&interval__float=0.2&display=Search,https://envf.ust.hk/dataview/hko_radar/current/display_large_image.py?imagef=/tmp/ImgUtil-image_link-1783515803.9521241188049316406250-2944017-47.png&datetime=2026/07/06 17:36,https://envf.ust.hk/dataview/hko_radar/current/inc/display_image.py?imgfile=%2Ftmp%2Fhko_radar-4.0-1783515803.9187779426574707031250-2944017-46.png&resize__int=30&keepit__int=0,/tmp/ImgUtil-image_link-1783515803.9521241188049316406250-2944017-47.png,23
envf_hkust_hko_radar,HKUST ENVF mirror of HKO radar imagery,hko_radar_image,2026-07-06T17:48:00+08:00,2026-07-06T09:48:00Z,2026-07-06T10:18:00Z,historical_display_proxy_observed_at_plus_30m,not_native_exact_vintage,https://envf.ust.hk/dataview/hko_radar/current/index.py?year__int=2026&month__int=7&day__int=6&hour__int=8&npics__int=72&interval__float=0.2&display=Search,https://envf.ust.hk/dataview/hko_radar/current/display_large_image.py?imagef=/tmp/ImgUtil-image_link-1783515803.8791038990020751953125-2944017-45.png&datetime=2026/07/06 17:48,https://envf.ust.hk/dataview/hko_radar/current/inc/display_image.py?imgfile=%2Ftmp%2Fhko_radar-4.0-1783515803.8452370166778564453125-2944017-44.png&resize__int=30&keepit__int=0,/tmp/ImgUtil-image_link-1783515803.8791038990020751953125-2944017-45.png,22
envf_hkust_hko_radar,HKUST ENVF mirror of HKO radar imagery,hko_radar_image,2026-07-06T18:00:00+08:00,2026-07-06T10:00:00Z,2026-07-06T10:30:00Z,historical_display_proxy_observed_at_plus_30m,not_native_exact_vintage,https://envf.ust.hk/dataview/hko_radar/current/index.py?year__int=2026&month__int=7&day__int=6&hour__int=8&npics__int=72&interval__float=0.2&display=Search,https://envf.ust.hk/dataview/hko_radar/current/display_large_image.py?imagef=/tmp/ImgUtil-image_link-1783515803.7799251079559326171875-2944017-43.png&datetime=2026/07/06 18:00,https://envf.ust.hk/dataview/hko_radar/current/inc/display_image.py?imgfile=%2Ftmp%2Fhko_radar-4.0-1783515803.7538950443267822265625-2944017-42.png&resize__int=30&keepit__int=0,/tmp/ImgUtil-image_link-1783515803.7799251079559326171875-2944017-43.png,21
envf_hkust_hko_radar,HKUST ENVF mirror of HKO radar imagery,hko_radar_image,2026-07-06T18:12:00+08:00,2026-07-06T10:12:00Z,2026-07-06T10:42:00Z,historical_display_proxy_observed_at_plus_30m,not_native_exact_vintage,https://envf.ust.hk/dataview/hko_radar/current/index.py?year__int=2026&month__int=7&day__int=6&hour__int=8&npics__int=72&interval__float=0.2&display=Search,https://envf.ust.hk/dataview/hko_radar/current/display_large_image.py?imagef=/tmp/ImgUtil-image_link-1783515803.6987090110778808593750-2944017-41.png&datetime=2026/07/06 18:12,https://envf.ust.hk/dataview/hko_radar/current/inc/display_image.py?imgfile=%2Ftmp%2Fhko_radar-4.0-1783515803.6714379787445068359375-2944017-40.png&resize__int=30&keepit__int=0,/tmp/ImgUtil-image_link-1783515803.6987090110778808593750-2944017-41.png,20
envf_hkust_hko_radar,HKUST ENVF mirror of HKO radar imagery,hko_radar_image,2026-07-06T18:24:00+08:00,2026-07-06T10:24:00Z,2026-07-06T10:54:00Z,historical_display_proxy_observed_at_plus_30m,not_native_exact_vintage,https://envf.ust.hk/dataview/hko_radar/current/index.py?year__int=2026&month__int=7&day__int=6&hour__int=8&npics__int=72&interval__float=0.2&display=Search,https://envf.ust.hk/dataview/hko_radar/current/display_large_image.py?imagef=/tmp/ImgUtil-image_link-1783515803.6439619064331054687500-2944017-39.png&datetime=2026/07/06 18:24,https://envf.ust.hk/dataview/hko_radar/current/inc/display_image.py?imgfile=%2Ftmp%2Fhko_radar-4.0-1783515803.6162419319152832031250-2944017-38.png&resize__int=30&keepit__int=0,/tmp/ImgUtil-image_link-1783515803.6439619064331054687500-2944017-39.png,19
envf_hkust_hko_radar,HKUST ENVF mirror of HKO radar imagery,hko_radar_image,2026-07-06T18:36:00+08:00,2026-07-06T10:36:00Z,2026-07-06T11:06:00Z,historical_display_proxy_observed_at_plus_30m,not_native_exact_vintage,https://envf.ust.hk/dataview/hko_radar/current/index.py?year__int=2026&month__int=7&day__int=6&hour__int=8&npics__int=72&interval__float=0.2&display=Search,https://envf.ust.hk/dataview/hko_radar/current/display_large_image.py?imagef=/tmp/ImgUtil-image_link-1783515803.5913848876953125000000-2944017-37.png&datetime=2026/07/06 18:36,https://envf.ust.hk/dataview/hko_radar/current/inc/display_image.py?imgfile=%2Ftmp%2Fhko_radar-4.0-1783515803.5658679008483886718750-2944017-36.png&resize__int=30&keepit__int=0,/tmp/ImgUtil-image_link-1783515803.5913848876953125000000-2944017-37.png,18
envf_hkust_hko_radar,HKUST ENVF mirror of HKO radar imagery,hko_radar_image,2026-07-06T18:48:00+08:00,2026-07-06T10:48:00Z,2026-07-06T11:18:00Z,historical_display_proxy_observed_at_plus_30m,not_native_exact_vintage,https://envf.ust.hk/dataview/hko_radar/current/index.py?year__int=2026&month__int=7&day__int=6&hour__int=8&npics__int=72&interval__float=0.2&display=Search,https://envf.ust.hk/dataview/hko_radar/current/display_large_image.py?imagef=/tmp/ImgUtil-image_link-1783515803.5359361171722412109375-2944017-35.png&datetime=2026/07/06 18:48,https://envf.ust.hk/dataview/hko_radar/current/inc/display_image.py?imgfile=%2Ftmp%2Fhko_radar-4.0-1783515803.5090761184692382812500-2944017-34.png&resize__int=30&keepit__int=0,/tmp/ImgUtil-image_link-1783515803.5359361171722412109375-2944017-35.png,17
envf_hkust_hko_radar,HKUST ENVF mirror of HKO radar imagery,hko_radar_image,2026-07-06T19:00:00+08:00,2026-07-06T11:00:00Z,2026-07-06T11:30:00Z,historical_display_proxy_observed_at_plus_30m,not_native_exact_vintage,https://envf.ust.hk/dataview/hko_radar/current/index.py?year__int=2026&month__int=7&day__int=6&hour__int=8&npics__int=72&interval__float=0.2&display=Search,https://envf.ust.hk/dataview/hko_radar/current/display_large_image.py?imagef=/tmp/ImgUtil-image_link-1783515803.4598350524902343750000-2944017-33.png&datetime=2026/07/06 19:00,https://envf.ust.hk/dataview/hko_radar/current/inc/display_image.py?imgfile=%2Ftmp%2Fhko_radar-4.0-1783515803.4321839809417724609375-2944017-32.png&resize__int=30&keepit__int=0,/tmp/ImgUtil-image_link-1783515803.4598350524902343750000-2944017-33.png,16
