experiment_folder,file_count,total_bytes,read_pass_count,parse_pass_count,extensions_json
0122_seasonal_phase_boundary_index,50,468917,50,50,"{"".csv"": 21, "".json"": 4, "".md"": 15, "".parquet"": 4, "".py"": 1, "".yaml"": 4, ""[none]"": 1}"
0123_target_station_coherence_atlas,50,1468966,50,50,"{"".csv"": 20, "".json"": 4, "".md"": 15, "".parquet"": 5, "".py"": 1, "".yaml"": 4, ""[none]"": 1}"
0124_spell_termination_spatial_confirmation,49,627046,49,49,"{"".csv"": 21, "".json"": 4, "".md"": 14, "".parquet"": 4, "".py"": 1, "".yaml"": 4, ""[none]"": 1}"
0125_phase_aligned_year_analog_residuals,50,603423,50,50,"{"".csv"": 20, "".json"": 4, "".md"": 15, "".parquet"": 5, "".py"": 1, "".yaml"": 4, ""[none]"": 1}"
0126_thermal_constraint_envelope_breakout,50,1677401,50,50,"{"".csv"": 22, "".json"": 4, "".md"": 14, "".parquet"": 4, "".py"": 1, "".yaml"": 4, ""[none]"": 1}"
0127_station_rank_reversal_motifs,50,544195,50,50,"{"".csv"": 22, "".json"": 4, "".md"": 14, "".parquet"": 4, "".py"": 1, "".yaml"": 4, ""[none]"": 1}"
0128_robust_spatial_interpolation_hko,50,1443751,50,50,"{"".csv"": 22, "".json"": 4, "".md"": 14, "".parquet"": 4, "".py"": 1, "".yaml"": 4, ""[none]"": 1}"
0129_thermal_front_geometry,50,472497,50,50,"{"".csv"": 21, "".json"": 4, "".md"": 15, "".parquet"": 4, "".py"": 1, "".yaml"": 4, ""[none]"": 1}"
0130_dewpoint_front_geometry,50,485289,50,50,"{"".csv"": 22, "".json"": 4, "".md"": 14, "".parquet"": 4, "".py"": 1, "".yaml"": 4, ""[none]"": 1}"
0131_pressure_wave_propagation,50,1493643,50,50,"{"".csv"": 22, "".json"": 4, "".md"": 14, "".parquet"": 4, "".py"": 1, "".yaml"": 4, ""[none]"": 1}"
