cutoff,model_id,model_family,scope,n,mae,rmse,median_abs_error,bias,p80_abs_error,p90_abs_error,p95_abs_error,max_abs_error,first_date,last_date
23:59,M4_analog_residual,analog,official_rows_only,4747,0.921609014338588,1.1831680264312898,0.7376937172106963,-0.03483060388574233,1.4789308217770651,1.962073373323128,2.40810641898608,4.402661223799544,2011-01-01,2023-12-31
23:59,M1_huber_residual,residual_ml,official_rows_only,4747,0.9218677178518591,1.183371254031539,0.7390291992020543,-0.03852181776631542,1.4828884348789764,1.9742618204537936,2.4085546667166833,4.435189167117883,2011-01-01,2023-12-31
23:59,M3_empirical_bayes_residual,residual_shrinkage,official_rows_only,4747,0.92224243628292,1.1834682269857113,0.7349735640100903,0.015200387591520358,1.4827472769422365,1.9614511906861247,2.3944642064484083,4.413344060367432,2011-01-01,2023-12-31
23:59,M8_constrained_nonnegative_stack,stack,official_rows_only,4747,0.9281406615506101,1.1907656009269159,0.7377577734123193,-0.017041173976655385,1.4882950967958564,1.9738877016119056,2.429346618961087,4.298346788216367,2011-01-01,2023-12-31
23:59,M2_elasticnet_residual,residual_ml,official_rows_only,4747,0.9366032636015762,1.2016959752589356,0.7583538340534233,0.0016889972683686466,1.5064012632035872,1.983816599013983,2.469501649767611,4.433244907292551,2011-01-01,2023-12-31
23:59,M6_lgbm_huber_residual,residual_ml,official_rows_only,4747,0.9376335520046852,1.2028202486298558,0.7538246432605078,-0.03565399641068464,1.5010875524182563,1.978340668910927,2.460175732661286,4.464371018477401,2011-01-01,2023-12-31
23:59,M5_lgbm_l1_residual,residual_ml,official_rows_only,4747,0.940085395817111,1.2059057076823632,0.7555346025997309,-0.03739499341414273,1.5049080918945885,1.9862259690382944,2.4693867353778134,4.498581242588351,2011-01-01,2023-12-31
23:59,M7_high_tail_specialist,residual_ml_tail,official_rows_only,4747,0.9430140038520719,1.209707380209558,0.7600371966092041,-0.016234260319556684,1.5129239015267517,1.9972447492482772,2.4827898273003863,4.498581242588351,2011-01-01,2023-12-31
21:00,M3_empirical_bayes_residual,residual_shrinkage,official_rows_only,4321,0.9509652611504207,1.2138336313058133,0.7642511847232996,0.006799844282999897,1.532437286246811,2.0320865033035176,2.44800683036377,4.4134007914996225,2011-01-01,2023-12-31
21:00,M4_analog_residual,analog,official_rows_only,4321,0.9515389249570207,1.2144581800298266,0.7673425766591819,-0.04195565482047104,1.5303256171731476,2.0314167444912314,2.4550417541371665,4.404962344504327,2011-01-01,2023-12-31
21:00,M1_huber_residual,residual_ml,official_rows_only,4321,0.9515776032835225,1.2141962656801586,0.7720607380012936,-0.04753689301993578,1.521723160290719,2.016473053748779,2.437872573711239,4.435848166298392,2011-01-01,2023-12-31
21:00,M8_constrained_nonnegative_stack,stack,official_rows_only,4321,0.9572806701214537,1.2218391555639105,0.7687896441095141,-0.02611997840229962,1.535074398683303,2.0230832475996543,2.470390972194526,4.412755193101873,2011-01-01,2023-12-31
