forecast_max_bin,scope,n,mae,rmse,median_abs_error,bias,p80_abs_error,p90_abs_error,p95_abs_error,max_abs_error,first_date,last_date
31_33,forecast_bin,929,0.732512537311211,0.9456811998575576,0.6199688120280911,-0.04921498626659279,1.15998587158159,1.546652016122009,1.9414538867587694,3.4517082026365173,2011-05-10,2023-10-06
33_35,forecast_bin,140,0.7862215739840819,0.9736334225489062,0.6698327052144357,0.14233916465707308,1.2551372729371693,1.5062416642147634,1.736822173741544,2.8448627270628286,2011-06-10,2023-10-05
le_18,forecast_bin,457,0.9052315035372025,1.1603472328800497,0.7554217445192428,-0.0649353492947888,1.393188801257383,1.835857595916299,2.411074504629792,4.074505717064209,2011-01-01,2023-12-25
gt_35,forecast_bin,5,0.9205179146249052,1.0275935624519035,0.9036232939070317,0.9205179146249052,1.2840994089821138,1.4450516391322694,1.525527754207347,1.606003869282425,2022-07-23,2023-07-15
18_22,forecast_bin,810,0.9535430381342195,1.2208390147082004,0.7463969999112212,0.04114852850637575,1.567396694713824,2.0194196730412552,2.4533352286244043,3.6595693509277183,2011-02-03,2023-12-30
26_29,forecast_bin,841,0.9552247754962411,1.2299047668984453,0.7635302712804481,0.006480017838036007,1.5121915594762463,2.0549190232735555,2.5083333000286743,4.403362920320813,2011-04-03,2023-12-12
29_31,forecast_bin,714,0.9838023909668859,1.2429635736501201,0.8117759939279026,0.056436069778010974,1.5666304295755507,2.1012613010252212,2.420464680988038,3.5301374780427004,2011-04-11,2023-11-06
22_26,forecast_bin,851,1.0433010284249304,1.3156847192316006,0.8346024549836528,0.037720666632875995,1.7093134485960526,2.2148298196699585,2.5953437813988387,4.210578384301357,2011-02-09,2023-12-31
