revision_bin,scope,n,mae,rmse,median_abs_error,bias,p80_abs_error,p90_abs_error,p95_abs_error,max_abs_error,first_date,last_date
none,revision,4536,0.9180767264045406,1.1779777588058271,0.7350397946132787,0.005890030349639966,1.4748962235317293,1.9558923598656293,2.37949615652082,4.403362920320813,2011-01-01,2023-12-31
large,revision,208,0.9939815080752464,1.2797923337757025,0.7831758266200257,0.14360583330721147,1.6484977450454041,2.2916782323304807,2.5870941883906844,3.78279319561884,2011-01-06,2023-12-21
small,revision,1,1.1378955490050657,1.1378955490050657,1.1378955490050657,1.1378955490050657,1.1378955490050657,1.1378955490050657,1.1378955490050657,1.1378955490050657,2012-06-09,2012-06-09
medium,revision,2,1.292226715444798,1.3169185109984312,1.292226715444798,1.292226715444798,1.444518583186929,1.4952825391009725,1.5206645170579942,1.5460464950150161,2011-04-11,2011-05-08
