target_heat_bin,scope,n,mae,rmse,median_abs_error,bias,p80_abs_error,p90_abs_error,p95_abs_error,max_abs_error,first_date,last_date
32_34,high_temp,746,0.7384509964620076,0.9641653829749045,0.6150393543712944,-0.4333185680624695,1.135542484063869,1.6128459401627886,1.9582055243467238,4.403362920320813,2011-05-10,2023-10-06
30_32,high_temp,714,0.8050373915859766,1.0415557154395214,0.6452293998860998,-0.09034242592045438,1.3209047737138881,1.6799473904759517,2.0824250806958475,3.7809877446797415,2011-05-03,2023-11-06
28_30,high_temp,646,0.913889078300135,1.1568359606309127,0.7676890385539554,0.15678872487183673,1.4298524954092215,1.929739320295642,2.295412550491923,3.84275015214266,2011-04-08,2023-12-12
lt25,high_temp,1769,0.9755774464854388,1.2431012830017518,0.7841763191687043,0.22393363075363662,1.5747082333268767,2.0970458798920926,2.511017664681684,4.074505717064209,2011-01-01,2023-12-30
25_28,high_temp,738,1.0579743888608084,1.3442304002171361,0.8353507182900923,0.11602322808662364,1.7272119944994102,2.281269869945247,2.683598783233713,4.210578384301357,2011-02-28,2023-12-31
ge34,high_temp,134,1.1360555692805328,1.3382362876426335,1.1440872581150394,-1.007310205542908,1.6415438424733864,2.018476647121789,2.3424447363382273,3.4621388822017636,2011-06-09,2023-10-05
