source,member,issued_at_utc,valid_at_utc,lead_hour,latitude,longitude,variable,canonical_variable,friendly_name,grib_short_name,grib_name,grib_type_of_level,grib_level,grib_step_type,native_units,value_native,normalized_units,value_normalized
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,22.5,114.5,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,-0.563922107219696,m_s-1,-0.563922107219696
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,22.5,114.75,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,-0.363922119140625,m_s-1,-0.363922119140625
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,22.5,115.0,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,0.23607787489891052,m_s-1,0.23607787489891052
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,22.5,115.25,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,0.7360779047012329,m_s-1,0.7360779047012329
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,22.5,115.5,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,0.5360778570175171,m_s-1,0.5360778570175171
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,22.25,113.0,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,-0.7639220952987671,m_s-1,-0.7639220952987671
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,22.25,113.25,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,-0.4639221131801605,m_s-1,-0.4639221131801605
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,22.25,113.5,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,-0.16392211616039276,m_s-1,-0.16392211616039276
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,22.25,113.75,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,-0.2639221251010895,m_s-1,-0.2639221251010895
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,22.25,114.0,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,-0.863922119140625,m_s-1,-0.863922119140625
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,22.25,114.25,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,-0.16392211616039276,m_s-1,-0.16392211616039276
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,22.25,114.5,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,-0.16392211616039276,m_s-1,-0.16392211616039276
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,22.25,114.75,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,-0.2639221251010895,m_s-1,-0.2639221251010895
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,22.25,115.0,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,0.03607787936925888,m_s-1,0.03607787936925888
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,22.25,115.25,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,0.5360778570175171,m_s-1,0.5360778570175171
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,22.25,115.5,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,0.636077880859375,m_s-1,0.636077880859375
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,22.0,113.0,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,-0.16392211616039276,m_s-1,-0.16392211616039276
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,22.0,113.25,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,0.33607786893844604,m_s-1,0.33607786893844604
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,22.0,113.5,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,0.33607786893844604,m_s-1,0.33607786893844604
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,22.0,113.75,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,0.43607789278030396,m_s-1,0.43607789278030396
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,22.0,114.0,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,0.7360779047012329,m_s-1,0.7360779047012329
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,22.0,114.25,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,0.23607787489891052,m_s-1,0.23607787489891052
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,22.0,114.5,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,-0.363922119140625,m_s-1,-0.363922119140625
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,22.0,114.75,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,-0.2639221251010895,m_s-1,-0.2639221251010895
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,22.0,115.0,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,0.23607787489891052,m_s-1,0.23607787489891052
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,22.0,115.25,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,0.636077880859375,m_s-1,0.636077880859375
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,22.0,115.5,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,0.936077892780304,m_s-1,0.936077892780304
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,21.75,113.0,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,-0.563922107219696,m_s-1,-0.563922107219696
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,21.75,113.25,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,0.23607787489891052,m_s-1,0.23607787489891052
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,21.75,113.5,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,0.636077880859375,m_s-1,0.636077880859375
