cutoff_profile,model_id,month,n_scored,mae,rmse,median_absolute_error,bias,p80_absolute_error,p90_absolute_error,p95_absolute_error,max_absolute_error,mean_prediction,mean_actual,mean_anchor_forecast,scope
tminus1_2359,A0_raw_official,1,496,0.8923387096774194,1.1658618575833681,0.6999999999999993,-0.23185483870967746,1.3999999999999986,1.8000000000000007,2.1999999999999993,8.6,19.046370967741936,19.278225806451612,19.046370967741936,by_month
tminus1_2359,A0_raw_official,2,452,1.0712389380530976,1.3415748241710401,0.8999999999999986,-0.270353982300885,1.6000000000000014,2.1999999999999993,2.8000000000000007,3.8000000000000007,20.057522123893804,20.32787610619469,20.057522123893804,by_month
tminus1_2359,A0_raw_official,3,496,1.1477822580645163,1.4514522760591957,0.8999999999999986,-0.18125000000000002,1.8999999999999986,2.3999999999999986,2.8999999999999986,4.399999999999999,22.846774193548388,23.02802419354839,22.846774193548388,by_month
tminus1_2359,A0_raw_official,4,480,1.1714583333333333,1.4455030842812708,1.1000000000000014,-0.09812499999999993,1.8999999999999986,2.3000000000000007,2.8000000000000007,4.199999999999999,26.385416666666668,26.483541666666667,26.385416666666668,by_month
tminus1_2359,A0_raw_official,5,496,1.061693548387097,1.356941532484228,0.8999999999999986,0.04354838709677426,1.6999999999999993,2.3999999999999986,2.8000000000000007,4.5,29.330645161290324,29.28709677419355,29.330645161290324,by_month
tminus1_2359,A0_raw_official,6,450,0.8200000000000003,1.033376343190934,0.6999999999999993,-0.03377777777777778,1.3999999999999986,1.6999999999999993,2.054999999999996,3.3000000000000007,31.42,31.45377777777778,31.42,by_month
tminus1_2359,A0_raw_official,7,465,0.8576344086021505,1.1074915956379092,0.7000000000000028,-0.13419354838709677,1.2999999999999978,1.7999999999999994,2.299999999999997,3.700000000000003,32.08817204301075,32.22236559139785,32.08817204301075,by_month
tminus1_2359,A0_raw_official,8,465,0.8969892473118282,1.1433491644410108,0.7000000000000028,-0.0819354838709676,1.3999999999999986,1.8999999999999986,2.200000000000003,3.6000000000000014,31.761290322580646,31.843225806451613,31.761290322580646,by_month
tminus1_2359,A0_raw_official,9,450,0.92,1.1825584317252338,0.7000000000000028,-0.09555555555555549,1.5,2.0,2.3999999999999986,3.8999999999999986,31.362222222222222,31.45777777777778,31.362222222222222,by_month
tminus1_2359,A0_raw_official,10,465,0.7666666666666667,0.9762667536045405,0.6000000000000014,-0.1378494623655913,1.2,1.6000000000000014,1.8999999999999986,3.3999999999999986,28.729032258064517,28.866881720430108,28.729032258064517,by_month
tminus1_2359,A0_raw_official,11,449,0.7781737193763919,1.0111626420321438,0.6000000000000014,-0.07216035634743877,1.1999999999999993,1.6999999999999993,2.0599999999999974,4.300000000000001,25.053452115812917,25.125612472160356,25.053452115812917,by_month
tminus1_2359,A0_raw_official,12,465,0.7526881720430108,0.9382665325063584,0.6000000000000014,-0.1810752688172043,1.1999999999999993,1.5,1.8000000000000007,3.0,20.31827956989247,20.499354838709678,20.31827956989247,by_month
tminus1_2359,A1_grouped_residual,1,496,0.8748022995891702,1.1416948396125184,0.7294711096261164,-0.00782108148292089,1.3848110415248236,1.7395592218594782,2.1553250697265005,8.83378546930714,19.270404724968692,19.278225806451612,19.046370967741936,by_month
tminus1_2359,A1_grouped_residual,2,452,1.0596820613777116,1.3143300288572861,0.8768506099561941,-0.017805212591412732,1.7059952675285193,2.188106682187446,2.5720760282568467,3.8682262465380592,20.310070893603278,20.32787610619469,20.057522123893804,by_month
tminus1_2359,A1_grouped_residual,3,496,1.140034493168636,1.440998862688281,0.9037228557575734,0.011959188261099749,1.8815220545562923,2.3851971136437413,2.88155466950377,4.202729636352608,23.03998338180949,23.02802419354839,22.846774193548388,by_month
tminus1_2359,A1_grouped_residual,4,480,1.1671096769324154,1.4403310767425508,1.036074604372173,0.05640905525079116,1.9070584585001793,2.2849536585685044,2.721417403575509,4.001792636704366,26.53995072191746,26.483541666666667,26.385416666666668,by_month
tminus1_2359,A1_grouped_residual,5,496,1.0692287888377223,1.3630608199071408,0.829931522613716,0.1301768299126402,1.7055441991308875,2.3750723678984453,2.7596388543151216,4.438538435245153,29.41727360410619,29.28709677419355,29.330645161290324,by_month
tminus1_2359,A1_grouped_residual,6,450,0.8207742825935177,1.033392565420232,0.6697623128460677,0.0027319422318602686,1.3579888485288933,1.6731772628626527,2.0423865071570075,3.341356276619379,31.456509720009638,31.45377777777778,31.42,by_month
tminus1_2359,A1_grouped_residual,7,465,0.8524030656662592,1.1010172964583678,0.6975729421753769,-0.0465578924518484,1.301332496134576,1.8245902259807438,2.29835219947895,3.6242968712700154,32.175807698946,32.22236559139785,32.08817204301075,by_month
tminus1_2359,A1_grouped_residual,8,465,0.895125843393805,1.1402209853109635,0.7427927513850321,-0.032253321554605086,1.4400604516958624,1.8510480502143567,2.209607964874063,3.5378557951580802,31.810972484897007,31.843225806451613,31.761290322580646,by_month
tminus1_2359,A1_grouped_residual,9,450,0.9191717248546658,1.1781529812735523,0.7344620215094722,-0.02897577596119114,1.5447140155772277,2.017820000186534,2.3620924213218473,3.7336456723424547,31.42880200181659,31.45777777777778,31.362222222222222,by_month
tminus1_2359,A1_grouped_residual,10,465,0.7593043555442494,0.9654444220190719,0.6189074566510548,-0.04202608318837262,1.2172219371575388,1.6031685434949277,1.8831426581105113,3.4874790890235765,28.824855637241736,28.866881720430108,28.729032258064517,by_month
tminus1_2359,A1_grouped_residual,11,449,0.7725632309453878,1.005888413637638,0.6140315830937624,0.08578372665869113,1.2697478687141461,1.6739687990942924,2.062300941181959,4.089805294074129,25.211396198819045,25.125612472160356,25.053452115812917,by_month
tminus1_2359,A1_grouped_residual,12,465,0.7338581895614975,0.9195528667084724,0.6072485485770862,0.06065397483715967,1.1634762831903325,1.4933661819602315,1.759615294944431,2.9781611110213877,20.56000881354684,20.499354838709678,20.31827956989247,by_month
