feature,missing_pct,non_null_count
target_clim_doy_10yr_median_c,0.0,9647
target_clim_doy_30yr_median_c,0.0,9647
target_clim_doy_all_past_median_c,0.0,9647
target_clim_month_10yr_mean_c,0.0,9647
target_clim_month_10yr_std_c,0.0,9647
target_clim_month_30yr_mean_c,0.0,9647
target_cool_spell_16_lag2_days,0.0,9647
target_history_max_source_date,0.0,9647
target_hot_spell_33_lag2_days,0.0,9647
target_lag14_tmax_c,8.99761583912097,8779
target_lag2_minus_doy30_clim_c,9.122006841505131,8767
target_lag2_tmax_c,9.122006841505131,8767
target_lag30_tmax_c,8.831761169275422,8795
target_lag365_tmax_c,5.359179019384264,9130
target_lag3_tmax_c,9.111640924639785,8768
target_lag60_tmax_c,8.52078366331502,8825
target_lag7_tmax_c,9.070177257178399,8772
target_lag_14_missing_flag,0.0,9647
target_lag_2_missing_flag,0.0,9647
target_lag_30_missing_flag,0.0,9647
target_lag_365_missing_flag,0.0,9647
target_lag_3_missing_flag,0.0,9647
target_lag_60_missing_flag,0.0,9647
target_lag_7_missing_flag,0.0,9647
target_modern_warming_signal_c,0.0,9647
target_roll14_max_lag2_c,9.080543174043743,8771
target_roll14_mean_lag2_c,9.080543174043743,8771
target_roll30_anomaly_lag2_c,9.122006841505131,8767
target_roll30_mean_lag2_c,9.018347672851663,8777
target_roll30_minus_doy30_clim_c,9.018347672851663,8777
target_roll365_mean_lag2_c,7.826267233336788,8892
target_roll60_mean_lag2_c,8.914688504198196,8787
target_roll7_max_lag2_c,9.101275007774436,8769
target_roll7_mean_lag2_c,9.101275007774436,8769
target_roll7_minus_roll30_c,9.101275007774436,8769
target_roll_14_insufficient_count_flag,0.0,9647
target_roll_30_insufficient_count_flag,0.0,9647
target_roll_365_insufficient_count_flag,0.0,9647
target_roll_60_insufficient_count_flag,0.0,9647
target_roll_7_insufficient_count_flag,0.0,9647
target_very_hot_spell_34_lag2_days,0.0,9647
