iter	Passed	Remaining
226	14821	17824
227	14894	17768
228	14966	17710
229	15038	17654
230	15110	17595
231	15178	17533
232	15251	17477
233	15330	17426
234	15406	17373
235	15480	17316
236	15555	17261
237	15629	17205
238	15699	17144
239	15769	17083
240	15832	17015
241	15893	16944
242	15955	16874
243	16019	16807
244	16093	16750
245	16165	16690
246	16238	16633
247	16308	16571
248	16373	16504
249	16440	16440
250	16505	16373
251	16571	16308
252	16640	16245
253	16705	16178
254	16771	16113
255	16845	16055
256	16908	15987
257	16975	15922
258	17041	15856
259	17114	15798
260	17186	15737
261	17259	15678
262	17330	15617
263	17402	15556
264	17473	15495
265	17539	15429
266	17608	15365
267	17674	15300
268	17734	15229
269	17797	15160
270	17861	15093
271	17922	15022
272	17985	14954
273	18064	14899
274	18146	14846
275	18224	14790
276	18294	14728
277	18351	14654
278	18411	14583
279	18478	14519
280	18544	14453
281	18610	14386
282	18674	14319
283	18748	14259
284	18820	14197
285	18891	14135
286	18957	14069
287	19022	14002
288	19085	13934
289	19142	13861
290	19206	13794
291	19272	13728
292	19351	13671
293	19423	13609
294	19500	13551
295	19574	13490
296	19657	13435
297	19725	13370
298	19793	13305
299	19865	13243
300	19930	13176
301	19991	13107
302	20058	13041
303	20127	12977
304	20197	12913
305	20261	12845
306	20317	12772
307	20372	12699
308	20431	12629
309	20503	12566
310	20577	12505
311	20650	12443
312	20719	12378
313	20792	12316
314	20866	12254
315	20944	12195
316	21015	12131
317	21075	12062
318	21142	11996
319	21211	11931
320	21281	11867
321	21348	11801
322	21415	11735
323	21481	11669
324	21544	11601
325	21611	11535
326	21670	11464
327	21732	11396
328	21795	11328
329	21858	11260
330	21923	11193
331	21986	11125
332	22047	11056
333	22108	10987
334	22166	10918
335	22229	10849
336	22294	10783
337	22356	10715
338	22419	10647
339	22477	10577
340	22533	10506
341	22592	10437
342	22650	10367
343	22717	10302
344	22775	10232
345	22832	10162
346	22891	10093
347	22960	10028
348	23021	9960
349	23084	9893
350	23147	9826
351	23208	9757
352	23261	9686
353	23314	9615
354	23371	9546
355	23429	9477
356	23491	9409
357	23551	9341
358	23613	9274
359	23676	9207
360	23739	9140
361	23797	9072
362	23854	9002
363	23921	8937
364	23994	8874
365	24061	8809
366	24128	8744
367	24200	8680
368	24280	8619
369	24353	8556
370	24416	8489
371	24484	8424
372	24553	8360
373	24625	8296
374	24689	8229
375	24779	8171
376	24864	8112
377	24938	8048
378	25006	7983
379	25084	7921
380	25154	7856
381	25223	7791
382	25293	7726
383	25376	7665
384	25446	7600
385	25511	7534
386	25579	7469
387	25644	7402
388	25717	7338
389	25799	7276
390	25866	7210
391	25932	7144
392	25999	7078
393	26064	7012
394	26129	6945
395	26188	6877
396	26247	6809
397	26310	6742
398	26378	6677
399	26440	6610
400	26510	6545
401	26575	6478
402	26639	6412
403	26703	6345
404	26768	6279
405	26831	6212
406	26891	6144
407	26953	6077
408	27017	6011
409	27076	5943
410	27135	5876
411	27197	5809
412	27267	5743
413	27333	5678
414	27396	5611
415	27461	5545
416	27529	5479
417	27594	5413
418	27658	5346
419	27726	5281
420	27782	5213
421	27841	5146
422	27896	5078
423	27959	5011
424	28026	4945
425	28083	4878
426	28141	4811
427	28196	4743
428	28254	4676
429	28312	4609
430	28372	4542
431	28435	4475
432	28498	4409
433	28562	4343
434	28622	4276
435	28679	4209
436	28739	4143
437	28793	4075
438	28855	4009
439	28924	3944
440	28998	3879
441	29062	3813
442	29126	3747
443	29188	3681
444	29248	3615
445	29314	3549
446	29383	3483
447	29467	3420
448	29550	3356
449	29634	3292
450	29704	3227
451	29777	3162
452	29846	3096
453	29907	3030
454	29965	2963
455	30027	2897
456	30096	2831
457	30163	2766
458	30227	2700
459	30292	2634
460	30358	2568
461	30418	2501
462	30481	2435
463	30534	2369
464	30593	2302
465	30650	2236
466	30710	2170
467	30769	2103
468	30825	2037
469	30883	1971
470	30943	1905
471	31001	1839
472	31060	1773
473	31121	1707
474	31176	1640
475	31230	1574
476	31291	1508
477	31352	1442
478	31420	1377
479	31484	1311
480	31547	1246
481	31605	1180
482	31665	1114
483	31718	1048
484	31772	982
485	31827	916
486	31885	851
487	31958	785
488	32057	721
489	32141	655
490	32231	590
491	32314	525
492	32389	459
493	32460	394
494	32530	328
495	32640	263
496	32792	197
497	32888	132
498	32959	66
499	33024	0
