iter	RMSE
133	1.813287447
134	1.811982984
135	1.809871611
136	1.808461578
137	1.807796023
138	1.805817674
139	1.805351966
140	1.802106112
141	1.799763474
142	1.796735506
143	1.795159313
144	1.793519046
145	1.792675738
146	1.789206634
147	1.78734862
148	1.786544574
149	1.784391356
150	1.783738414
151	1.783241456
152	1.782568014
153	1.780653387
154	1.778041294
155	1.776339763
156	1.774516373
157	1.772895279
158	1.771946405
159	1.770629009
160	1.768069579
161	1.767145387
162	1.7642635
163	1.762771828
164	1.762246783
165	1.761802552
166	1.761456654
167	1.760653345
168	1.759844961
169	1.759064753
170	1.7580874
171	1.7572741
172	1.756831324
173	1.755210235
174	1.754127232
175	1.753163082
176	1.752517116
177	1.7515338
178	1.750203136
179	1.749757633
180	1.748505661
181	1.74812782
182	1.747391324
183	1.74679556
184	1.745998529
185	1.742017441
186	1.740862769
187	1.737929922
188	1.736594321
189	1.73359489
190	1.732907403
191	1.732106684
192	1.731282431
193	1.727796534
194	1.727186384
195	1.724551827
196	1.723870666
197	1.720221128
198	1.71719614
199	1.714242972
200	1.713816102
201	1.710593205
202	1.709924827
203	1.706112702
204	1.702681226
205	1.702004495
206	1.697290993
207	1.696203145
208	1.695120843
209	1.692821828
210	1.688798072
211	1.685100818
212	1.681902699
213	1.681616959
214	1.681188518
215	1.68048051
216	1.676793054
217	1.676276747
218	1.671848707
219	1.670211675
220	1.669031494
221	1.668006677
222	1.667086139
223	1.664951615
224	1.661309117
225	1.660826654
226	1.65782544
227	1.654603446
228	1.651764329
229	1.651333668
230	1.650879055
231	1.650337594
232	1.649831852
233	1.647511328
234	1.644454616
235	1.641607859
236	1.637214554
237	1.636778469
238	1.635949714
239	1.635417345
240	1.634585582
241	1.633511262
242	1.632862434
243	1.62887378
244	1.627996702
245	1.623801747
246	1.619906156
247	1.617206577
248	1.616480533
249	1.616285316
250	1.615692754
251	1.615107201
252	1.61280017
253	1.611537671
254	1.607442641
255	1.606438244
256	1.601656272
257	1.599829889
258	1.598864889
259	1.59607254
260	1.59223273
261	1.588332974
262	1.584770518
263	1.580820353
264	1.579152645
265	1.578487986
266	1.573669198
267	1.571264324
268	1.570717088
269	1.570294348
270	1.569477794
271	1.56648083
272	1.565477977
273	1.56329188
274	1.562477615
275	1.558518297
276	1.554710817
277	1.55420472
278	1.552237658
279	1.551306019
280	1.549256229
281	1.546830398
282	1.54476572
283	1.544507014
284	1.543648817
285	1.54063687
286	1.538687324
287	1.536751122
288	1.532895854
289	1.531253079
290	1.526723774
291	1.52455272
292	1.522089088
293	1.521542414
294	1.516914017
295	1.514945487
296	1.512724916
297	1.512504483
298	1.510487654
299	1.509685759
300	1.507375491
301	1.505652477
302	1.505016935
303	1.504648978
304	1.50222897
305	1.498352542
306	1.496241929
307	1.495449073
308	1.493811945
309	1.490538828
310	1.489262788
311	1.488220062
312	1.486088348
313	1.482329284
314	1.479015493
315	1.475833106
316	1.472689494
317	1.472154831
318	1.470270322
319	1.466117717
320	1.463364469
321	1.460616327
322	1.457293835
323	1.456728332
324	1.453954151
325	1.452309944
326	1.449652555
327	1.44844808
328	1.444547434
329	1.441848226
330	1.439104167
331	1.434550941
332	1.431887179
333	1.429489342
334	1.428364415
335	1.427020788
336	1.42659788
337	1.424423172
338	1.422244573
339	1.421666315
340	1.421191013
341	1.419407647
342	1.416838868
343	1.415336114
344	1.415009798
345	1.413042173
346	1.411627241
347	1.40742629
348	1.406987803
349	1.404511284
350	1.402290833
351	1.401087066
352	1.400817025
353	1.397774076
354	1.395672797
355	1.391076631
356	1.390759237
357	1.389270058
358	1.386239903
359	1.383891939
360	1.380593136
361	1.380386794
362	1.379575284
363	1.378898355
364	1.375724877
365	1.373797104
366	1.372720829
367	1.372038131
368	1.371716859
369	1.370387362
370	1.367658214
371	1.366017288
372	1.364047584
373	1.3624434
374	1.362019568
375	1.358096477
376	1.357557545
377	1.357305524
378	1.356053749
379	1.354267425
380	1.351739973
381	1.348607676
382	1.346709702
383	1.345456053
384	1.342556002
385	1.340704593
386	1.337700138
387	1.335820621
388	1.334001259
389	1.333619899
390	1.330151835
391	1.327516067
392	1.324515681
393	1.321295782
394	1.319699794
395	1.31736537
396	1.315384753
397	1.314764985
398	1.312979459
399	1.312642065
400	1.309845133
401	1.307166961
402	1.306073832
403	1.304696306
404	1.301386134
405	1.301180563
406	1.298534895
407	1.298219626
408	1.295761672
409	1.295324369
410	1.294150498
411	1.293154192
412	1.292936544
413	1.29009415
414	1.287611183
415	1.286037332
416	1.283668922
417	1.280127629
418	1.278520193
419	1.278018376
420	1.277701938
421	1.27615905
422	1.273830962
423	1.270138692
424	1.267890983
425	1.265738643
426	1.263246796
427	1.26058773
428	1.25974069
429	1.25845863
430	1.257434685
431	1.256514048
432	1.255130846
433	1.253287692
434	1.25179442
435	1.249149851
436	1.248689912
437	1.248094434
438	1.247871698
439	1.24656239
440	1.245818173
441	1.243965202
442	1.241995238
443	1.239411149
444	1.239074516
445	1.235738795
446	1.233012928
447	1.231410718
448	1.230442756
449	1.226731314
450	1.225372292
451	1.223246877
452	1.223031621
453	1.222771408
454	1.22249556
455	1.220964279
456	1.220537701
457	1.217985498
458	1.216957111
459	1.215279058
460	1.214815747
461	1.212086988
462	1.209231276
463	1.209035177
464	1.206731298
465	1.206316854
466	1.204595264
467	1.20318879
468	1.202559686
469	1.201874202
470	1.200165192
471	1.199077356
472	1.198674412
473	1.197019338
474	1.196122329
475	1.19474811
476	1.192679295
477	1.191944729
478	1.189583755
479	1.189257111
480	1.187275659
481	1.18676344
482	1.183612569
483	1.183008756
484	1.179919713
485	1.179584905
486	1.176790627
487	1.174773052
488	1.174166225
489	1.173708398
490	1.17177898
491	1.170741803
492	1.169868701
493	1.16647364
494	1.16569452
495	1.165449592
496	1.164435884
497	1.164134758
498	1.161386434
499	1.160387286
