target_month,method,family,row_count,rps,nll,brier,crps,ece,mce,entropy
7,S1_conservative_simplex_stack,stack,465,0.057677908082911324,1.4226161122889907,0.063541935444857,0.5767790808291133,0.03282616831655615,0.054675574440773866,1.361634326997444
7,K1_B4_power_calibrated,calibration,465,0.057688536507782856,1.4227357888188485,0.06353101339362537,0.5768853650778285,0.04114428226790143,0.11779038495749503,1.3561508942309646
7,B4_hierarchical_residual_pmf,residual_pmf,465,0.05774098999478317,1.4269184227137626,0.06360503253018857,0.5774098999478318,0.037341909433537074,0.07166730601087878,1.3301115117461475
7,K0_B4_identity,calibration,465,0.05774098999478317,1.4269184227137626,0.06360503253018857,0.5774098999478318,0.037341909433537074,0.07166730601087878,1.3301115117461475
7,K2_B4_monotone_cdf_projected,calibration,465,0.05774098999478317,1.4269184227137626,0.06360503253018857,0.5774098999478319,0.037341909433537074,0.07166730601087878,1.3301115117461475
7,T1_time_decay_b4,time_decay_residual_pmf,465,0.0577752136700605,1.430786993203991,0.06395563886746772,0.5777521367006051,0.01720726562457979,0.13818948348384197,1.4134362153983318
7,H1_b4_challenger_linear_pool,hybrid_pool,465,0.05788363377451905,1.4291753779830705,0.06383227957592055,0.5788363377451905,0.022094123154289422,0.07619753184975331,1.3674130904571273
7,B5_kernel_analog_pmf,analog_pmf,465,0.05789838088936204,1.51463907068774,0.0634856624100627,0.5789838088936204,0.04169312036602481,0.09093013541411821,1.3358064775869383
7,B1_global_residual_pmf,residual_pmf,465,0.058135509684558245,1.4521339891121658,0.06477263015565218,0.5813550968455826,0.026293991484223612,0.04225586160934969,1.4614060799280737
7,B2_month_residual_pmf,residual_pmf,465,0.058187305807652905,1.4509040749504871,0.0645528029909494,0.5818730580765291,0.010008934051180177,0.0654009640434764,1.3786682520956386
7,E2_student_t_emos,emos,465,0.05835058645713456,1.4602322973928843,0.06445924847410378,0.5835058645713456,0.005565140970570669,0.20061539896325997,1.464635312735291
7,B3_forecast_level_residual_pmf,residual_pmf,465,0.05849288993853127,1.452437747259988,0.06410618043311757,0.5849288993853128,0.034130809237156216,0.03971614671668444,1.355145583329105
7,P1_normal_mos,mos,465,0.05877102309468102,1.4649794693499965,0.0650611406024973,0.5877102309468102,0.07114074241389726,0.1111676511088322,1.5022069957316158
7,P2_student_t_mos,mos,465,0.05892454472629966,1.4711672464805459,0.0651791115172619,0.5892454472629964,0.06459860449355886,0.07871182972513302,1.558615008813615
7,E1_normal_emos,emos,465,0.0590129923114698,1.5242871923560521,0.06497457343003603,0.5901299231146981,0.03273993224408134,0.06703950637968004,1.2298052534715187
7,C1_multinomial_ridge,direct_classifier,465,0.059480150494059844,1.459484117195399,0.06508109210223344,0.5948015049405985,0.03280380794497031,0.2600199440655657,1.4602266523284035
7,C2_ordinal_cdf_logistic,direct_classifier,465,0.06011777483436514,1.4686183702621545,0.06532229800762816,0.6011777483436515,0.02223136771361339,0.30859849255661564,1.5108790661845555
7,G1_gamlss_tree_location_scale,gamlss_tree,465,0.06053940463560257,1.6956217084200347,0.0670298453076617,0.6053940463560256,0.10860518569881498,0.6132218621466806,1.0459393570524758
7,E3_two_piece_normal_emos,emos,465,0.06067659280410572,1.7445457861804454,0.06712603447303213,0.6067659280410573,0.08028007568748717,0.10746444920374276,1.0351973585774221
7,Q2_threshold_cdf_gb,threshold_cdf,465,0.06904813071401548,1.623319295850689,0.06585427711865806,0.690481307140155,0.03967457418045644,0.3228792451341703,1.7292455358862768
7,B6_month_climatology_diagnostic,diagnostic,465,0.1043503623437336,1.9641996047988648,0.0763146124342093,1.0435036234373358,0.04292615490972344,0.10872663938598992,1.8890633375324117
7,Q1_quantile_cdf_gb,quantile_cdf,465,0.1302954466741534,2.008177579551661,0.07507295095606359,1.3029544667415343,0.1517748380674341,0.35558398179115897,2.19882479297364
7,B0_climatology,baseline,465,0.32187336512316045,2.9720170799329675,0.09827666197281903,3.2187336512316045,0.39798556860093026,0.40366121990256193,2.0074944308086904
