high_bucket_group,method,family,row_count,rps,nll,brier,crps,ece,mce,entropy
31,E1_normal_emos,emos,410,0.05347531276266389,1.4086732207184944,0.0649338866479152,0.5347531276266388,0.00928469299565988,0.14726801825984115,1.2821114935799072
31,E2_student_t_emos,emos,410,0.0534910353775117,1.439134970675167,0.06494243183301736,0.534910353775117,0.04692094297432214,0.04729540496202855,1.5537189916448253
31,C2_ordinal_cdf_logistic,direct_classifier,410,0.05410450946985636,1.5330024990713178,0.06917584542570165,0.5410450946985635,0.1948896103131761,0.5003156039185691,1.6453777005659909
31,P1_normal_mos,mos,410,0.05451176832619475,1.4610853931958983,0.06619750654633869,0.5451176832619475,0.11442138484824427,0.45968538212689514,1.6240992608436826
31,E3_two_piece_normal_emos,emos,410,0.05471174574813612,1.5314916235527132,0.06670642216664445,0.5471174574813612,0.057698148418788835,0.12572950561066465,1.069508138412004
31,P2_student_t_mos,mos,410,0.054935177484167576,1.4839856783645076,0.06647593163126747,0.5493517748416757,0.13409848471170294,0.4605276285618882,1.689613555513018
31,B2_month_residual_pmf,residual_pmf,410,0.055724101176895684,1.4701227355972577,0.06663994203033165,0.5572410117689568,0.04579298865592785,0.5358329622132757,1.5546847485726079
31,B1_global_residual_pmf,residual_pmf,410,0.055934940740041794,1.4780983161850416,0.06684582645767267,0.5593494074004179,0.031133792761773582,0.559859358874783,1.6061299583691342
31,H1_b4_challenger_linear_pool,hybrid_pool,410,0.05596452599847858,1.4844214322759965,0.06771055803819755,0.5596452599847856,0.14502558265888363,0.5270089205546408,1.5182865286960932
31,T1_time_decay_b4,time_decay_residual_pmf,410,0.05618986391583078,1.4816193592128262,0.06747648669966733,0.5618986391583077,0.10739927848231928,0.5646463344951171,1.5636564180946393
31,C1_multinomial_ridge,direct_classifier,410,0.05654014235584769,1.534701286880616,0.0700341737299186,0.565401423558477,0.21898181390537064,0.42147138790642835,1.6017033726465304
31,S1_conservative_simplex_stack,stack,410,0.0567127195522232,1.5031009218935671,0.06868073796080638,0.567127195522232,0.18487837589887568,0.5187998989642352,1.5214324075631576
31,G1_gamlss_tree_location_scale,gamlss_tree,410,0.05673590356127573,1.5099455735411234,0.06758950490189795,0.5673590356127574,0.18643762596281194,0.31147903227183826,1.1349869755871471
31,K1_B4_power_calibrated,calibration,410,0.05689583303570693,1.5070251677277529,0.06878393429091059,0.5689583303570693,0.17371200294727704,0.5142214292007261,1.5212420723176732
31,B4_hierarchical_residual_pmf,residual_pmf,410,0.05698943935905863,1.5069248641214077,0.06892588858416987,0.5698943935905864,0.17844545344658969,0.5255335852361138,1.4963158194937904
31,K0_B4_identity,calibration,410,0.05698943935905863,1.5069248641214077,0.06892588858416987,0.5698943935905864,0.17844545344658969,0.5255335852361138,1.4963158194937904
31,K2_B4_monotone_cdf_projected,calibration,410,0.05698943935905863,1.5069248641214077,0.06892588858416987,0.5698943935905864,0.17844545344658969,0.5255335852361137,1.4963158194937904
31,B3_forecast_level_residual_pmf,residual_pmf,410,0.058055400648707275,1.546735824046422,0.07056441786196978,0.5805540064870728,0.2953950142800259,0.41733227357827013,1.4825288389998217
31,B5_kernel_analog_pmf,analog_pmf,410,0.058273430695971434,1.5626710936390102,0.0703305233717832,0.5827343069597143,0.19839095320039668,0.371492763773333,1.4633527339203503
31,Q2_threshold_cdf_gb,threshold_cdf,410,0.0632691700453732,1.6544852258113296,0.07024865344786985,0.6326917004537322,0.20272516178600364,0.28225243399423827,1.7493427365782486
31,B6_month_climatology_diagnostic,diagnostic,410,0.09350347817092813,2.029983910695905,0.077248411719336,0.9350347817092812,0.2069887590500244,0.7468269424484589,2.019231526439448
31,Q1_quantile_cdf_gb,quantile_cdf,410,0.09386481948541224,1.8629400550490198,0.0733408506865292,0.9386481948541227,0.056196191133269825,0.30975977737786264,2.1467117472467505
31,B0_climatology,baseline,410,0.24751124022969448,2.6082825070804767,0.09571358742800039,2.4751124022969444,0.3987114067800956,0.40354264526798783,2.0052472009271973
32,C2_ordinal_cdf_logistic,direct_classifier,533,0.0444644058831021,1.1918461722789586,0.0535379717781947,0.444644058831021,0.336551143067293,0.4975765498214824,1.5501488192663055
32,C1_multinomial_ridge,direct_classifier,533,0.044576579259194275,1.1905092110219448,0.053508375479271696,0.4457657925919427,0.4098981835371994,0.6764996985475181,1.5129375486200565
32,B3_forecast_level_residual_pmf,residual_pmf,533,0.04560542116857514,1.1794349406591242,0.05391516439818075,0.45605421168575133,0.35703486312243676,0.8373405311112966,1.3834675821843012
32,B5_kernel_analog_pmf,analog_pmf,533,0.046152855775386664,1.2050736127424446,0.054153234497770784,0.46152855775386675,0.3554306358438521,0.836212334050247,1.3527750558502343
32,S1_conservative_simplex_stack,stack,533,0.04793398929952903,1.2678714384269736,0.0579320158763707,0.4793398929952903,0.3021578044084969,0.863605058390525,1.4426095313033367
32,B4_hierarchical_residual_pmf,residual_pmf,533,0.048022362527449375,1.2661476464209442,0.05773494707679417,0.4802236252744938,0.26585437323355815,0.8736737388830594,1.4153973966269966
32,K0_B4_identity,calibration,533,0.048022362527449375,1.2661476464209442,0.05773494707679417,0.4802236252744938,0.26585437323355815,0.8736737388830594,1.4153973966269966
32,K2_B4_monotone_cdf_projected,calibration,533,0.04802236252744938,1.266147646420944,0.05773494707679417,0.48022362527449386,0.2658543732335582,0.8736737388830593,1.4153973966269966
32,K1_B4_power_calibrated,calibration,533,0.048197103480671875,1.2742179545391144,0.05814550011139385,0.4819710348067188,0.26619061695857615,0.8591037395603959,1.4394175074921955
32,G1_gamlss_tree_location_scale,gamlss_tree,533,0.04832320517396493,1.364378935341257,0.05960277951443634,0.48323205173964934,0.037142644827471184,0.943701145701564,1.0805370236935028
32,H1_b4_challenger_linear_pool,hybrid_pool,533,0.048324079506078595,1.2951298586735809,0.05935692394642915,0.483240795060786,0.23774055745531508,0.8668979488416121,1.442897355611008
32,E1_normal_emos,emos,533,0.04845038004192015,1.364288015150764,0.060955662202423974,0.4845038004192015,0.09857099193029321,0.8873315160120819,1.2576498269531489
32,T1_time_decay_b4,time_decay_residual_pmf,533,0.04855781168417955,1.3386001099827276,0.06152353335527519,0.4855781168417955,0.20859981403784336,0.8601221588001648,1.4952992724042153
