revision_direction,method,family,row_count,rps,nll,brier,crps,ece,mce,entropy
down,B5_kernel_analog_pmf,analog_pmf,94,0.037643864910255585,0.9433640196193999,0.04203837461891571,0.37643864910255587,0.08006829874402902,0.7207052057438249,0.9357553596049504
down,B2_month_residual_pmf,residual_pmf,94,0.03770201355287198,0.9389134767517667,0.04243133594028234,0.37702013552871977,0.0847984810501856,0.36700940078646815,0.9246782653100689
down,C2_ordinal_cdf_logistic,direct_classifier,94,0.037842911524672763,0.9487958355964106,0.042434930782339425,0.3784291152467277,0.05820038767515499,0.2706443407688903,0.9670379173342815
down,B3_forecast_level_residual_pmf,residual_pmf,94,0.037856735379169254,0.9456218700402034,0.04190242422619698,0.3785673537916925,0.08293446042028892,0.1832293614730338,0.9178727940945648
down,S1_conservative_simplex_stack,stack,94,0.03789432437260877,0.950697353143349,0.04259569445828167,0.3789432437260878,0.08715794228547093,0.5149907180441529,0.9326365317580863
down,T1_time_decay_b4,time_decay_residual_pmf,94,0.03790707767101918,0.9489025307389178,0.042361117972866805,0.3790707767101918,0.0871595465265427,0.3965529385095172,0.92336222380302
down,K2_B4_monotone_cdf_projected,calibration,94,0.03792087712149516,0.95453094170913,0.04272833901122995,0.3792087712149516,0.09760235349874623,0.515918929738332,0.9217850345390041
down,B4_hierarchical_residual_pmf,residual_pmf,94,0.03792087712149517,0.95453094170913,0.042728339011229965,0.3792087712149516,0.09760235349874617,0.5159189297383319,0.9217850345390027
down,K0_B4_identity,calibration,94,0.03792087712149517,0.95453094170913,0.042728339011229965,0.3792087712149516,0.09760235349874617,0.5159189297383319,0.9217850345390027
down,K1_B4_power_calibrated,calibration,94,0.037984823210605596,0.9533003438834943,0.04264620856486074,0.37984823210605606,0.07683441137467248,0.5056545655503027,0.9378992809648607
down,H1_b4_challenger_linear_pool,hybrid_pool,94,0.03800476887565047,0.9500579801098334,0.042432406501371145,0.38004768875650463,0.07518531879910606,0.3675172835051539,0.9331996346417558
down,C1_multinomial_ridge,direct_classifier,94,0.03826233869763177,0.9660112002605011,0.04315410532014653,0.38262338697631776,0.07990673677017539,0.6260480771768357,0.9274160047586401
down,B1_global_residual_pmf,residual_pmf,94,0.03829300637461253,0.9428034747569711,0.04236488787097313,0.3829300637461253,0.08479349235694734,0.16725491789688518,0.9236005340363007
down,P1_normal_mos,mos,94,0.0394110936386897,0.9602952279010767,0.04284239863532581,0.394110936386897,0.09944555831766479,0.16389217429891456,0.9340248273830091
down,P2_student_t_mos,mos,94,0.039431395495109316,0.9605011953075137,0.04282036070759495,0.39431395495109295,0.07762283822056812,0.2128280161427673,0.9769290773151071
down,E2_student_t_emos,emos,94,0.039743041072486954,0.9744445744256871,0.04323387212873181,0.39743041072486956,0.09521728411045939,0.20906392496237342,0.9875378967818879
down,G1_gamlss_tree_location_scale,gamlss_tree,94,0.039793161526268515,1.0658369929261216,0.043933554832504024,0.3979316152626852,0.15188526779757244,0.2650722267550218,0.7253505024254707
down,E1_normal_emos,emos,94,0.04013821368116387,1.0000417626019638,0.04378496542308682,0.40138213681163887,0.14032346561646813,0.28412554455156713,0.8149237279860007
down,E3_two_piece_normal_emos,emos,94,0.04150723448536228,1.1346086185689805,0.04566940152255308,0.41507234485362293,0.12061646829356265,0.4194850930468867,0.6928101270258522
down,Q2_threshold_cdf_gb,threshold_cdf,94,0.04158467050274374,1.0507518932416513,0.04252927506691344,0.4158467050274373,0.08637879274556712,0.16817545762445213,1.2812902098280388
down,Q1_quantile_cdf_gb,quantile_cdf,94,0.048249605493336435,1.1072075994014179,0.04439542327948932,0.48249605493336434,0.17847300994926915,0.6916941784728718,1.4992211020783768
down,B6_month_climatology_diagnostic,diagnostic,94,0.07888299166600411,1.3704774072004993,0.05076985475479004,0.788829916660041,0.09883190506624086,0.5530111763554307,1.3750644089826365
down,B0_climatology,baseline,94,0.14666299406648142,1.890573769799529,0.06837525522832429,1.4666299406648138,0.08048590273930868,0.0829218582092735,2.0066419821270336
flat,B5_kernel_analog_pmf,analog_pmf,5388,0.041817251358827155,1.0813823448400182,0.046188364307317854,0.4181725135882716,0.016352540540294072,0.10095217356413433,1.0024636031106684
flat,S1_conservative_simplex_stack,stack,5388,0.04200740071033766,1.0418648536576287,0.04627869599989681,0.42007400710337667,0.0191482623168645,0.05640704536990648,1.0348197517906355
flat,H1_b4_challenger_linear_pool,hybrid_pool,5388,0.042016246835892675,1.0429336122454238,0.046283522939193966,0.42016246835892673,0.01572958538522682,0.07038197266088819,1.0219086058530091
flat,K1_B4_power_calibrated,calibration,5388,0.042054828972447486,1.0451694175556745,0.04630924991009931,0.420548289724475,0.016956150555300205,0.06808719763134635,1.0382118858718583
flat,B4_hierarchical_residual_pmf,residual_pmf,5388,0.04205512619052719,1.0460617928179219,0.04633179917738986,0.4205512619052719,0.020789096251618767,0.04939217112742572,1.018022781432867
flat,K0_B4_identity,calibration,5388,0.04205512619052719,1.0460617928179219,0.04633179917738986,0.4205512619052719,0.020789096251618767,0.04939217112742572,1.018022781432867
