validation_split,base_method,weight,stack
fold2__t_minus_1_1800_hkt,B2_month_residual_pmf,0.025898996359242157,S1_conservative_simplex_stack
fold2__t_minus_1_1800_hkt,B3_forecast_level_residual_pmf,0.03268637842498219,S1_conservative_simplex_stack
fold2__t_minus_1_1800_hkt,B4_hierarchical_residual_pmf,0.85,S1_conservative_simplex_stack
fold2__t_minus_1_1800_hkt,P1_normal_mos,0.02590880621352007,S1_conservative_simplex_stack
fold2__t_minus_1_1800_hkt,C1_multinomial_ridge,0.034356461040348375,S1_conservative_simplex_stack
fold2__t_minus_1_1800_hkt,B4_hierarchical_residual_pmf,0.95,H1_b4_challenger_linear_pool
fold2__t_minus_1_1800_hkt,Q2_threshold_cdf_gb,0.05,H1_b4_challenger_linear_pool
fold3__t_minus_1_1800_hkt,B0_climatology,0.0,S1_conservative_simplex_stack
fold3__t_minus_1_1800_hkt,B1_global_residual_pmf,0.03797876677164689,S1_conservative_simplex_stack
fold3__t_minus_1_1800_hkt,B2_month_residual_pmf,0.023418752495637535,S1_conservative_simplex_stack
fold3__t_minus_1_1800_hkt,B3_forecast_level_residual_pmf,0.03797228541849502,S1_conservative_simplex_stack
fold3__t_minus_1_1800_hkt,B4_hierarchical_residual_pmf,0.85,S1_conservative_simplex_stack
fold3__t_minus_1_1800_hkt,P1_normal_mos,0.03215154370242826,S1_conservative_simplex_stack
fold3__t_minus_1_1800_hkt,C1_multinomial_ridge,0.018478651611792272,S1_conservative_simplex_stack
fold3__t_minus_1_1800_hkt,B4_hierarchical_residual_pmf,0.5,H1_b4_challenger_linear_pool
fold3__t_minus_1_1800_hkt,T1_time_decay_b4,0.5,H1_b4_challenger_linear_pool
fold4__t_minus_1_1800_hkt,B0_climatology,0.0,S1_conservative_simplex_stack
fold4__t_minus_1_1800_hkt,B1_global_residual_pmf,0.03618483588021011,S1_conservative_simplex_stack
fold4__t_minus_1_1800_hkt,B2_month_residual_pmf,0.02280464985857447,S1_conservative_simplex_stack
fold4__t_minus_1_1800_hkt,B3_forecast_level_residual_pmf,0.03198123144798288,S1_conservative_simplex_stack
fold4__t_minus_1_1800_hkt,B4_hierarchical_residual_pmf,0.85,S1_conservative_simplex_stack
fold4__t_minus_1_1800_hkt,P1_normal_mos,0.03199830328935501,S1_conservative_simplex_stack
fold4__t_minus_1_1800_hkt,C1_multinomial_ridge,0.02703097952387761,S1_conservative_simplex_stack
fold4__t_minus_1_1800_hkt,B4_hierarchical_residual_pmf,0.65,H1_b4_challenger_linear_pool
fold4__t_minus_1_1800_hkt,E1_normal_emos,0.35,H1_b4_challenger_linear_pool
presealed_2022_2023__t_minus_1_1800_hkt,B0_climatology,0.0,S1_conservative_simplex_stack
presealed_2022_2023__t_minus_1_1800_hkt,B1_global_residual_pmf,0.036567234638247556,S1_conservative_simplex_stack
presealed_2022_2023__t_minus_1_1800_hkt,B2_month_residual_pmf,0.022268552051334878,S1_conservative_simplex_stack
presealed_2022_2023__t_minus_1_1800_hkt,B3_forecast_level_residual_pmf,0.02746497660986984,S1_conservative_simplex_stack
presealed_2022_2023__t_minus_1_1800_hkt,B4_hierarchical_residual_pmf,0.85,S1_conservative_simplex_stack
presealed_2022_2023__t_minus_1_1800_hkt,P1_normal_mos,0.03204716184710861,S1_conservative_simplex_stack
presealed_2022_2023__t_minus_1_1800_hkt,C1_multinomial_ridge,0.03165207485343916,S1_conservative_simplex_stack
presealed_2022_2023__t_minus_1_1800_hkt,B4_hierarchical_residual_pmf,0.5,H1_b4_challenger_linear_pool
presealed_2022_2023__t_minus_1_1800_hkt,T1_time_decay_b4,0.5,H1_b4_challenger_linear_pool
sealed_2024_2026_05__t_minus_1_1800_hkt,B0_climatology,0.0,S1_conservative_simplex_stack
sealed_2024_2026_05__t_minus_1_1800_hkt,B1_global_residual_pmf,0.037078300868307615,S1_conservative_simplex_stack
sealed_2024_2026_05__t_minus_1_1800_hkt,B2_month_residual_pmf,0.027508406908546928,S1_conservative_simplex_stack
sealed_2024_2026_05__t_minus_1_1800_hkt,B3_forecast_level_residual_pmf,0.0256104918461535,S1_conservative_simplex_stack
sealed_2024_2026_05__t_minus_1_1800_hkt,B4_hierarchical_residual_pmf,0.8500000000000002,S1_conservative_simplex_stack
sealed_2024_2026_05__t_minus_1_1800_hkt,P1_normal_mos,0.03147140144663327,S1_conservative_simplex_stack
