variable,canonical_variable,normalized_units,gfs_bbox_mean,gefs_control_bbox_mean,gefs_control_minus_gfs_bbox_mean,gfs_bbox_min,gefs_control_bbox_min,gefs_control_minus_gfs_bbox_min,gfs_bbox_max,gefs_control_bbox_max,gefs_control_minus_gfs_bbox_max,gfs_bbox_std,gefs_control_bbox_std,gefs_control_minus_gfs_bbox_std
d2m,dewpoint_2m,degC,24.39907473169194,24.647718086628018,0.24864335493607825,22.363732910156273,22.388116455078148,0.024383544921875,25.663720703125023,26.088128662109398,0.424407958984375,0.7434980332036162,0.9141878179745466,0.17068978477093044
prmsl,pressure_msl,hPa,1006.0583412247476,1005.6198650568182,-0.43847616792936606,1004.88734375,1004.640234375,-0.24710937500003638,1007.62328125,1006.51828125,-1.1050000000000182,0.5960508209017322,0.45185304851307057,-0.14419777238866166
t2m,temperature_2m,degC,27.617611725161794,28.135734850950936,0.5181231257891419,25.584283447265648,25.869073486328148,0.2847900390625,29.084283447265648,29.669061279296898,0.58477783203125,0.6954388605459995,0.7932791043710999,0.09784024382510048
tmax,temperature_2m_max,degC,27.740956994259015,28.178988739938465,0.43803174567944936,25.533898925781273,25.837579345703148,0.303680419921875,29.133874511718773,29.637567138671898,0.503692626953125,0.7521330072354434,0.8096641000603377,0.057531092824894325
tmin,temperature_2m_min,degC,26.097473514441308,26.80936877318105,0.7118952587397409,22.450006103515648,22.695428466796898,0.24542236328125,28.950006103515648,29.045434570312523,0.095428466796875,1.741668281985456,1.78476231706197,0.04309403507651388
u10,wind_u_10m,m_s-1,-0.6113968615730604,-0.5369892777508181,0.07440758382224233,-3.4639220237731934,-2.601635694503784,0.8622863292694092,1.236077904701233,1.298364281654358,0.062286376953125,1.105116048112067,1.0617607967454967,-0.04335525136657026
v10,wind_v_10m,m_s-1,2.959175367698525,2.876136822193259,-0.08303854550526601,-0.48223876953125,-0.07234802097082138,0.4098907485604286,6.417761325836182,5.927651882171631,-0.4901094436645508,2.148807989813928,1.8377282645664703,-0.31107972524745753
