feature_name,feature_scope,source_family,unit,formula,strict_allowed,proxy_allowed,shadow_allowed
climate__lagged__available_count,proxy,station_and_climate_proxy,mixed,diagnostic proxy-only station/climate features excluded from strict scope,False,True,False
climate__lagged__last_tmax_c,proxy,station_and_climate_proxy,mixed,diagnostic proxy-only station/climate features excluded from strict scope,False,True,False
climate__lagged__roll30_mean_c,proxy,station_and_climate_proxy,mixed,diagnostic proxy-only station/climate features excluded from strict scope,False,True,False
climate__lagged__roll7_mean_c,proxy,station_and_climate_proxy,mixed,diagnostic proxy-only station/climate features excluded from strict scope,False,True,False
station__network__available_count,proxy,station_and_climate_proxy,mixed,diagnostic proxy-only station/climate features excluded from strict scope,False,True,False
station__network__tmax_max_c,proxy,station_and_climate_proxy,mixed,diagnostic proxy-only station/climate features excluded from strict scope,False,True,False
station__network__tmax_mean_c,proxy,station_and_climate_proxy,mixed,diagnostic proxy-only station/climate features excluded from strict scope,False,True,False
station__network__tmax_min_c,proxy,station_and_climate_proxy,mixed,diagnostic proxy-only station/climate features excluded from strict scope,False,True,False
station__network__tmax_range_c,proxy,station_and_climate_proxy,mixed,diagnostic proxy-only station/climate features excluded from strict scope,False,True,False
