router_id,candidate_id,evaluation_scope,identical_row_n,mae_candidate,mae_baseline_e0,mae_baseline_r0,delta_vs_e0,delta_vs_r0,rmse_candidate,bias_candidate,p90_abs_error_candidate,promotion_status,demotion_reason,created_at_utc
R0_OFFICIAL_LONG_HISTORY,router_v1_20260627,strict-pre2024,2191,2.058655993325406,,,,,2.7210290918016202,-0.0005239605510986244,4.597922370752137,demoted,STRICT_E0_OFFICIAL_ANCHOR_UNAVAILABLE,generated_by_cli
R1_CORE_GFS_GEFS,router_v1_20260627,strict-pre2024,2191,2.058655993325406,2.058655993325406,,0.0,0.0,2.7210290918016202,-0.0005239605510986244,4.597922370752137,demoted,R1_PROMOTION_GATES_FAILED,generated_by_cli
