cutoff_profile,model_id,season_bucket,n_scored,mae,rmse,median_absolute_error,bias,p80_absolute_error,p90_absolute_error,p95_absolute_error,max_absolute_error,mean_prediction,mean_actual,mean_anchor_forecast,scope,official_max_bin,official_range_bin,issue_hour_bucket,fcst_flag_thunderstorm,hourly_any_thunderstorm_warning_24h,hourly_any_rainstorm_warning_24h
tminus1_2359,A0_raw_official,DJF,1413,0.9036093418259025,1.1586958527862163,0.6999999999999993,-0.22745930644019818,1.3999999999999986,1.8000000000000007,2.3000000000000007,8.6,19.788393489030433,20.015852795470632,19.788393489030433,by_season_bucket,,,,,,
tminus1_2359,A0_raw_official,JJA,1380,0.8586231884057972,1.0963543011377246,0.7000000000000028,-0.08384057971014487,1.3999999999999986,1.8000000000000007,2.200000000000003,3.700000000000003,31.76014492753623,31.843985507246376,31.76014492753623,by_season_bucket,,,,,,
tminus1_2359,A0_raw_official,MAM,1472,1.1264945652173914,1.4183291609128157,0.8999999999999986,-0.07839673913043475,1.8000000000000007,2.3999999999999986,2.8000000000000007,4.5,26.18546195652174,26.263858695652175,26.18546195652174,by_season_bucket,,,,,,
tminus1_2359,A0_raw_official,SON,1364,0.8210410557184752,1.0596470667908056,0.6999999999999993,-0.10227272727272724,1.3000000000000007,1.7999999999999972,2.1849999999999907,4.300000000000001,28.38782991202346,28.490102639296186,28.38782991202346,by_season_bucket,,,,,,
tminus1_2359,A1_grouped_residual,DJF,1413,0.8875600074204179,1.135082538809711,0.7267169576613703,0.011519381310992168,1.3928960323543242,1.8076189690984847,2.2705845799946163,8.83378546930714,20.027372176781622,20.015852795470632,19.788393489030433,by_season_bucket,,,,,,
tminus1_2359,A1_grouped_residual,JJA,1380,0.8564850506376905,1.0930593199809213,0.6910829685961417,-0.025665101817872283,1.3734831116417696,1.7845699069588872,2.1866995710530714,3.6242968712700154,31.8183204054285,31.843985507246376,31.76014492753623,by_season_bucket,,,,,,
tminus1_2359,A1_grouped_residual,MAM,1472,1.1250049135887996,1.4149949933503028,0.9241886591285837,0.06628791544467036,1.842764468089244,2.3340586386194384,2.815955402265704,4.438538435245153,26.330146611096843,26.263858695652175,26.18546195652174,by_season_bucket,,,,,,
tminus1_2359,A1_grouped_residual,SON,1364,0.816411064668002,1.052974396423965,0.6480185769253275,0.004351660853829206,1.338983714232235,1.7460670468623214,2.1496822190495943,4.089805294074129,28.494454300150014,28.490102639296186,28.38782991202346,by_season_bucket,,,,,,
tminus1_2359,A2_revision_residual_lgbm,DJF,1413,0.8869907543158224,1.1364542092341428,0.7321621380417334,0.027735785707244116,1.3809031395558875,1.8239932871062257,2.2604046109703573,8.730591372422412,20.043588581177872,20.015852795470632,19.788393489030433,by_season_bucket,,,,,,
tminus1_2359,A2_revision_residual_lgbm,JJA,1380,0.8551760993569495,1.0909707484000424,0.6990090843195826,-0.003010208284696129,1.3798469542939629,1.7798696185402387,2.182748286238447,3.7727920494058864,31.84097529896168,31.843985507246376,31.76014492753623,by_season_bucket,,,,,,
tminus1_2359,A2_revision_residual_lgbm,MAM,1472,1.0966115257038875,1.3903715041846934,0.9077715125304433,0.03861158549277878,1.7783066878707707,2.3018093422418717,2.7858439130740607,4.442932728355654,26.302470281144952,26.263858695652175,26.18546195652174,by_season_bucket,,,,,,
tminus1_2359,A2_revision_residual_lgbm,SON,1364,0.8059363985761269,1.0433282402350483,0.6417539667450463,0.019731967170989864,1.298978341544251,1.7254540200397435,2.1965379000132392,3.9514971661534553,28.50983460646718,28.490102639296186,28.38782991202346,by_season_bucket,,,,,,
tminus1_2359,A3_hko_hourly_state_residual_lgbm,DJF,1413,0.8705283734480085,1.1105465742036333,0.7499164643759464,0.018585883966865925,1.3341312846073543,1.7854100365287713,2.1284133916655996,8.115805377994901,20.034438679437496,20.015852795470632,19.788393489030433,by_season_bucket,,,,,,
tminus1_2359,A3_hko_hourly_state_residual_lgbm,JJA,1380,0.8477122335254749,1.081127460915118,0.7068559536935375,-0.0006877474761818881,1.3520072362779487,1.794198740862934,2.1583115100118895,3.977117759812547,31.843297759770195,31.843985507246376,31.76014492753623,by_season_bucket,,,,,,
tminus1_2359,A3_hko_hourly_state_residual_lgbm,MAM,1472,1.0853061053018365,1.3789787067201018,0.8749500890310706,0.029648927759772965,1.7735906432131598,2.3094821893605753,2.7098131614104566,4.6012294136818745,26.293507623411948,26.263858695652175,26.18546195652174,by_season_bucket,,,,,,
tminus1_2359,A3_hko_hourly_state_residual_lgbm,SON,1364,0.7865650417762727,1.017182884089026,0.6310155464422742,-0.0010911201047477015,1.2736641755035714,1.6938396695631721,2.0792750714994632,3.935878603663081,28.48901151919144,28.490102639296186,28.38782991202346,by_season_bucket,,,,,,
tminus1_2359,A4_network_gradients_residual_lgbm,DJF,1413,0.8743882658282923,1.115472101204041,0.7266369550774137,0.03831459714794331,1.360549069911994,1.7734598879560473,2.1883550784135295,8.233601160161092,20.054167392618574,20.015852795470632,19.788393489030433,by_season_bucket,,,,,,
tminus1_2359,A4_network_gradients_residual_lgbm,JJA,1380,0.8493570375350241,1.0841381726807557,0.6940994652972883,0.015750984881554013,1.351803236795972,1.7714628360267552,2.1918546156348944,4.211400274479658,31.859736492127933,31.843985507246376,31.76014492753623,by_season_bucket,,,,,,
