cutoff_profile,model_id,model_family,n_scored,mae,rmse,median_absolute_error,bias,p80_absolute_error,p90_absolute_error,p95_absolute_error,max_absolute_error,mean_prediction,mean_actual,mean_anchor_forecast,scope
tminus1_1800,C3_tail_overlay_router,tail_overlay_router,5050,0.9389002309187894,1.1980769440016692,0.7859141600930943,-0.02843387196641663,1.5,2.0,2.3999999999999986,4.600000000000001,26.938754246845463,26.96718811881188,26.83958415841584,overall
tminus1_2100,C3_tail_overlay_router,tail_overlay_router,5088,0.9212334788799439,1.179855795053459,0.7453174574377393,-0.010927287975328284,1.5,1.9499999999999993,2.389854475707936,4.600000000000001,26.958903686867437,26.96983097484277,26.84198113207547,overall
tminus1_2359,C3_tail_overlay_router,tail_overlay_router,5629,0.902893193428153,1.1609888523282839,0.7048252380142657,-0.024123447883001393,1.4417590421930488,1.9279779142744717,2.3090866017147813,8.1,26.578825566151465,26.602949014034465,26.48001421211583,overall
