cutoff_profile,best_model_id,best_mae,best_rmse,best_p90_absolute_error,best_n_scored
tminus1_2359,D4_residual_memory_constrained_stack,0.8984787669449551,1.1535632828444047,1.904830694847434,5629
tminus1_2100,D4_residual_memory_constrained_stack,0.9199796140786048,1.1759678948271752,1.9381830679480394,5088
tminus1_1800,D5_conservative_A7_plus_memory_blend,0.9327664807450063,1.18816232558082,1.9590757096415294,5050
