source,item_id,issue_day_utc,cycle_hour,lead_hour_requested,issued_at_utc,valid_at_utc_expected,availability_proxy_utc,availability_proxy_method,http_last_modified_utc,raw_path,raw_bytes,raw_sha256,station_id,station_name,station_latitude,station_longitude,nearest_grid_latitude,nearest_grid_longitude,issued_at_utc_grib,valid_at_utc_grib,tcc_atmosphere_instant,tcc_atmosphere_avg,10u_heightaboveground_instant_m_s_1,10v_heightaboveground_instant_m_s_1,2t_heightaboveground_instant_degc,2d_heightaboveground_instant_degc,tmax_heightaboveground_max_degc,tmin_heightaboveground_min_degc,2r_heightaboveground_instant,prmsl_meansea_instant_hpa,cape_surface_instant_j_kg_1,t_surface_instant_degc,cin_surface_instant_j_kg_1,tp_surface_accum_kg_m_2,gust_surface_instant_m_s_1,sdswrf_surface_avg_w_m_2,normalized_variable_count,normalization_elapsed_seconds,normalization_note
gfs,gfs_20260706_00z_f045,2026-07-06,0,45,2026-07-06T00:00:00Z,2026-07-07T21:00:00Z,2026-07-06T06:00:00Z,issued_at_utc + 6h conservative NOMADS buffer,,raw\gfs\20260706\gfs_20260706_00z_f045.grib2,10475522,b4bcc6b2d0023f34a1789a6d0e02d9aa55cfcc083aaac786b1143f658da91797,hko:HKO,Hong Kong Observatory,22.301944,114.174167,22.25,114.25,2026-07-06T00:00:00Z,2026-07-07T21:00:00Z,86.0,84.19999694824219,-1.976965308189392,4.340441703796387,27.018365478515648,24.650842285156276,27.278131103515648,26.896783447265648,86.19999694824219,1006.25890625,952.0,26.706170654296898,-1.7197265625,2.6875,7.426196575164795,0.0,16,4.7993993000127375,
gfs,gfs_20260706_00z_f027,2026-07-06,0,27,2026-07-06T00:00:00Z,2026-07-07T03:00:00Z,2026-07-06T06:00:00Z,issued_at_utc + 6h conservative NOMADS buffer,,raw\gfs\20260706\gfs_20260706_00z_f027.grib2,10367076,823d82787836d682341b8202130c069a889a604603ac671adc0a5d578096540f,hko:HKO,Hong Kong Observatory,22.301944,114.174167,22.25,114.25,2026-07-06T00:00:00Z,2026-07-07T03:00:00Z,100.0,100.0,0.92803955078125,5.755612373352051,27.847497558593773,24.495080566406276,28.101129150390648,27.390252685546898,82.19999694824219,1008.11109375,866.0,28.113366699218773,-1.5555419921875,6.0625,8.908234596252441,359.3919982910156,16,4.786229000019375,
gfs,gfs_20260706_00z_f015,2026-07-06,0,15,2026-07-06T00:00:00Z,2026-07-06T15:00:00Z,2026-07-06T06:00:00Z,issued_at_utc + 6h conservative NOMADS buffer,,raw\gfs\20260706\gfs_20260706_00z_f015.grib2,10276783,91779df26e090e7f4315c6110b83f0c69e862d5279cf380bd812d1990905be79,hko:HKO,Hong Kong Observatory,22.301944,114.174167,22.25,114.25,2026-07-06T00:00:00Z,2026-07-06T15:00:00Z,82.4000015258789,90.4000015258789,-0.0471435561776161,7.940069675445557,27.379083251953148,25.248193359375023,27.911828613281276,27.346337890625023,88.30000305175781,1008.221015625,1439.0,27.050012207031276,-2.961181640625,4.5,11.827789306640623,0.0,16,4.853554100031033,
gfs,gfs_20260706_00z_f030,2026-07-06,0,30,2026-07-06T00:00:00Z,2026-07-07T06:00:00Z,2026-07-06T06:00:00Z,issued_at_utc + 6h conservative NOMADS buffer,,raw\gfs\20260706\gfs_20260706_00z_f030.grib2,10549028,de76c484de308d6695f7e0e071b094d9494bae999b2dd05dfe202df04f823694,hko:HKO,Hong Kong Observatory,22.301944,114.174167,22.25,114.25,2026-07-06T00:00:00Z,2026-07-07T06:00:00Z,100.0,100.0,-0.01007080078125,6.311169624328613,28.095117187500023,24.649987792968773,28.395104980468773,27.390252685546898,81.69999694824219,1007.058515625,1155.0,28.949975585937523,-0.4412841796875,8.8125,9.017300605773926,426.1759948730469,16,4.746487699972931,
gfs,gfs_20260706_00z_f033,2026-07-06,0,33,2026-07-06T00:00:00Z,2026-07-07T09:00:00Z,2026-07-06T06:00:00Z,issued_at_utc + 6h conservative NOMADS buffer,,raw\gfs\20260706\gfs_20260706_00z_f033.grib2,10369878,50f4298dc5fdbe922263bbafc7d61db7a07a400ec7041df6fd6e045c3c4f09e2,hko:HKO,Hong Kong Observatory,22.301944,114.174167,22.25,114.25,2026-07-06T00:00:00Z,2026-07-07T09:00:00Z,100.0,100.0,1.409417748451233,6.091332912445068,27.719537353515648,24.931726074218773,28.260095214843773,27.635339355468773,85.30000305175781,1006.106484375,1275.0,28.091516113281276,-0.46240234375,3.1875,9.100314140319824,391.1600036621094,16,4.404737500008196,
gfs,gfs_20260706_00z_f036,2026-07-06,0,36,2026-07-06T00:00:00Z,2026-07-07T12:00:00Z,2026-07-06T06:00:00Z,issued_at_utc + 6h conservative NOMADS buffer,,raw\gfs\20260706\gfs_20260706_00z_f036.grib2,10605792,964d6e3f8e88a42d8bc8afa0f907ae53784e0e88746cc5b949cde7234c744776,hko:HKO,Hong Kong Observatory,22.301944,114.174167,22.25,114.25,2026-07-06T00:00:00Z,2026-07-07T12:00:00Z,51.20000076293945,99.9000015258789,0.043426513671875,4.981158256530762,27.849664306640648,24.945123291015648,28.446343994140648,27.228082275390648,84.69999694824219,1007.10703125,1307.0,27.191491699218773,-0.407958984375,5.5625,7.413500785827637,227.2480010986328,16,4.392911800008733,
gfs,gfs_20260706_06z_f012,2026-07-06,6,12,2026-07-06T06:00:00Z,2026-07-06T18:00:00Z,2026-07-06T12:00:00Z,issued_at_utc + 6h conservative NOMADS buffer,,raw\gfs\20260706\gfs_20260706_06z_f012.grib2,10485961,70f16c897753b0f950f2cb3fa837aaecf4a4b4f6e91bd2678ad8c95bec210a33,hko:HKO,Hong Kong Observatory,22.301944,114.174167,22.25,114.25,2026-07-06T06:00:00Z,2026-07-06T18:00:00Z,98.1999969482422,100.0,0.5188995599746704,7.912621974945068,27.685998535156276,25.215478515625023,27.911828613281276,27.382714843750023,86.5999984741211,1007.27015625,1719.0,27.075463867187523,-0.117919921875,11.6875,11.335558891296388,0.0,16,4.57585530000506,
gfs,gfs_20260706_00z_f048,2026-07-06,0,48,2026-07-06T00:00:00Z,2026-07-08T00:00:00Z,2026-07-06T06:00:00Z,issued_at_utc + 6h conservative NOMADS buffer,,raw\gfs\20260706\gfs_20260706_00z_f048.grib2,10643506,31d7e41f693dabe55a8768f4795ae96cf8340509392d8969ebb5d435a421d696,hko:HKO,Hong Kong Observatory,22.301944,114.174167,22.25,114.25,2026-07-06T00:00:00Z,2026-07-08T00:00:00Z,50.59999847412109,74.80000305175781,-1.737695336341858,4.218530178070068,27.7419372558594,24.437768554687523,27.843103027343773,26.839440917968773,82.0,1007.672265625,865.0,27.957482910156276,-1.479736328125,4.875,7.436900615692139,64.7040023803711,16,4.755871500005014,
gfs,gfs_20260706_06z_f006,2026-07-06,6,6,2026-07-06T06:00:00Z,2026-07-06T12:00:00Z,2026-07-06T12:00:00Z,issued_at_utc + 6h conservative NOMADS buffer,,raw\gfs\20260706\gfs_20260706_06z_f006.grib2,10389050,3fd4b8ed60f671424e4abe1ef062dfcbf84b45caa05f32b196993ee7e7dee92e,hko:HKO,Hong Kong Observatory,22.301944,114.174167,22.25,114.25,2026-07-06T06:00:00Z,2026-07-06T12:00:00Z,97.9000015258789,99.8000030517578,1.480065941810608,8.129175186157227,27.813623046875023,25.115441894531276,28.711358642578148,27.513635253906276,85.4000015258789,1007.873828125,1605.0,27.238427734375023,0.1917724609375,7.375,11.703373908996582,339.1520080566406,16,4.973446599964518,
gfs,gfs_20260706_06z_f015,2026-07-06,6,15,2026-07-06T06:00:00Z,2026-07-06T21:00:00Z,2026-07-06T12:00:00Z,issued_at_utc + 6h conservative NOMADS buffer,,raw\gfs\20260706\gfs_20260706_06z_f015.grib2,10284065,050972fbe5e60581ce7608d19c48d4ea79820ded56c29e2bb3cd18eab24ffd90,hko:HKO,Hong Kong Observatory,22.301944,114.174167,22.25,114.25,2026-07-06T06:00:00Z,2026-07-06T21:00:00Z,100.0,100.0,0.907391369342804,8.036425590515137,27.337548828125023,24.780450439453148,27.744531250000023,27.348931884765648,86.19999694824219,1007.003515625,1283.0,26.922540283203148,-0.416259765625,5.8125,10.701062202453612,0.0,16,5.497310200007632,
