bin_assigned,n,crps_global,crps_chooser,nll_global,nll_chooser,brier_global,brier_chooser,coverage_global_0.5,coverage_chooser_0.5,coverage_global_0.8,coverage_chooser_0.8,coverage_global_0.9,coverage_chooser_0.9,coverage_global_0.95,coverage_chooser_0.95
HIGH,111,1.4638026092361531,1.4749396727307336,2.4043828067041946,2.4201115276400675,0.016144480374880713,0.01617770547390956,0.6126126126126126,0.6216216216216216,0.9009009009009009,0.918918918918919,0.954954954954955,0.963963963963964,0.972972972972973,0.972972972972973
LOW,131,1.177230835035208,1.176333197900718,2.2568375123056814,2.251048440865298,0.012926940332038896,0.012824827181280692,0.7175572519083969,0.7175572519083969,0.9541984732824428,0.9541984732824428,0.9770992366412213,0.9770992366412213,0.9923664122137404,0.9923664122137404
MID,121,1.2255867826335214,1.2247921990910446,2.2777464096546565,2.2638716108308383,0.013875169643263139,0.014067505684198676,0.71900826446281,0.6942148760330579,0.9504132231404959,0.9504132231404959,0.9834710743801653,0.9834710743801653,1.0,1.0
