station_id,target_date_local,asof_utc,mu_hat_f,actual_tmax_f,residual_f,abs_residual_f
KNYC,2025-02-15,2025-02-14 12:00:00+00:00,38.09930115505045,35.0,-3.0993011550504477,3.0993011550504477
KNYC,2025-02-16,2025-02-15 12:00:00+00:00,54.84962250603649,47.0,-7.849622506036489,7.849622506036489
KNYC,2025-02-17,2025-02-16 12:00:00+00:00,35.38563560043538,36.0,0.6143643995646215,0.6143643995646215
KNYC,2025-02-18,2025-02-17 12:00:00+00:00,24.809639008860547,27.0,2.1903609911394533,2.1903609911394533
KNYC,2025-02-19,2025-02-18 12:00:00+00:00,28.60107075348335,30.0,1.3989292465166514,1.3989292465166514
KNYC,2025-02-20,2025-02-19 12:00:00+00:00,25.343292856931257,29.0,3.6567071430687434,3.6567071430687434
KNYC,2025-02-21,2025-02-20 12:00:00+00:00,34.72516605711455,36.0,1.2748339428854507,1.2748339428854507
KNYC,2025-02-22,2025-02-21 12:00:00+00:00,39.553734656469494,39.0,-0.5537346564694943,0.5537346564694943
KNYC,2025-02-23,2025-02-22 12:00:00+00:00,45.52859257791187,46.0,0.47140742208812725,0.47140742208812725
KNYC,2025-02-24,2025-02-23 12:00:00+00:00,49.894628963534224,48.0,-1.894628963534224,1.894628963534224
KNYC,2025-02-25,2025-02-24 12:00:00+00:00,56.812547191231744,57.0,0.18745280876825632,0.18745280876825632
KNYC,2025-02-26,2025-02-25 12:00:00+00:00,54.47540690714172,56.0,1.5245930928582823,1.5245930928582823
KNYC,2025-02-27,2025-02-26 12:00:00+00:00,56.59721342730107,54.0,-2.597213427301071,2.597213427301071
KNYC,2025-02-28,2025-02-27 12:00:00+00:00,48.866184436014436,50.0,1.1338155639855643,1.1338155639855643
KNYC,2025-03-01,2025-02-28 12:00:00+00:00,55.26453887007181,64.0,8.73546112992819,8.73546112992819
KNYC,2025-03-02,2025-03-01 12:00:00+00:00,33.82427936676187,34.0,0.1757206332381287,0.1757206332381287
KNYC,2025-03-03,2025-03-02 12:00:00+00:00,39.06876752316432,39.0,-0.06876752316431833,0.06876752316431833
KNYC,2025-03-04,2025-03-03 12:00:00+00:00,53.455788126842045,52.0,-1.4557881268420445,1.4557881268420445
KNYC,2025-03-05,2025-03-04 12:00:00+00:00,56.992458485228475,54.0,-2.9924584852284752,2.9924584852284752
KNYC,2025-03-06,2025-03-05 12:00:00+00:00,55.17999460942339,55.0,-0.17999460942338885,0.17999460942338885
KNYC,2025-03-07,2025-03-06 12:00:00+00:00,48.51146739643128,50.0,1.4885326035687214,1.4885326035687214
KNYC,2025-03-08,2025-03-07 12:00:00+00:00,44.82908332002662,45.0,0.17091667997338078,0.17091667997338078
KNYC,2025-03-09,2025-03-08 12:00:00+00:00,50.898050611796144,53.0,2.101949388203856,2.101949388203856
KNYC,2025-03-10,2025-03-09 12:00:00+00:00,65.18257092136874,66.0,0.8174290786312639,0.8174290786312639
KNYC,2025-03-11,2025-03-10 12:00:00+00:00,66.58664423247423,65.0,-1.586644232474228,1.586644232474228
KNYC,2025-03-12,2025-03-11 12:00:00+00:00,54.39348406393786,55.0,0.6065159360621379,0.6065159360621379
KNYC,2025-03-13,2025-03-12 12:00:00+00:00,50.20543737099827,50.0,-0.20543737099826842,0.20543737099826842
KNYC,2025-03-14,2025-03-13 12:00:00+00:00,55.27007136807326,57.0,1.7299286319267395,1.7299286319267395
KNYC,2025-03-15,2025-03-14 12:00:00+00:00,54.57334479213545,49.0,-5.573344792135451,5.573344792135451
KNYC,2025-03-16,2025-03-15 12:00:00+00:00,67.31579428969306,61.0,-6.315794289693059,6.315794289693059
KNYC,2025-03-17,2025-03-16 12:00:00+00:00,60.656030358216256,59.0,-1.656030358216256,1.656030358216256
KNYC,2025-03-18,2025-03-17 12:00:00+00:00,60.61734671200022,61.0,0.38265328799977993,0.38265328799977993
KNYC,2025-03-19,2025-03-18 12:00:00+00:00,62.58232932145507,63.0,0.4176706785449298,0.4176706785449298
KNYC,2025-03-20,2025-03-19 12:00:00+00:00,56.13096116809166,52.0,-4.130961168091659,4.130961168091659
KNYC,2025-03-21,2025-03-20 12:00:00+00:00,55.2204113243337,51.0,-4.220411324333703,4.220411324333703
KNYC,2025-03-22,2025-03-21 12:00:00+00:00,60.67449324892533,64.0,3.32550675107467,3.32550675107467
KNYC,2025-03-23,2025-03-22 12:00:00+00:00,48.483575602360105,48.0,-0.483575602360105,0.483575602360105
KNYC,2025-03-24,2025-03-23 12:00:00+00:00,53.9492087109657,50.0,-3.9492087109656993,3.9492087109656993
KNYC,2025-03-25,2025-03-24 12:00:00+00:00,56.92523162415029,58.0,1.0747683758497075,1.0747683758497075
KNYC,2025-03-26,2025-03-25 12:00:00+00:00,50.60495291899208,53.0,2.3950470810079167,2.3950470810079167
KNYC,2025-03-27,2025-03-26 12:00:00+00:00,52.84740141429198,53.0,0.1525985857080201,0.1525985857080201
KNYC,2025-03-28,2025-03-27 12:00:00+00:00,61.373574093310914,63.0,1.6264259066890858,1.6264259066890858
KNYC,2025-03-29,2025-03-28 12:00:00+00:00,79.95737063352308,81.0,1.0426293664769162,1.0426293664769162
KNYC,2025-03-30,2025-03-29 12:00:00+00:00,56.157357870606894,48.0,-8.157357870606894,8.157357870606894
KNYC,2025-03-31,2025-03-30 12:00:00+00:00,73.35974674702906,73.0,-0.35974674702906384,0.35974674702906384
KNYC,2025-04-01,2025-03-31 12:00:00+00:00,61.515780636638475,58.0,-3.5157806366384747,3.5157806366384747
KNYC,2025-04-02,2025-04-01 12:00:00+00:00,45.62856737624038,49.0,3.371432623759617,3.371432623759617
KNYC,2025-04-03,2025-04-02 12:00:00+00:00,71.95518628365957,73.0,1.0448137163404283,1.0448137163404283
KNYC,2025-04-04,2025-04-03 12:00:00+00:00,69.63390492438347,73.0,3.3660950756165278,3.3660950756165278
KNYC,2025-04-05,2025-04-04 12:00:00+00:00,54.94405174021496,59.0,4.0559482597850405,4.0559482597850405
KNYC,2025-04-06,2025-04-05 12:00:00+00:00,56.99023709683227,56.0,-0.9902370968322671,0.9902370968322671
