cutoff_profile,model_id,month,n_scored,mae,rmse,median_absolute_error,bias,p80_absolute_error,p90_absolute_error,p95_absolute_error,max_absolute_error,mean_prediction,mean_actual,mean_anchor_forecast,scope
tminus1_1800,A0_raw_official,1,409,0.9004889975550122,1.1223120564612319,0.8000000000000007,-0.26968215158924214,1.3999999999999986,1.8199999999999992,2.1999999999999993,4.0,19.273838630806846,19.543520782396087,19.273838630806846,by_month
tminus1_1800,A0_raw_official,2,376,1.0986702127659576,1.3714897165320603,0.8999999999999986,-0.32154255319148944,1.6999999999999993,2.3000000000000007,2.8999999999999986,3.8000000000000007,20.34840425531915,20.669946808510637,20.34840425531915,by_month
tminus1_1800,A0_raw_official,3,444,1.2326576576576578,1.5384925932416635,1.0,-0.18310810810810813,2.0,2.5,2.8999999999999986,4.600000000000001,22.864864864864863,23.04797297297297,22.864864864864863,by_month
tminus1_1800,A0_raw_official,4,446,1.1901345291479821,1.4590831939324582,1.0,-0.07219730941704026,1.8999999999999986,2.3000000000000007,2.8000000000000007,4.0,26.44103139013453,26.513228699551572,26.44103139013453,by_month
tminus1_1800,A0_raw_official,5,467,1.1044967880085652,1.3990513763787673,0.8999999999999986,0.0749464668094219,1.8000000000000007,2.3999999999999986,2.8000000000000007,4.5,29.319700214132762,29.24475374732334,29.319700214132762,by_month
tminus1_1800,A0_raw_official,6,431,0.8164733178654294,1.0258944374309378,0.6999999999999993,-0.005336426914153134,1.3999999999999986,1.6999999999999993,2.0,3.3000000000000007,31.398839907192574,31.40417633410673,31.398839907192574,by_month
tminus1_1800,A0_raw_official,7,448,0.8734374999999999,1.123918130597471,0.7000000000000028,-0.12879464285714284,1.3000000000000007,1.8999999999999986,2.299999999999997,3.700000000000003,32.042410714285715,32.17120535714286,32.042410714285715,by_month
tminus1_1800,A0_raw_official,8,446,0.917713004484305,1.1605530612909298,0.7999999999999972,-0.10784753363228688,1.3999999999999986,1.8999999999999986,2.200000000000003,3.8999999999999986,31.701793721973093,31.809641255605378,31.701793721973093,by_month
tminus1_1800,A0_raw_official,9,438,0.947716894977169,1.2099756592140236,0.7999999999999972,-0.10936073059360725,1.6000000000000014,2.0,2.3999999999999986,3.8999999999999986,31.358447488584474,31.467808219178085,31.358447488584474,by_month
tminus1_1800,A0_raw_official,10,419,0.8040572792362769,1.0152888534044167,0.6999999999999993,-0.1606205250596658,1.3000000000000007,1.7000000000000028,2.0,3.3999999999999986,28.768496420047732,28.929116945107396,28.768496420047732,by_month
tminus1_1800,A0_raw_official,11,367,0.8217983651226158,1.0624633348378,0.6000000000000014,-0.047956403269754776,1.3000000000000007,1.8000000000000007,2.07,4.300000000000001,25.302452316076295,25.350408719346046,25.302452316076295,by_month
tminus1_1800,A0_raw_official,12,359,0.8094707520891365,0.9997492721889523,0.6999999999999993,-0.2612813370473538,1.3000000000000007,1.6000000000000014,1.8099999999999972,3.6999999999999993,20.24233983286908,20.503621169916435,20.24233983286908,by_month
tminus1_1800,A1_grouped_residual,1,409,0.8857068384841064,1.0916346109685908,0.7513418439835782,-0.06971265083748376,1.4107963618476147,1.7469486055606906,2.1712554267114874,3.7655288147777526,19.473808131558606,19.543520782396087,19.273838630806846,by_month
tminus1_1800,A1_grouped_residual,2,376,1.0757441200382811,1.3351505424584533,0.8708037797216619,-0.07710836800820363,1.7328548784694213,2.215362477859953,2.698750017303789,3.54670153555222,20.592838440502433,20.669946808510637,20.34840425531915,by_month
tminus1_1800,A1_grouped_residual,3,444,1.2245086652349892,1.5281149550187791,1.0128625835087952,-0.0005842657767705755,1.9530659743815413,2.5169749762354727,2.9292231331684744,4.388347055915265,23.047388707196202,23.04797297297297,22.864864864864863,by_month
tminus1_1800,A1_grouped_residual,4,446,1.1832480487226533,1.456313411641202,1.0163114792493229,0.06425480030977145,1.9014771356844733,2.3113509658883054,2.768750315267015,3.9196055201154536,26.57748349986134,26.513228699551572,26.44103139013453,by_month
tminus1_1800,A1_grouped_residual,5,467,1.1092070183714677,1.4027907808660414,0.8850973282111312,0.13149488833122766,1.8228714244277904,2.4216349272468967,2.7601546464438322,4.449828392952849,29.37624863565457,29.24475374732334,29.319700214132762,by_month
tminus1_1800,A1_grouped_residual,6,431,0.8183019148502849,1.0265742943048761,0.679907901996053,0.019473352848486,1.3485413983046897,1.631957676430961,2.016919022096115,3.3407193380352993,31.423649686955216,31.40417633410673,31.398839907192574,by_month
tminus1_1800,A1_grouped_residual,7,448,0.8683009892542618,1.1182423286007712,0.7260206123690462,-0.0648472854161403,1.336349852897989,1.8596510844828815,2.294864688128455,3.618123140279728,32.10635807172672,32.17120535714286,32.042410714285715,by_month
tminus1_1800,A1_grouped_residual,8,446,0.9155217101443519,1.157235527868634,0.7573782105901063,-0.0708483922595687,1.4524106948301778,1.8459615130181142,2.2135274756319347,3.91672893751187,31.738792863345807,31.809641255605378,31.701793721973093,by_month
tminus1_1800,A1_grouped_residual,9,438,0.9454715504934671,1.2046923532689264,0.7473553514923328,-0.04549995314947373,1.5648080179953738,2.0375820977312347,2.3616811424750295,3.757339679965874,31.422308266028608,31.467808219178085,31.358447488584474,by_month
tminus1_1800,A1_grouped_residual,10,419,0.7933295664194211,1.0013041023024936,0.6585265141431123,-0.0672108107339269,1.2901592935613189,1.685773436899551,1.8999064024028116,3.498299031130607,28.86190613437347,28.929116945107396,28.768496420047732,by_month
tminus1_1800,A1_grouped_residual,11,367,0.8167958589283235,1.059920134957183,0.6492139569840312,0.10396304000254818,1.3151893275094757,1.8492139569840305,2.1115945827136855,4.099081499117986,25.454371759348593,25.350408719346046,25.302452316076295,by_month
tminus1_1800,A1_grouped_residual,12,359,0.778431544772816,0.9624016960335425,0.647585247768113,-0.01224960674265945,1.2370129983670666,1.4651281095535735,1.8273375056283823,3.950406822321625,20.491371563173775,20.503621169916435,20.24233983286908,by_month
tminus1_1800,A2_revision_residual_lgbm,1,409,0.8853687398352202,1.096947548630421,0.7651830502564287,-0.05308689920626241,1.434260121394892,1.7768305544006475,2.110817286524018,3.752659297410659,19.490433883189823,19.543520782396087,19.273838630806846,by_month
tminus1_1800,A2_revision_residual_lgbm,2,376,1.04563357661037,1.313566561412371,0.8602915154107293,0.015253340730124186,1.6705574313673566,2.1589129477137963,2.709684745422988,3.4766111051688178,20.685200149240764,20.669946808510637,20.34840425531915,by_month
tminus1_1800,A2_revision_residual_lgbm,3,444,1.2057001607338627,1.510579087833478,0.999772227076269,0.07353802904188525,1.942049099918792,2.446610615077298,2.9335144275760734,4.351039687066503,23.121511002014856,23.04797297297297,22.864864864864863,by_month
tminus1_1800,A2_revision_residual_lgbm,4,446,1.1593688934071993,1.439110694087253,0.9752962710532795,0.07427984304269368,1.879503868421871,2.321814612583035,2.6764094911850647,4.1016377610049695,26.587508542594264,26.513228699551572,26.44103139013453,by_month
tminus1_1800,A2_revision_residual_lgbm,5,467,1.098357516640037,1.3907725729000933,0.8892627730015299,0.07482759890434003,1.7266090569460624,2.351640657213468,2.7846798349495367,4.610189062400551,29.319581346227682,29.24475374732334,29.319700214132762,by_month
tminus1_1800,A2_revision_residual_lgbm,6,431,0.8418638657816965,1.052075881046195,0.7181418897946656,0.03862447945020687,1.3993803132900062,1.7395152248645616,2.0020863904447683,3.2284930585813107,31.442800813556936,31.40417633410673,31.398839907192574,by_month
tminus1_1800,A2_revision_residual_lgbm,7,448,0.8658278658319075,1.110164359870709,0.6964398804228651,-0.03915418536659037,1.333872191777661,1.906522519169387,2.288362195527793,3.3687070794734026,32.13205117177627,32.17120535714286,32.042410714285715,by_month
tminus1_1800,A2_revision_residual_lgbm,8,446,0.9056826440954334,1.1427415953851976,0.76042153368358,-0.028355543581519708,1.4018249978831783,1.8350339822037292,2.1977327676636635,3.791532790806791,31.781285712023863,31.809641255605378,31.701793721973093,by_month
tminus1_1800,A2_revision_residual_lgbm,9,438,0.9246444738351258,1.1877303520292102,0.7555742053712855,0.011995609767757256,1.5566711749835664,1.992751030125982,2.3589951693773434,3.5099940442621786,31.47980382894584,31.467808219178085,31.358447488584474,by_month
tminus1_1800,A2_revision_residual_lgbm,10,419,0.780844499445708,0.9901469330994852,0.6481189861298944,-0.04239104289121631,1.247935412270127,1.5926091590960993,1.930357967364069,3.4833315444530086,28.886725902216185,28.929116945107396,28.768496420047732,by_month
tminus1_1800,A2_revision_residual_lgbm,11,367,0.8108398413161129,1.0511787703563367,0.6457323792650307,0.14577836965706603,1.2958811369197976,1.7583504228394955,2.086871547261253,3.9589455099830673,25.49618708900311,25.350408719346046,25.302452316076295,by_month
tminus1_1800,A2_revision_residual_lgbm,12,359,0.7848081854207237,0.9747650406396046,0.686713068072109,0.132693390247258,1.2258499702410472,1.5433254507253145,1.8302109565644167,4.192441312881108,20.636314560163694,20.503621169916435,20.24233983286908,by_month
tminus1_1800,A3_hko_hourly_state_residual_lgbm,1,409,0.8737231652946967,1.0779072882303395,0.7897796027652895,-0.0017325005230401538,1.3592182972317093,1.704657522868768,2.069317538137587,3.892730839290568,19.54178828187305,19.543520782396087,19.273838630806846,by_month
tminus1_1800,A3_hko_hourly_state_residual_lgbm,2,376,1.0413042384265545,1.3085084532040911,0.8379091808670083,0.029101488982301176,1.607694431247765,2.179701872481669,2.6731556433519605,3.8686271997711223,20.69904829749294,20.669946808510637,20.34840425531915,by_month
tminus1_1800,A3_hko_hourly_state_residual_lgbm,3,444,1.1823487843102212,1.480265721109724,1.0126211279585169,0.04472141894670658,1.90869694500513,2.4618296720676964,2.883800563621869,4.646536335096918,23.092694391919682,23.04797297297297,22.864864864864863,by_month
tminus1_1800,A3_hko_hourly_state_residual_lgbm,4,446,1.1300976691017028,1.402352980129894,0.9558391536278386,0.024374763668478648,1.8208160875556736,2.285507220696033,2.6174934623001773,4.070779373150934,26.537603463220048,26.513228699551572,26.44103139013453,by_month
tminus1_1800,A3_hko_hourly_state_residual_lgbm,5,467,1.0841665192935657,1.3741738280703044,0.8724714309199726,0.0973360725449447,1.7243773434932863,2.336921984380426,2.7703082822396783,4.250690279584255,29.342089819868285,29.24475374732334,29.319700214132762,by_month
tminus1_1800,A3_hko_hourly_state_residual_lgbm,6,431,0.8232799354729298,1.0329564136384104,0.7079857044023221,0.07623107973552196,1.349425360976639,1.722564248297921,2.0429228707068567,3.3390928843338585,31.48040741384225,31.40417633410673,31.398839907192574,by_month
tminus1_1800,A3_hko_hourly_state_residual_lgbm,7,448,0.8725036781496309,1.130578496589721,0.6685540055790113,0.003169820246754868,1.3494961763463857,1.9399881863661057,2.2695319660079516,3.607752534636397,32.174375177389614,32.17120535714286,32.042410714285715,by_month
tminus1_1800,A3_hko_hourly_state_residual_lgbm,8,446,0.8860358420633359,1.1253353128860253,0.753199995743655,0.02644286073822071,1.4116924117412353,1.7878248034261865,2.2236957731860656,3.7132612288532556,31.8360841163436,31.809641255605378,31.701793721973093,by_month
tminus1_1800,A3_hko_hourly_state_residual_lgbm,9,438,0.9032532963053119,1.1616235711877911,0.7331102731122101,-0.006763937009898324,1.4698090171973548,1.9126540395424472,2.3225785152182765,3.587492452433054,31.46104428216819,31.467808219178085,31.358447488584474,by_month
tminus1_1800,A3_hko_hourly_state_residual_lgbm,10,419,0.7894877051094216,1.0011830425723187,0.6207731168608817,-0.0893882957948381,1.2923223240733308,1.6577855220401243,1.9096304434604199,3.63878777339443,28.839728649312555,28.929116945107396,28.768496420047732,by_month
tminus1_1800,A3_hko_hourly_state_residual_lgbm,11,367,0.7972595333628634,1.0327185614438874,0.6221567585748282,0.10226293451822523,1.2555504868440752,1.7210951590442862,2.0573355045957675,3.731184183675502,25.45267165386427,25.350408719346046,25.302452316076295,by_month
tminus1_1800,A3_hko_hourly_state_residual_lgbm,12,359,0.7732861551898096,0.967174526111788,0.6420268092370627,0.08711966769047871,1.2050329053507778,1.518299990426081,1.9467649478000078,4.0137039969526604,20.590740837606916,20.503621169916435,20.24233983286908,by_month
tminus1_1800,A4_network_gradients_residual_lgbm,1,409,0.8735429153118464,1.0748457467959933,0.7829988595420225,0.011709644821194872,1.3411183110996185,1.704296200443452,2.0306730293926685,3.7034425393250103,19.555230427217285,19.543520782396087,19.273838630806846,by_month
tminus1_1800,A4_network_gradients_residual_lgbm,2,376,1.0488842086368466,1.3139638903710769,0.8625380418225852,-0.012877342934690412,1.5998272673018015,2.1044700435967254,2.712366462660145,3.797499751162249,20.65706946557595,20.669946808510637,20.34840425531915,by_month
tminus1_1800,A4_network_gradients_residual_lgbm,3,444,1.1756212234620562,1.4766602345689817,1.0254698721265525,0.012956423051229378,1.8316581695548777,2.48934891765741,2.958762647924206,4.734129812117974,23.060929396024203,23.04797297297297,22.864864864864863,by_month
tminus1_1800,A4_network_gradients_residual_lgbm,4,446,1.1308776331916062,1.395005926663589,0.9823381077191691,0.023951956212486348,1.801475399671471,2.2610578101170944,2.6456373081481956,3.7412999843578376,26.537180655764057,26.513228699551572,26.44103139013453,by_month
tminus1_1800,A4_network_gradients_residual_lgbm,5,467,1.0963432177839925,1.3855774557986893,0.9284407709435136,0.1038437490564372,1.7987729334362967,2.3303221998234656,2.7556703868109436,4.4007183601871205,29.348597496379778,29.24475374732334,29.319700214132762,by_month
tminus1_1800,A4_network_gradients_residual_lgbm,6,431,0.8174632809251265,1.0253819359690486,0.7091692689465035,0.07760199209563548,1.3048751488454506,1.6771781744945216,2.0114794346386997,3.2786824260244636,31.481778326202363,31.40417633410673,31.398839907192574,by_month
tminus1_1800,A4_network_gradients_residual_lgbm,7,448,0.8626431862501056,1.1206583503100798,0.6718927506156476,0.02000577694516707,1.3486499559575635,1.9227629061738154,2.358819123861381,3.586086594277198,32.19121113408802,32.17120535714286,32.042410714285715,by_month
tminus1_1800,A4_network_gradients_residual_lgbm,8,446,0.8951277566591193,1.1300205246995283,0.78510290105549,0.022975867734212285,1.4157112131150562,1.8119565988879565,2.187532619698368,3.775030451047126,31.83261712333959,31.809641255605378,31.701793721973093,by_month
tminus1_1800,A4_network_gradients_residual_lgbm,9,438,0.9154050876953553,1.1711270355140686,0.7373586697126484,-0.034042388038810684,1.4891430270157684,1.9961523100248724,2.3339308885562313,3.7721365731534497,31.43376583113927,31.467808219178085,31.358447488584474,by_month
tminus1_1800,A4_network_gradients_residual_lgbm,10,419,0.787778746797791,1.0003874066623242,0.6350046024271769,-0.10281232726633527,1.2803996392113628,1.6905612171492128,1.9458385355593488,3.5087143277604866,28.826304617841064,28.929116945107396,28.768496420047732,by_month
tminus1_1800,A4_network_gradients_residual_lgbm,11,367,0.8053283349779459,1.0432385170570804,0.6189426415615351,0.0983293212211399,1.3132407412537865,1.733460491816484,2.011822062685857,4.032982861786092,25.448738040567186,25.350408719346046,25.302452316076295,by_month
tminus1_1800,A4_network_gradients_residual_lgbm,12,359,0.7702515184672082,0.9638738262703838,0.6429580851027765,0.07073337533039031,1.2212428759682965,1.5282896971475153,1.8808054569314652,4.012680784163859,20.574354545246823,20.503621169916435,20.24233983286908,by_month
