cutoff_profile,model_id,residual_memory_bin,n_scored,mae,rmse,median_absolute_error,bias,p80_absolute_error,p90_absolute_error,p95_absolute_error,max_absolute_error,mean_prediction,mean_actual,mean_anchor_forecast,scope
tminus1_1800,D5_conservative_A7_plus_memory_blend,-0.20_to_0.20,1562,0.8954537746579855,1.1544567232643648,0.7201645373610557,0.021318192960953712,1.4499031739372477,1.899999962719815,2.2871933645956775,4.079363557899427,27.575991688479522,27.55467349551856,27.43335467349552,by_residual_memory_bin
tminus1_1800,D4_residual_memory_constrained_stack,-0.20_to_0.20,1562,0.895618224000877,1.1545254040703503,0.7201645373610557,0.02162678279859872,1.4499031739372477,1.9035082505585392,2.2871933645956775,4.079363557899427,27.576300278317163,27.55467349551856,27.43335467349552,by_residual_memory_bin
tminus1_1800,A3_hko_hourly_state_residual_lgbm,-0.20_to_0.20,1562,0.8982607105037793,1.157986596442534,0.712948160330896,0.01924365199212411,1.4548454386723906,1.8950785339758525,2.3015296477343536,4.160893111912248,27.573917147510688,27.55467349551856,27.43335467349552,by_residual_memory_bin
tminus1_1800,A6_target_memory_residual_lgbm,-0.20_to_0.20,1562,0.8987012915360727,1.1581519433015421,0.7204765128184558,0.01750480781092759,1.4458014963264116,1.895167714349515,2.2645594207898396,4.344809495428233,27.572178303329494,27.55467349551856,27.43335467349552,by_residual_memory_bin
tminus1_1800,A7_final_residual_ensemble,-0.20_to_0.20,1562,0.8994323882913083,1.1591664794364276,0.7195292020539448,0.019165218969909182,1.4366463613390295,1.8979702161228582,2.3027851596617253,4.179874951744431,27.573838714488478,27.55467349551856,27.43335467349552,by_residual_memory_bin
tminus1_1800,D0_A7_reproduction,-0.20_to_0.20,1562,0.8994323882913083,1.1591664794364276,0.7195292020539448,0.019165218969909182,1.4366463613390295,1.8979702161228582,2.3027851596617253,4.179874951744431,27.573838714488478,27.55467349551856,27.43335467349552,by_residual_memory_bin
tminus1_1800,A4_network_gradients_residual_lgbm,-0.20_to_0.20,1562,0.900064760514284,1.1595754536599694,0.727577404637648,0.014237376066595987,1.4544563599513824,1.9051509342754025,2.2847525008547436,4.032982861786092,27.568910871585164,27.55467349551856,27.43335467349552,by_residual_memory_bin
tminus1_1800,D3_pruned_full_plus_residual_memory_lgbm,-0.20_to_0.20,1562,0.9013521547590079,1.1582723140172573,0.7346632624371026,0.02029756251269996,1.4706846958898674,1.8619449157019257,2.2826183978710537,4.022362670703423,27.574971058031267,27.55467349551856,27.43335467349552,by_residual_memory_bin
tminus1_1800,A5_text_warning_residual_lgbm,-0.20_to_0.20,1562,0.9032463887581376,1.1625516862446372,0.7315875814790171,0.015161625526221401,1.4635654800592086,1.8949024516908808,2.3332065050874635,4.071893226652772,27.569835121044786,27.55467349551856,27.43335467349552,by_residual_memory_bin
tminus1_1800,D2_A3_plus_residual_memory_lgbm,-0.20_to_0.20,1562,0.903557491150382,1.159308074229339,0.7291672801949076,0.015018939654166024,1.4596380313561108,1.8885158029869393,2.2720816774046324,4.259015611835817,27.56969243517273,27.55467349551856,27.43335467349552,by_residual_memory_bin
tminus1_1800,A2_revision_residual_lgbm,-0.20_to_0.20,1562,0.913900639672021,1.1740595484064276,0.7410785484043174,0.019016452483641946,1.4749687645134995,1.906327274690376,2.3394583632939963,4.192441312881108,27.573689948002208,27.55467349551856,27.43335467349552,by_residual_memory_bin
tminus1_1800,A1_grouped_residual,-0.20_to_0.20,1562,0.9215525850144652,1.182660521321826,0.7451204505133973,-0.009679843777003937,1.4999200210390358,1.926371139562585,2.365284726233883,4.099081499117986,27.544993651741564,27.55467349551856,27.43335467349552,by_residual_memory_bin
tminus1_1800,A0_raw_official,-0.20_to_0.20,1562,0.9284891165172856,1.191865837305409,0.7000000000000028,-0.12131882202304738,1.5,2.0,2.3999999999999986,4.300000000000001,27.43335467349552,27.55467349551856,27.43335467349552,by_residual_memory_bin
tminus1_1800,D1_official_residual_memory_shrinkage,-0.20_to_0.20,1562,0.9286796028510474,1.191088091900616,0.7268693709044101,-0.10949294980981264,1.4895385891938802,1.9638790345116992,2.3539653819187154,4.279491257994838,27.44518054570875,27.55467349551856,27.43335467349552,by_residual_memory_bin
tminus1_1800,A8_direct_lgbm_absolute,-0.20_to_0.20,1562,0.9486678514436914,1.2280571711713932,0.7610032319710367,-0.04932086982980577,1.5439600591408995,1.9711445180054963,2.4140125707717908,5.974847492804566,27.505352625688758,27.55467349551856,27.43335467349552,by_residual_memory_bin
tminus1_1800,B0_climatology_persistence,-0.20_to_0.20,1562,1.8330537772087068,2.2819786801245305,1.5799999999999983,-0.46254161331626115,2.8599999999999994,3.7000000000000024,4.399999999999999,8.440000000000001,27.092131882202306,27.55467349551856,27.43335467349552,by_residual_memory_bin
tminus1_1800,A3_hko_hourly_state_residual_lgbm,-0.50_to_-0.20,639,0.9393703598289556,1.204532268416999,0.7270221303927933,0.0629698942169654,1.5139482835915716,2.0038038852015805,2.4655679630662126,4.250690279584255,27.760465981853894,27.697496087636935,27.62284820031299,by_residual_memory_bin
tminus1_1800,D4_residual_memory_constrained_stack,-0.50_to_-0.20,639,0.9401990035884832,1.2052649254727832,0.7281563739242429,0.06177016938575886,1.4897881079969773,2.01383502553841,2.486217593514254,4.381891424147973,27.75926625702269,27.697496087636935,27.62284820031299,by_residual_memory_bin
tminus1_1800,D5_conservative_A7_plus_memory_blend,-0.50_to_-0.20,639,0.9407184646795831,1.206000558689962,0.7281563739242429,0.060381832809163684,1.4897881079969773,2.01383502553841,2.486217593514254,4.381891424147973,27.75787792044609,27.697496087636935,27.62284820031299,by_residual_memory_bin
tminus1_1800,D3_pruned_full_plus_residual_memory_lgbm,-0.50_to_-0.20,639,0.9407210288067007,1.2119546690652505,0.7331583867799338,0.0516771114290495,1.508385351513148,1.9743053933845367,2.503883922226184,4.437663428847813,27.749173199065982,27.697496087636935,27.62284820031299,by_residual_memory_bin
tminus1_1800,A4_network_gradients_residual_lgbm,-0.50_to_-0.20,639,0.9428280300755597,1.2093328625276145,0.7373639681291806,0.05379456571607156,1.4964482912412835,1.9899691132001767,2.4600630042854723,4.4007183601871205,27.751290653353006,27.697496087636935,27.62284820031299,by_residual_memory_bin
tminus1_1800,A7_final_residual_ensemble,-0.50_to_-0.20,639,0.9445005110134743,1.2105006888671503,0.740131752363343,0.06155356325938849,1.517065774111171,2.0202616954891712,2.4616794860822258,4.359571289434346,27.759049650896323,27.697496087636935,27.62284820031299,by_residual_memory_bin
