season_hko,scope,n,mae,rmse,median_abs_error,bias,p80_abs_error,p90_abs_error,p95_abs_error,max_abs_error,first_date,last_date
autumn_transition,seasonal,403,0.7638922131438511,0.9692439477500727,0.6466430756506796,-0.0604543428340434,1.2261953232881617,1.5948911529855416,1.8920221847331902,3.482045890404777,2011-10-01,2023-10-31
cool_dry,seasonal,1562,0.8702021010104637,1.1063299509286062,0.709325951634959,0.0237660479320652,1.3743599088656666,1.8083733569146918,2.264309335997449,4.074505717064209,2011-01-01,2023-12-31
hot_wet,seasonal,1989,0.9034921587347194,1.1622779322241095,0.7288122377375679,-0.0018025563049726473,1.4400480035078744,1.9462153463346596,2.3558761424873995,4.403362920320813,2011-05-01,2023-09-30
spring_transition,seasonal,793,1.148444371036404,1.447871014938604,0.9409009378683884,0.06448342718358863,1.8986887338071854,2.352824119067556,2.876367499059851,4.210578384301357,2011-03-01,2023-04-30
