target_date_month,scope,n,mae,rmse,median_abs_error,bias,p80_abs_error,p90_abs_error,p95_abs_error,max_abs_error,first_date,last_date
12,monthly,403,0.7455933902427517,0.9301598803039568,0.6332767003896613,0.04410625105401144,1.1836647422668827,1.4865510678505593,1.7830619565465493,2.9629407803161882,2011-12-01,2023-12-31
10,monthly,403,0.7638922131438511,0.9692439477500727,0.6466430756506796,-0.0604543428340434,1.2261953232881617,1.5948911529855416,1.8920221847331902,3.482045890404777,2011-10-01,2023-10-31
11,monthly,389,0.7857056012651535,1.0181853684435511,0.6127804022443293,0.08637817910351053,1.2367967774884743,1.6876898713572743,2.110184422258126,4.074505717064209,2011-11-01,2023-11-30
6,monthly,390,0.8202256614681649,1.0279587923893316,0.6784105124850157,0.016550584379440653,1.3529563309212156,1.6570444744137924,2.0280271729337866,3.313718914912503,2011-06-01,2023-06-30
7,monthly,403,0.8411107264066542,1.0894180060341068,0.6876964283828428,-0.08193280170024479,1.2595042907314467,1.800286129942651,2.2993374742178285,3.6058272067917585,2011-07-01,2023-07-31
1,monthly,403,0.8828472026905728,1.1055269835100123,0.7401390432934463,-0.032691259019540855,1.448041310522423,1.8007419523181003,2.195180998699733,3.7184591752375837,2011-01-01,2023-01-31
8,monthly,403,0.9027782815433637,1.1575485284380804,0.746767308174185,-0.025569624953455803,1.4671409003219862,1.8583149653591775,2.2248040488236502,3.4963571602884116,2011-08-01,2023-08-31
9,monthly,390,0.9043847037726632,1.1604095780363535,0.7323159461315107,-0.03990891306079019,1.5286241812638417,1.9986111643761195,2.3510012065643124,3.7809877446797415,2011-09-01,2023-09-30
5,monthly,403,1.046304196217312,1.3471525872292411,0.8228225076733651,0.12121077329175452,1.68989891631857,2.2878263554124008,2.7641560634653346,4.403362920320813,2011-05-01,2023-05-31
2,monthly,367,1.0827102014552308,1.3484685838983235,0.8915935328566533,-0.002939473000739497,1.712807763778212,2.2939736671141224,2.736410126514963,3.8375235469599875,2011-02-01,2023-02-28
3,monthly,403,1.1305170497592578,1.4409228842663862,0.8958903298874148,0.07028141384011953,1.878475651205188,2.4120696711099274,2.90100691060129,4.210578384301357,2011-03-01,2023-03-31
4,monthly,390,1.1669692696894551,1.455015893605983,1.0187796821362625,0.05849217430517335,1.9185195623876625,2.316882373869376,2.7941576521074913,4.024378739233143,2011-04-01,2023-04-30
