cutoff,model_id,model_family,scope,n,mae,rmse,median_abs_error,bias,p80_abs_error,p90_abs_error,p95_abs_error,max_abs_error,first_date,last_date
23:59,B3_grouped_residual_shrinkage,baseline,identical_cutoff_intersection,4274,0.9373280329418257,1.1977345766032947,0.7523860779748777,0.00959508305708123,1.5065355804827818,1.9913254255817965,2.424308420740825,4.403362920320813,2011-01-01,2023-12-31
23:59,B1_raw_official_latest,baseline,identical_cutoff_intersection,4274,0.9431913897987835,1.2065858119001351,0.7999999999999972,-0.12133832475432847,1.5,2.0,2.3999999999999986,4.5,2011-01-01,2023-12-31
23:59,M8_constrained_nonnegative_stack,stack,identical_cutoff_intersection,4274,0.9444594986483265,1.20635647404362,0.7592561742032053,-0.020147424778933627,1.5154998577287515,1.9962202345686773,2.455851054189206,4.298346788216367,2011-01-01,2023-12-31
21:00,B3_grouped_residual_shrinkage,baseline,identical_cutoff_intersection,4274,0.9514138379303607,1.2138404076315699,0.7671641993228882,-0.0013124417885440986,1.526915487565363,2.023825298665262,2.4471949146995278,4.399050704547253,2011-01-01,2023-12-31
23:59,M6_lgbm_huber_residual,residual_ml,identical_cutoff_intersection,4274,0.954097103841343,1.218592991740023,0.7694542009120919,-0.03914384219817973,1.5200354997734509,1.9971631400939462,2.4899293620371297,4.343694036930845,2011-01-01,2023-12-31
23:59,M5_lgbm_l1_residual,residual_ml,identical_cutoff_intersection,4274,0.9565575693713972,1.2216937281784972,0.7717083848972397,-0.0410379207341026,1.524830459168684,2.0073091602298776,2.494045158640388,4.363975504345696,2011-01-01,2023-12-31
18:00,B3_grouped_residual_shrinkage,baseline,identical_cutoff_intersection,4274,0.9574009156534967,1.2207611871396409,0.7782377267561404,-0.011927256493626203,1.53380504821613,2.030498584541581,2.4617758321033696,4.414668451286165,2011-01-01,2023-12-31
17:00,B3_grouped_residual_shrinkage,baseline,identical_cutoff_intersection,4274,0.9576336484223348,1.2212048301572926,0.7776537653385382,-0.012420929851937853,1.5342299704807858,2.0310348055029332,2.4602647498893426,4.417751092620506,2011-01-01,2023-12-31
21:00,M8_constrained_nonnegative_stack,stack,identical_cutoff_intersection,4274,0.9585111335148759,1.2228024003826117,0.7702038289076683,-0.029602567509830674,1.5392858620822936,2.0248483795755123,2.4720626349089985,4.412755193101873,2011-01-01,2023-12-31
21:00,B1_raw_official_latest,baseline,identical_cutoff_intersection,4274,0.9592419279363594,1.2240473839391257,0.8000000000000007,-0.13210107627515205,1.5,2.0,2.399999999999999,4.5,2011-01-01,2023-12-31
18:00,M8_constrained_nonnegative_stack,stack,identical_cutoff_intersection,4274,0.9644595565317121,1.229967990049737,0.7739712523186508,-0.038085526815047496,1.5439277218302223,2.0388226695971143,2.4883830080721245,4.425842841965373,2011-01-01,2023-12-31
17:00,M8_constrained_nonnegative_stack,stack,identical_cutoff_intersection,4274,0.9646451149220829,1.2303048249559179,0.7743490380341846,-0.03843755460950365,1.5455568769266095,2.040169155292263,2.490346523002098,4.424897186769151,2011-01-01,2023-12-31
18:00,B1_raw_official_latest,baseline,identical_cutoff_intersection,4274,0.9648338792700046,1.2312258824471898,0.8000000000000007,-0.1316565278427702,1.5,2.0,2.5,4.5,2011-01-01,2023-12-31
17:00,B1_raw_official_latest,baseline,identical_cutoff_intersection,4274,0.9650444548432383,1.2316258357735421,0.8000000000000007,-0.13149274684136641,1.5,2.0,2.5,4.5,2011-01-01,2023-12-31
21:00,M6_lgbm_huber_residual,residual_ml,identical_cutoff_intersection,4274,0.9679121251997367,1.2350810077169938,0.7830551455032086,-0.04851248391933385,1.5406811018608848,2.032046680098033,2.507614085291476,4.599404131587072,2011-01-01,2023-12-31
21:00,M5_lgbm_l1_residual,residual_ml,identical_cutoff_intersection,4274,0.9702852806710277,1.2381591733510915,0.7829792762545029,-0.05041725210339217,1.5450240559413686,2.035362248375938,2.519390255855016,4.6347499656657085,2011-01-01,2023-12-31
18:00,M6_lgbm_huber_residual,residual_ml,identical_cutoff_intersection,4274,0.9737906120767973,1.242327700678825,0.7880110477219322,-0.05654863020835561,1.5568548662320538,2.044076867367513,2.52326335978458,4.612333842066658,2011-01-01,2023-12-31
17:00,M6_lgbm_huber_residual,residual_ml,identical_cutoff_intersection,4274,0.973980936338976,1.2425754467805286,0.78675303862493,-0.05683556112447622,1.5560483507240415,2.044068273011607,2.523393648354149,4.611770750659726,2011-01-01,2023-12-31
18:00,M5_lgbm_l1_residual,residual_ml,identical_cutoff_intersection,4274,0.9761282565871586,1.2454045540283274,0.7862653201824106,-0.05846221633864798,1.5553366341264223,2.043847864889414,2.530428615643057,4.647523533730848,2011-01-01,2023-12-31
17:00,M5_lgbm_l1_residual,residual_ml,identical_cutoff_intersection,4274,0.9763184351183715,1.2456346027817746,0.785642845355726,-0.058748881753940524,1.5544077575608306,2.0440610996694075,2.5316120943440352,4.64694373906125,2011-01-01,2023-12-31
