bin,lo,hi,count,confidence,accuracy,abs_gap,validation_split,method
6,0.6000000000000001,0.7000000000000001,10,0.6736772887453871,0.4,0.2736772887453871,fold4__t_minus_1_2100_hkt,C2_ordinal_cdf_logistic
7,0.7000000000000001,0.8,23,0.7266414099577873,0.8260869565217391,0.09944554656395188,fold4__t_minus_1_2100_hkt,C2_ordinal_cdf_logistic
8,0.8,0.9,24,0.8846456381990616,0.875,0.009645638199061612,fold4__t_minus_1_2100_hkt,C2_ordinal_cdf_logistic
9,0.9,1.0,141,0.980464605307811,0.9787234042553191,0.0017412010524918697,fold4__t_minus_1_2100_hkt,C2_ordinal_cdf_logistic
0,0.0,0.1,0,,,,fold4__t_minus_1_2100_hkt,K0_B4_identity
1,0.1,0.2,0,,,,fold4__t_minus_1_2100_hkt,K0_B4_identity
2,0.2,0.30000000000000004,67,0.2779350645147556,0.29850746268656714,0.020572398171811557,fold4__t_minus_1_2100_hkt,K0_B4_identity
3,0.30000000000000004,0.4,242,0.3471832562657415,0.33884297520661155,0.008340281059129928,fold4__t_minus_1_2100_hkt,K0_B4_identity
4,0.4,0.5,153,0.42737445572457144,0.38562091503267976,0.04175354069189169,fold4__t_minus_1_2100_hkt,K0_B4_identity
5,0.5,0.6000000000000001,15,0.5317594383748679,0.4,0.13175943837486792,fold4__t_minus_1_2100_hkt,K0_B4_identity
6,0.6000000000000001,0.7000000000000001,24,0.63739846821019,0.7083333333333334,0.0709348651231434,fold4__t_minus_1_2100_hkt,K0_B4_identity
7,0.7000000000000001,0.8,9,0.7329028242193627,0.6666666666666666,0.06623615755269607,fold4__t_minus_1_2100_hkt,K0_B4_identity
8,0.8,0.9,21,0.8714469838651896,0.7619047619047619,0.10954222196042773,fold4__t_minus_1_2100_hkt,K0_B4_identity
9,0.9,1.0,148,0.9881444207499188,0.9864864864864865,0.0016579342634323035,fold4__t_minus_1_2100_hkt,K0_B4_identity
0,0.0,0.1,0,,,,fold4__t_minus_1_2100_hkt,K1_B4_power_calibrated
1,0.1,0.2,0,,,,fold4__t_minus_1_2100_hkt,K1_B4_power_calibrated
2,0.2,0.30000000000000004,72,0.2735929816118121,0.2916666666666667,0.01807368505485457,fold4__t_minus_1_2100_hkt,K1_B4_power_calibrated
3,0.30000000000000004,0.4,281,0.34882229820375327,0.35231316725978645,0.0034908690560331856,fold4__t_minus_1_2100_hkt,K1_B4_power_calibrated
4,0.4,0.5,109,0.4257143482116788,0.3761467889908257,0.0495675592208531,fold4__t_minus_1_2100_hkt,K1_B4_power_calibrated
5,0.5,0.6000000000000001,15,0.5183819126228845,0.4,0.11838191262288444,fold4__t_minus_1_2100_hkt,K1_B4_power_calibrated
6,0.6000000000000001,0.7000000000000001,26,0.624560153735399,0.6923076923076923,0.06774753857229332,fold4__t_minus_1_2100_hkt,K1_B4_power_calibrated
