validation_split,method,mean_max_probability,mean_entropy
fold1,B0_climatology,0.4057285171947661,1.9807972067462347
fold1,B1_global_residual_pmf,0.57663845612564,1.02065804094438
fold1,B2_month_residual_pmf,0.5768519370951053,1.003775324910129
fold1,B3_forecast_level_residual_pmf,0.5867074706109869,0.9815112201192301
fold1,B4_hierarchical_residual_pmf,0.585560430261738,0.9822368385084519
fold1,B5_kernel_analog_pmf,0.5893761356348024,0.96810594383287
fold1,B6_month_climatology_diagnostic,0.5156841172088662,1.3510933416573365
fold1,P1_normal_mos,0.5628246356414299,1.025466231010428
fold1,P2_student_t_mos,0.5570845355563827,1.0724947526142323
fold1,C1_multinomial_ridge,0.5790256229164624,1.0433396736028553
fold1,C2_ordinal_cdf_logistic,0.5780446569330648,1.0833742179501993
fold1,K0_B4_identity,0.585560430261738,0.9822368385084519
fold1,K1_B4_power_calibrated,0.5789430989062726,1.0011115246318343
fold1,K2_B4_monotone_cdf_projected,0.5855604302617379,0.9822368385084531
fold1,S1_conservative_simplex_stack,0.583127692619113,0.9932894293565395
fold2,B0_climatology,0.40403052172875453,1.985970912341423
fold2,B1_global_residual_pmf,0.5769237851066628,1.019901087411399
fold2,B2_month_residual_pmf,0.5751639796726761,1.0032883215614021
fold2,B3_forecast_level_residual_pmf,0.5847745353331657,0.9825239407397984
fold2,B4_hierarchical_residual_pmf,0.5872276162070242,0.9744418356260469
fold2,B5_kernel_analog_pmf,0.5901147662406625,0.9639513950491357
fold2,B6_month_climatology_diagnostic,0.5128110921403907,1.355937366891538
fold2,P1_normal_mos,0.5582386552496174,1.0310715726529205
fold2,P2_student_t_mos,0.5524358532724774,1.0775448728050954
fold2,C1_multinomial_ridge,0.57238184553341,1.045486679463483
fold2,C2_ordinal_cdf_logistic,0.5755227427092464,1.0755235413631337
fold2,K0_B4_identity,0.5872276162070242,0.9744418356260469
fold2,K1_B4_power_calibrated,0.5806513689318014,0.9932960488053735
fold2,K2_B4_monotone_cdf_projected,0.5872276162070242,0.9744418356260482
fold2,S1_conservative_simplex_stack,0.5804585998147359,1.0184707409869036
fold3,B0_climatology,0.40122462078416504,2.0002192960857728
fold3,B1_global_residual_pmf,0.5580082209065456,1.0702946805454223
fold3,B2_month_residual_pmf,0.5552013470756118,1.0625938581843324
fold3,B3_forecast_level_residual_pmf,0.5603059299756121,1.0428514329655771
fold3,B4_hierarchical_residual_pmf,0.5656635533248615,1.0342665569795988
fold3,B5_kernel_analog_pmf,0.5652959634641533,1.0173713661309496
fold3,B6_month_climatology_diagnostic,0.5069574063022877,1.3610968203278206
fold3,P1_normal_mos,0.5389336969437436,1.0796683556155338
fold3,P2_student_t_mos,0.5327823212715465,1.1293722772699366
fold3,C1_multinomial_ridge,0.5491765072229783,1.106981681335237
fold3,C2_ordinal_cdf_logistic,0.5546401173370736,1.1336768920341895
fold3,K0_B4_identity,0.5656635533248615,1.0342665569795988
fold3,K1_B4_power_calibrated,0.5581497875998288,1.0551198909393202
fold3,K2_B4_monotone_cdf_projected,0.5656635533248615,1.0342665569795997
fold3,S1_conservative_simplex_stack,0.5624306804161345,1.0451552542921434
fold4,B0_climatology,0.3948774135948976,2.018846396647937
fold4,B1_global_residual_pmf,0.5459338631159583,1.0909885504420282
fold4,B2_month_residual_pmf,0.5429026603064662,1.0906094894437517
fold4,B3_forecast_level_residual_pmf,0.5466405600784547,1.0659155895727739
fold4,B4_hierarchical_residual_pmf,0.5549840249301817,1.0562548259072508
fold4,B5_kernel_analog_pmf,0.554056989227446,1.0298296639161095
fold4,B6_month_climatology_diagnostic,0.497263082973984,1.3886222790677605
fold4,P1_normal_mos,0.5267042247489259,1.1023257478414012
fold4,P2_student_t_mos,0.5204529891330798,1.1524477575995822
fold4,C1_multinomial_ridge,0.535297739345448,1.125498011148022
fold4,C2_ordinal_cdf_logistic,0.5422159696135457,1.1501558529612155
fold4,K0_B4_identity,0.5549840249301817,1.0562548259072508
fold4,K1_B4_power_calibrated,0.5470185382317141,1.0784274980093114
fold4,K2_B4_monotone_cdf_projected,0.5549840249301817,1.0562548259072513
fold4,S1_conservative_simplex_stack,0.5518730039774243,1.0660951341991183
presealed_2022_2023,B0_climatology,0.38869521871568125,2.0364304386728938
presealed_2022_2023,B1_global_residual_pmf,0.5643088520069393,1.0540915233122956
presealed_2022_2023,B2_month_residual_pmf,0.5616140886452476,1.0502117775906297
presealed_2022_2023,B3_forecast_level_residual_pmf,0.5569338076721927,1.0418824425392952
presealed_2022_2023,B4_hierarchical_residual_pmf,0.5640776893223811,1.0295227127417912
presealed_2022_2023,B5_kernel_analog_pmf,0.5610413777966523,1.0176715589749332
presealed_2022_2023,B6_month_climatology_diagnostic,0.49039242724631427,1.4118107500864332
presealed_2022_2023,P1_normal_mos,0.5421611336557117,1.0692789764020105
presealed_2022_2023,P2_student_t_mos,0.5363051460579992,1.1176667768699644
presealed_2022_2023,C1_multinomial_ridge,0.5403001229840863,1.103760990361507
presealed_2022_2023,C2_ordinal_cdf_logistic,0.5450725955634279,1.1309072268880276
presealed_2022_2023,K0_B4_identity,0.5640776893223811,1.0295227127417912
presealed_2022_2023,K1_B4_power_calibrated,0.5566938730991383,1.0502676693486703
presealed_2022_2023,K2_B4_monotone_cdf_projected,0.5640776893223811,1.0295227127417919
presealed_2022_2023,S1_conservative_simplex_stack,0.5611770060355533,1.0397399035150123
sealed_2024_2026_05,B0_climatology,0.38484364263486887,2.050450272984201
sealed_2024_2026_05,B1_global_residual_pmf,0.570137169655162,1.0404418019556247
sealed_2024_2026_05,B2_month_residual_pmf,0.5631740458691138,1.0536217684904166
