official_max_bin,method,family,row_count,rps,nll,brier,crps,ece,mce,entropy
27,B5_kernel_analog_pmf,analog_pmf,280,0.06650107397601625,1.6517832468329678,0.06930237088214576,0.6650107397601626,0.03648496516296414,0.0683752067909007,1.6022752571370376
27,S1_conservative_simplex_stack,stack,280,0.0667477995937112,1.5954688476970342,0.06941062533476627,0.6674779959371119,0.040822950529697644,0.05593857862496354,1.630719724522664
27,B4_hierarchical_residual_pmf,residual_pmf,280,0.06683615466757344,1.601927553914996,0.0695445557520424,0.6683615466757346,0.04502412659653186,0.07157275410870162,1.6130012493731662
27,K0_B4_identity,calibration,280,0.06683615466757344,1.601927553914996,0.0695445557520424,0.6683615466757346,0.04502412659653186,0.07157275410870162,1.6130012493731662
27,K2_B4_monotone_cdf_projected,calibration,280,0.06683615466757346,1.6019275539149957,0.0695445557520424,0.6683615466757346,0.045024126596531856,0.07157275410870162,1.613001249373167
27,K1_B4_power_calibrated,calibration,280,0.06687511872220318,1.6030246625263778,0.06952775656667674,0.6687511872220321,0.04185376325465428,0.05995581019538038,1.6344706829620015
27,B2_month_residual_pmf,residual_pmf,280,0.06691003506303181,1.6182288680485313,0.06927290431131744,0.669100350630318,0.03333795111137738,0.5899803551681916,1.6312561420122904
27,B1_global_residual_pmf,residual_pmf,280,0.06732782515865994,1.6200348304301084,0.0698174028437861,0.6732782515865994,0.038102927825404864,0.038102927825404864,1.6307995982611547
27,B3_forecast_level_residual_pmf,residual_pmf,280,0.06764158740190183,1.631076390811513,0.07020198752523209,0.6764158740190185,0.07076522188480014,0.12738332920816858,1.664897151956935
27,P1_normal_mos,mos,280,0.06777825915203008,1.6240942577304318,0.07009457718562866,0.6777825915203008,0.07748272484133287,0.11274374601599085,1.629144297970629
27,P2_student_t_mos,mos,280,0.06785093687806215,1.6288464470916393,0.07013719666974348,0.6785093687806215,0.03496655244504122,0.07923723413111308,1.6897275837147752
27,C1_multinomial_ridge,direct_classifier,280,0.06816397325535735,1.6317980267085954,0.07053701596160801,0.6816397325535734,0.03274833410895164,0.3951721828815923,1.6987388381634214
27,C2_ordinal_cdf_logistic,direct_classifier,280,0.06825751456165757,1.6313189313487724,0.0704797202348966,0.6825751456165757,0.04587361591262808,0.49078263293300395,1.719369071723608
27,B0_climatology,baseline,280,0.11626648575068584,2.734488316089651,0.09535828511632131,1.1626648575068583,0.35473753946400455,0.35481364175855495,2.0088433497428957
