cutoff_profile,model_id,season_bucket,n_scored,mae,rmse,median_absolute_error,bias,p80_absolute_error,p90_absolute_error,p95_absolute_error,max_absolute_error,mean_prediction,mean_actual,mean_anchor_forecast,scope
tminus1_1800,D5_conservative_A7_plus_memory_blend,DJF,1144,0.8953192160154807,1.1262784791551312,0.7454166564486169,0.008081143349793188,1.4173378490597706,1.8463068048450377,2.1927463084216434,4.079363557899427,20.223116108384758,20.215034965034967,19.930944055944057,by_season
tminus1_1800,D4_residual_memory_constrained_stack,DJF,1144,0.8959041015012431,1.1266919347355986,0.7454166564486169,0.010648806908758158,1.4183263523184864,1.8463068048450377,2.1927463084216434,4.079363557899427,20.22568377194372,20.215034965034967,19.930944055944057,by_season
tminus1_1800,A7_final_residual_ensemble,DJF,1144,0.896164716284608,1.1269575420688842,0.7657469802272026,-0.00860791879955866,1.405863936113371,1.8068362975493086,2.1901894981842793,4.179874951744431,20.206427046235408,20.215034965034967,19.930944055944057,by_season
tminus1_1800,D0_A7_reproduction,DJF,1144,0.896164716284608,1.1269575420688842,0.7657469802272026,-0.00860791879955866,1.405863936113371,1.8068362975493086,2.1901894981842793,4.179874951744431,20.206427046235408,20.215034965034967,19.930944055944057,by_season
tminus1_1800,A3_hko_hourly_state_residual_lgbm,DJF,1144,0.8972840017194553,1.127692514645374,0.7639479699068765,0.03628455231145428,1.4009125276589107,1.7642943416303247,2.2054982368568083,4.0137039969526604,20.25131951734642,20.215034965034967,19.930944055944057,by_season
tminus1_1800,D3_pruned_full_plus_residual_memory_lgbm,DJF,1144,0.8974144067121961,1.1299631361502205,0.7554236675556787,0.025705356608901334,1.404800083784408,1.7980963749146524,2.1960133307370504,4.022362670703423,20.240740321643866,20.215034965034967,19.930944055944057,by_season
tminus1_1800,A4_network_gradients_residual_lgbm,DJF,1144,0.8987585751221392,1.1278457969288154,0.7633978861401474,0.022150913926604225,1.3934853761728163,1.8011423529383856,2.1910879405101276,4.012680784163859,20.23718587896157,20.215034965034967,19.930944055944057,by_season
tminus1_1800,A6_target_memory_residual_lgbm,DJF,1144,0.898963624648213,1.1307630379958242,0.7498032614937706,0.004808016951564127,1.3855644054707186,1.8009708445497972,2.1776465548833714,4.344809495428233,20.21984298198653,20.215034965034967,19.930944055944057,by_season
tminus1_1800,A5_text_warning_residual_lgbm,DJF,1144,0.9011955760934135,1.1289650637788242,0.7690799245400113,0.021028311101083143,1.4036365344697672,1.8201819714661658,2.1456409951127697,4.071893226652772,20.23606327613605,20.215034965034967,19.930944055944057,by_season
tminus1_1800,A2_revision_residual_lgbm,DJF,1144,0.9064861695490768,1.1381915021205058,0.7670833699330704,0.027674511746443163,1.4451483507908927,1.8210246004861184,2.2121612447273233,4.192441312881108,20.242709476781407,20.215034965034967,19.930944055944057,by_season
tminus1_1800,D2_A3_plus_residual_memory_lgbm,DJF,1144,0.9110231095998674,1.1385780132704477,0.773818594152953,0.01860230160260187,1.42095877942716,1.8429328394638622,2.225332918653426,3.8853851342040997,20.23363726663757,20.215034965034967,19.930944055944057,by_season
tminus1_1800,A1_grouped_residual,DJF,1144,0.9145024568599948,1.1413137663511344,0.7676078129797101,-0.05411086484635505,1.4342721606531352,1.8316503425051387,2.254491508509289,3.950406822321625,20.160924100188613,20.215034965034967,19.930944055944057,by_season
tminus1_1800,D1_official_residual_memory_shrinkage,DJF,1144,0.9331318776475299,1.1667359092879734,0.7940112238305161,-0.23236716196777502,1.4649698127168287,1.8835546288005736,2.316403974137786,3.9973817114070727,19.98266780306719,20.215034965034967,19.930944055944057,by_season
tminus1_1800,A0_raw_official,DJF,1144,0.9370629370629371,1.1756712113523904,0.8000000000000007,-0.28409090909090917,1.5,1.8999999999999986,2.38499999999999,4.0,19.930944055944057,20.215034965034967,19.930944055944057,by_season
tminus1_1800,A8_direct_lgbm_absolute,DJF,1144,0.9696685532622565,1.2630308461858477,0.7941600698440725,0.21210736240297978,1.5121393833207413,1.9358507096769875,2.5068422709088694,5.974847492804566,20.427142327437945,20.215034965034967,19.930944055944057,by_season
tminus1_1800,B0_climatology_persistence,DJF,1144,2.137902097902098,2.7406438105860267,1.7200000000000006,-0.5043181818181819,3.4200000000000017,4.700000000000002,5.6000000000000005,8.600000000000001,19.710716783216785,20.215034965034967,19.930944055944057,by_season
tminus1_1800,D4_residual_memory_constrained_stack,JJA,1325,0.854972153736651,1.088082150893193,0.6880870619131372,0.04239704578914052,1.3662030240446477,1.7806042272645835,2.17783172981545,3.640741338991347,31.842397045789138,31.8,31.718415094339623,by_season
tminus1_1800,D5_conservative_A7_plus_memory_blend,JJA,1325,0.8550743817366953,1.0881413191948364,0.6908232188057966,0.04223259736975668,1.3662030240446477,1.7806042272645835,2.17783172981545,3.640741338991347,31.84223259736976,31.8,31.718415094339623,by_season
tminus1_1800,D3_pruned_full_plus_residual_memory_lgbm,JJA,1325,0.8587232151112775,1.0922911939160187,0.7053386079922248,0.03350058399922331,1.3587395926434298,1.7960990697590546,2.1600381555904393,3.6772673013282144,31.83350058399922,31.8,31.718415094339623,by_season
tminus1_1800,A4_network_gradients_residual_lgbm,JJA,1325,0.858881359236788,1.0938272939940004,0.7106352801796234,0.039740591452160315,1.3501889709416142,1.8011063683164419,2.1765566831593444,3.775030451047126,31.839740591452156,31.8,31.718415094339623,by_season
tminus1_1800,A7_final_residual_ensemble,JJA,1325,0.859008839638366,1.0922796139875435,0.7085136414567828,0.051226460092914185,1.3335501982537217,1.7763886777908755,2.189075988134057,3.7925009997895245,31.851226460092914,31.8,31.718415094339623,by_season
